Distribution_Center,SKU_Code,Product_Offering,Generation,ASP Group,Week,Forecasted,Unconstrained_Demand
D,Prod_A_2,A,2,1,2,1159,2401
D,Prod_A_2,A,2,1,3,3080,2062
D,Prod_A_2,A,2,1,4,3428,3022
D,Prod_A_2,A,2,1,5,3229,2650
D,Prod_A_2,A,2,1,6,6757,2525
D,Prod_A_2,A,2,1,7,3871,3602
D,Prod_A_2,A,2,1,9,6189,3478
D,Prod_A_2,A,2,1,12,15753,2037
D,Prod_A_2,A,2,1,13,2484,2339
D,Prod_A_2,A,2,1,14,4745,5788
D,Prod_A_2,A,2,1,15,2484,4413
D,Prod_A_2,A,2,1,16,4753,3014
D,Prod_A_2,A,2,1,18,3204,4885
D,Prod_A_2,A,2,1,21,2931,1532
D,Prod_A_2,A,2,1,22,6591,1532
D,Prod_A_2,A,2,1,23,4455,3064
D,Prod_A_2,A,2,1,24,11762,1573
D,Prod_A_2,A,2,1,25,36491,4024
D,Prod_A_2,A,2,1,27,4583,3440
D,Prod_A_2,A,2,1,28,12222,6997
D,Prod_A_2,A,2,1,29,14490,2795
D,Prod_A_2,A,2,1,30,0,2161
D,Prod_A_2,A,2,1,31,3080,2712
D,Prod_A_2,A,2,1,33,2550,2997
D,Prod_A_2,A,2,1,35,2070,4066
D,Prod_A_2,A,2,1,36,4492,3159
D,Prod_A_2,A,2,1,37,7626,3424
D,Prod_A_2,A,2,1,38,5477,2058
D,Prod_A_2,A,2,1,39,2484,1457
D,Prod_A_2,A,2,1,40,3726,1697
D,Prod_A_2,A,2,1,41,2484,1615
D,Prod_A_2,A,2,1,42,2484,1842
D,Prod_A_2,A,2,1,43,1490,1097
D,Prod_A_2,A,2,1,44,1490,2625
D,Prod_A_2,A,2,1,45,4347,3403
D,Prod_A_2,A,2,1,46,4347,1594
D,Prod_A_2,A,2,1,47,4918,1540
D,Prod_A_2,A,2,1,48,6384,1677
D,Prod_A_2,A,2,1,49,4389,2422
D,Prod_A_2,A,2,1,50,4347,2670
D,Prod_A_2,A,2,1,51,0,431
D,Prod_A_2,A,2,1,52,4347,1180
D,Prod_A_2,A,2,1,53,4844,2120
D,Prod_A_2,A,2,1,54,5763,3523
D,Prod_A_2,A,2,1,55,621,2381
D,Prod_A_2,A,2,1,56,248,1159
D,Prod_A_2,A,2,1,57,745,898
D,Prod_A_2,A,2,1,58,248,1118
D,Prod_A_2,A,2,1,59,166,1913
D,Prod_A_2,A,2,1,60,83,1697
D,Prod_A_2,A,2,1,61,331,3014
D,Prod_A_2,A,2,1,64,166,104
D,Prod_A_2,A,2,1,65,248,538
D,Prod_A_2,A,2,1,68,414,679
D,Prod_A_2,A,2,1,69,0,315
D,Prod_A_2,A,2,1,73,621,294
D,Prod_A_2,A,2,1,74,621,782
D,Prod_A_2,A,2,1,77,828,878
D,Prod_A_2,A,2,1,82,124,460
D,Prod_A_2,A,2,1,89,828,952
D,Prod_A_2,A,2,1,90,0,166
E,Prod_A_2,A,2,1,73,8,331
E,Prod_A_2,A,2,1,74,29,497
E,Prod_A_2,A,2,1,75,8,290
E,Prod_A_2,A,2,1,76,4,248
E,Prod_A_2,A,2,1,77,12,207
E,Prod_A_2,A,2,1,78,33,41
E,Prod_A_2,A,2,1,79,8,166
E,Prod_A_2,A,2,1,81,4,207
E,Prod_A_2,A,2,1,82,12,83
E,Prod_A_2,A,2,1,83,12,373
E,Prod_A_2,A,2,1,85,12,290
E,Prod_A_2,A,2,1,87,33,414
E,Prod_A_2,A,2,1,88,4,207
E,Prod_A_2,A,2,1,89,8,166
E,Prod_A_2,A,2,1,90,12,166
E,Prod_A_2,A,2,1,92,25,331
F,Prod_A_2,A,2,1,3,3043,1656
F,Prod_A_2,A,2,1,12,2828,2981
F,Prod_A_2,A,2,1,13,2062,1325
F,Prod_A_2,A,2,1,14,1859,1242
F,Prod_A_2,A,2,1,15,1859,828
F,Prod_A_2,A,2,1,20,2174,2070
F,Prod_A_2,A,2,1,23,2708,1656
F,Prod_A_2,A,2,1,24,2223,4140
F,Prod_A_2,A,2,1,25,0,621
F,Prod_A_2,A,2,1,28,0,1573
F,Prod_A_2,A,2,1,29,0,1573
F,Prod_A_2,A,2,1,30,0,1615
F,Prod_A_2,A,2,1,31,2037,290
F,Prod_A_2,A,2,1,32,2116,1035
F,Prod_A_2,A,2,1,33,2116,497
F,Prod_A_2,A,2,1,34,2203,787
F,Prod_A_2,A,2,1,35,2203,290
F,Prod_A_2,A,2,1,36,1929,2194
F,Prod_A_2,A,2,1,37,2041,1242
F,Prod_A_2,A,2,1,38,1714,869
F,Prod_A_2,A,2,1,39,1449,414
F,Prod_A_2,A,2,1,40,1449,745
F,Prod_A_2,A,2,1,42,1159,248
F,Prod_A_2,A,2,1,46,1217,166
F,Prod_A_2,A,2,1,48,994,83
F,Prod_A_2,A,2,1,51,998,124
F,Prod_A_2,A,2,1,52,662,124
F,Prod_A_2,A,2,1,53,662,41
F,Prod_A_2,A,2,1,57,621,124
F,Prod_A_2,A,2,1,58,331,41
F,Prod_A_2,A,2,1,63,323,83
F,Prod_A_2,A,2,1,64,302,41
