Prediction_For_Date,RAFT_predicted_inbound_remaining_pkg_count,RAFT_known_shipped_pkg_count,RAFT_predicted_inbound_pkg_count,RAFT_predicted_carryover_pkg_count,RAFT_capped_predicted_inbound_pkg_count,RAFT_predicted_total_handoff_pkg_count,Day of Week,Promotion,TMAX,TMIN,AWND,PRCP,SNOW,Total Packages Loaded,TLMD Packages Received,TLMD Packages Loaded,Total Packages Received,yesterday_total_packages,3_day_average_total_packages
3/21/2024,4386,2577,6963,339,6963,7303,Thursday,0,31.4,22,4.4,0.009130435,0.103076923,13139,8423,8391,13234,,
3/22/2024,4871,3247,8118,231,8118,8349,Friday,0,33.8,23.2,9.466666667,0.207692308,3.42826087,12553,8678,8175,13528,13234,
3/23/2024,5163,3039,8202,466,8202,8668,Saturday,0,33.8,15.8,5.033333333,0.002878788,0.003921569,16738,7439,7547,17411,13528,
3/24/2024,6206,5785,11991,250,7128,7378,Sunday,0,33.2,25.2,11.33333333,0.04,0.525,15644,5796,4688,16152,17411,14724.33333
3/25/2024,6460,5264,11724,28,6567,6594,Monday,0,36.2,31.8,9.866666667,0.912615385,6.14,14462,8556,8423,13946,16152,15697
3/26/2024,5156,3332,8488,0,8488,8488,Tuesday,0,34.4,21.2,15.33333333,0.888428571,1.408571429,11695,8762,6712,14502,13946,15836.33333
3/27/2024,5156,3332,8488,0,8488,8488,Wednesday,0,29.4,17,12.66666667,0.273636364,3.261538462,13598,6051,8091,11234,14502,14866.66667
3/28/2024,5156,3332,8488,0,8488,8488,Thursday,0,36,16.4,6.2,0.001230769,0.030909091,14556,8174,9882,12501,11234,13227.33333
3/29/2024,5156,3332,8488,0,8488,8488,Friday,0,44.6,21.4,8.733333333,0,0,12111,8485,8550,12124,12501,12745.66667
3/30/2024,4768,3710,8478,402,8478,8880,Saturday,0,45.2,32.2,9.366666667,0.0025,0,9881,6485,6537,9531,12124,11953
3/31/2024,4462,3062,7524,305,7524,7829,Sunday,0,47,31.4,4.166666667,0,0,2551,2689,2241,3065,9531,11385.33333
4/1/2024,11680,3113,14793,77,14793,14870,Monday,0,44.8,31.2,6.866666667,0,0,14197,9099,9344,14122,3065,8240
4/2/2024,3858,2718,6576,399,6576,6975,Tuesday,0,43.2,33.4,11.2,0.016029412,0.148780488,10194,6750,6959,9860,14122,8906
4/3/2024,3739,3939,7678,326,7678,8004,Wednesday,0,49.2,34.4,16.93333333,0.055,0.257142857,8216,5701,5779,8030,9860,9015.666667
4/4/2024,3505,2186,5691,109,5691,5800,Thursday,0,52.8,32.8,9.1,0,0,7270,5010,5100,7181,8030,10670.66667
4/5/2024,3151,1987,5138,141,5138,5278,Friday,0,57,30,3.3,0,0,6927,5075,5006,7257,7181,8357
4/6/2024,3436,2068,5504,139,5504,5642,Saturday,0,59,34.6,15.16666667,0.000298507,0,7459,5053,5107,7243,7257,7489.333333
4/7/2024,3047,2061,5108,98,5108,5206,Sunday,0,49.6,39.4,15.66666667,0.067777778,0,15299,12149,11094,16417,7243,7227
4/8/2024,7571,2678,10249,118,10249,10366,Monday,1,48.2,40.8,8.633333333,0.740263158,0,23153,15966,16274,24534,16417,10305.66667
4/9/2024,10010,7500,17510,234,16053,16287,Tuesday,1,59.6,40,9.633333333,0.091232877,0,22563,14272,14790,20635,24534,16064.66667
4/10/2024,8879,6605,15484,1065,15484,16549,Wednesday,1,69.2,42,6.233333333,0.003239437,0,17764,11357,11234,18270,20635,20528.66667
4/11/2024,7784,4742,12526,391,12526,12916,Thursday,1,63.4,44,11.63333333,0.010133333,0,18533,11716,11875,17798,18270,21146.33333
4/12/2024,7238,5069,12307,407,12307,12714,Friday,1,61.4,42.4,11.7,0.0356,0,19080,12508,12539,19312,17798,18901
4/13/2024,7320,4753,12073,585,12073,12658,Saturday,1,80.2,36.75,9.966666667,0,0,19108,13490,12677,19928,19312,18460
4/14/2024,7923,5209,13132,428,13132,13560,Sunday,0,73.8,44.8,7.966666667,0.000810811,0,15671,12325,10452,17758,19928,19012.66667
4/15/2024,8148,5575,13723,2124,13723,15847,Monday,0,67,47.8,9.1,0,0,15325,4793,7436,12795,17758,18999.33333
4/16/2024,4951,2596,7547,4358,4297,8655,Tuesday,0,60.6,46.6,14.83333333,0.13297619,0,13856,8851,9033,12968,12795,16827
4/17/2024,4977,3407,8384,80,8384,8464,Wednesday,0,55.8,44,11.7,1.538333333,0,11731,7801,8035,11426,12968,14507
4/18/2024,4571,3386,7957,658,7957,8614,Thursday,0,52,38.2,12.26666667,0.004941176,0,9339,6355,6459,9188,11426,12396.33333
4/19/2024,3757,3090,6847,352,6847,7199,Friday,0,40.8,33.4,15.26666667,0.00025641,0,8554,6025,6075,8699,9188,11194
4/20/2024,4118,2182,6300,144,6300,6443,Saturday,0,46.8,30.6,11.43333333,0.00525,0.022222222,8971,6453,6170,9174,8699,9771
4/21/2024,3765,2451,6216,116,6216,6333,Sunday,0,59,32.6,7.433333333,0.00012987,0,10473,7220,7614,9993,9174,9020.333333
4/22/2024,4424,3134,7558,370,7558,7928,Monday,0,68.4,38.4,10.8,0.000121951,0,10363,7284,7339,10182,9993,9288.666667
4/23/2024,4733,2923,7656,262,7656,7919,Tuesday,0,64,40.4,11.26666667,0.004337349,0,9752,6828,6950,9516,10182,9783
4/24/2024,4680,2172,6852,389,6852,7241,Wednesday,0,60,34.2,6.266666667,0.026741573,0,8615,5891,6094,8259,9516,9897
