State,"Population estimates, July 1, 2023, (V2023)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2023, (V2023)","Female persons, percent","Veterans per capita, 2018-2022","Foreign born persons, percent, 2018-2022","Housing units per capita, July 1, 2022, (V2022)","Owner-occupied housing unit rate, 2018-2022","Median value of owner-occupied housing units, 2018-2022","Persons per household, 2018-2022","Living in same house 1 year ago, percent of persons age 1 year+, 2018-2022","Households with a computer, percent, 2018-2022","Households with a broadband Internet subscription, percent, 2018-2022","High school graduate or higher, percent of persons age 25 years+, 2018-2022","Bachelor's degree or higher, percent of persons age 25 years+, 2018-2022","In civilian labor force, total, percent of population age 16 years+, 2018-2022","Total retail sales per capita, 2017 ($1,000)","Mean travel time to work (minutes), workers age 16 years+, 2018-2022","Median household income (in 2022 dollars), 2018-2022","Per capita income in past 12 months (in 2022 dollars), 2018-2022","Persons in poverty, percent","Total employer establishments per capita, 2021","Total employment percentage, 2021","Total employment, percent change, 2020-2021","All employer firms per capita, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",Political Affiliation,Charging Stations,Total Chargers Chargers,Auto sales per capita 2023,Number of Evs per capita 2018,Number of Evs per capita 2019,Number of Evs per capita 2020,Number of EVs per capita 2021,Number of Evs per capita 2022
Alabama,5108468,0.017,0.514,0.061950667,0.035,0.45798114,0.697,179400,2.53,0.873,0.911,0.838,0.877,0.272,0.576,12.47740673,25.3,59609,33344,0.162,0.020263218,0.336522417,-0.033,0.013473511,99.2,94.4,50647.13,50645.33,Red,65,124,0.041495024,0.000254479,0.000391507,0.000567685,0.000920041,0.001703055
Alaska,733406,0,0.474,0.083515815,0.079,0.44898051,0.663,318000,2.67,0.846,0.961,0.894,0.935,0.307,0.631,14.15964827,19.3,86370,42828,0.11,0.029507531,0.34236562,-0.056,0.022079176,1.3,1.2,571022.38,570640.95,Red,1198,3506,0.050734518,0.000681751,0.000954451,0.001227151,0.001772552,0.002727003
Arizona,7431344,0.038,0.5,0.063052928,0.13,0.428806956,0.663,321400,2.56,0.846,0.952,0.892,0.887,0.318,0.601,14.04397374,25.5,72581,38334,0.125,0.02082517,0.350068844,-0.016,0.014272385,62.9,56.3,113653.42,113594.08,Blue,334,833,0.052025986,0.001695521,0.002624021,0.003875477,0.005476802,0.008854388
Arkansas,3067732,0.019,0.506,0.05945728,0.05,0.454964449,0.662,162400,2.51,0.863,0.913,0.824,0.882,0.247,0.579,13.09569382,22.2,56335,31868,0.168,0.02235267,0.335656113,-0.024,0.015615119,57.9,56,51992.85,52035.48,Red,16381,49433,0.037561625,0.000195584,0.000293376,0.000423766,0.000782337,0.001662466
California,38965193,-0.014,0.499,0.036328885,0.265,0.375398115,0.556,659300,2.89,0.884,0.959,0.915,0.844,0.359,0.633,15.26648096,29.2,91905,45591,0.122,0.025627539,0.380733646,-0.056,0.019046204,253.7,239.1,155858.33,155779.22,Blue,2165,5432,0.045576985,0.007019085,0.008974676,0.01091487,0.014451359,0.023189927
Colorado,5877610,0.018,0.492,0.060818088,0.095,0.440958145,0.662,465900,2.48,0.829,0.962,0.918,0.925,0.437,0.677,14.4498604,25.6,87598,47346,0.094,0.030595259,0.411158957,-0.037,0.022946232,55.7,48.5,103637.06,103641.89,Blue,865,2547,0.035535022,0.002126715,0.003266634,0.004202388,0.006295076,0.010191217
Connecticut,3617176,0.003,0.51,0.040412465,0.15,0.425846848,0.662,323700,2.48,0.885,0.941,0.901,0.913,0.414,0.658,15.31705369,26.4,90213,52034,0.098,0.024469089,0.398709933,-0.07,0.018867758,744.7,738.1,4842.37,4842.36,Blue,197,523,0.044713611,0.001382294,0.001907565,0.002488129,0.003676902,0.006082093
Delaware,1031890,0.042,0.514,0.0611383,0.098,0.451392106,0.72,305200,2.5,0.889,0.947,0.903,0.912,0.345,0.619,17.12188799,25.9,79325,42180,0.094,0.027670585,0.396082916,-0.032,0.019095059,508,460.8,1948.55,1948.54,Blue,369,1158,0.053266337,0.000775276,0.001259824,0.001841282,0.002907287,0.005233116
Florida,22610726,0.05,0.508,0.060578285,0.211,0.453653103,0.669,292200,2.53,0.856,0.952,0.888,0.893,0.323,0.59,14.73347441,27.9,67917,38850,0.127,0.027286209,0.392618486,-0.023,0.019393053,401.4,350.6,53652.17,53624.76,Red,3430,9763,0.06048333,0.001211814,0.00178234,0.002574,0.004228082,0.007430102
Georgia,11029227,0.029,0.512,0.055354287,0.104,0.411557038,0.65,245900,2.65,0.864,0.941,0.878,0.887,0.336,0.629,13.47552408,28.4,71355,37836,0.127,0.023005148,0.365783477,-0.018,0.015593659,185.6,168.4,57716.96,57513.49,Red,1886,4994,0.044947121,0.001441624,0.001722696,0.002130702,0.003082718,0.005449158
Hawaii,1435138,-0.014,0.497,0.065268985,0.18,0.395833014,0.618,764800,2.92,0.87,0.945,0.898,0.927,0.347,0.604,15.09186643,26.6,94814,42683,0.102,0.022637544,0.326922568,-0.146,0.016535692,226.6,211.8,6422.48,6422.63,Blue,384,860,0.055061604,0.004598861,0.006131815,0.007455729,0.009894519,0.013796583
Idaho,1964726,0.068,0.496,0.060941322,0.057,0.405633152,0.72,331600,2.67,0.838,0.952,0.898,0.914,0.302,0.625,12.69191277,21.4,70214,34919,0.107,0.027924504,0.328411697,0.012,0.019584919,22.3,19,82645.14,82643.12,Blue,205,517,0.040895779,0.000559875,0.000814363,0.001170647,0.001781419,0.003002963
Illinois,12549689,-0.021,0.505,0.041309868,0.141,0.434494034,0.667,239100,2.51,0.882,0.935,0.881,0.901,0.367,0.65,13.82296581,28.4,78433,43198,0.119,0.025561988,0.420000129,-0.05,0.019761047,230.8,231.1,55513.18,55518.93,Red,1337,3510,0.044605328,0.001083692,0.001537887,0.002071764,0.002908439,0.005330809
Indiana,6862199,0.011,0.503,0.05139985,0.056,0.433868648,0.701,183600,2.49,0.863,0.927,0.867,0.9,0.282,0.638,14.8794898,24,67173,35578,0.126,0.021991784,0.401413016,-0.024,0.014927431,189.4,181,35826.03,35826.11,Blue,565,1533,0.037409583,0.000495468,0.000743202,0.001020081,0.001515549,0.002579348
Iowa,3207004,0.005,0.498,0.053581474,0.056,0.448569755,0.715,181600,2.4,0.863,0.927,0.863,0.93,0.303,0.665,15.61054554,19.6,70571,37949,0.11,0.025879918,0.421622798,-0.028,0.019285601,57.1,54.5,55853.42,55857.13,Red,371,855,0.040484515,0.000342999,0.000498908,0.00071718,0.001153725,0.001933269
Kansas,2940546,0.001,0.498,0.055592397,0.071,0.43958571,0.669,189300,2.48,0.844,0.942,0.879,0.918,0.347,0.654,13.37762885,19.7,69747,38108,0.12,0.025524852,0.404153514,-0.015,0.01908047,35.9,34.9,81758.59,81758.72,Red,547,1196,0.032859544,0.000578124,0.000782168,0.001054226,0.001530328,0.002584554
