day,month,year,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Fire
1,6,2012,32,71,12,0.7,57.1,2.5,8.2,0.6,2.8,0.2,0
2,6,2012,30,73,13,4.0,55.7,2.7,7.8,0.6,2.9,0.2,0
3,6,2012,29,80,14,2.0,48.7,2.2,7.6,0.3,2.6,0.1,0
4,6,2012,30,64,14,0.0,79.4,5.2,15.4,2.2,5.6,1.0,0
5,6,2012,32,60,14,0.2,77.1,6.0,17.6,1.8,6.5,0.9,0
6,6,2012,35,54,11,0.1,83.7,8.4,26.3,3.1,9.3,3.1,1
7,6,2012,35,44,17,0.2,85.6,9.9,28.9,5.4,10.7,6.0,1
8,6,2012,28,51,17,1.3,71.4,7.7,7.4,1.5,7.3,0.8,0
9,6,2012,27,59,18,0.1,78.1,8.5,14.7,2.4,8.3,1.9,0
10,6,2012,30,41,15,0.0,89.4,13.3,22.5,8.4,13.1,10.0,1
11,6,2012,31,42,21,0.0,90.6,18.2,30.5,13.4,18.0,16.7,1
12,6,2012,27,58,17,0.0,88.9,21.3,37.8,8.7,21.2,12.9,1
13,6,2012,30,52,15,2.0,72.3,11.4,7.8,1.4,10.9,0.9,0
14,6,2012,27,79,16,0.7,53.4,6.4,7.3,0.5,6.1,0.3,0
15,6,2012,28,90,15,0.0,66.8,7.2,14.7,1.2,7.1,0.6,0
16,6,2012,29,87,15,0.4,47.4,4.2,8.0,0.2,4.1,0.1,0
17,6,2012,31,69,17,4.7,62.2,3.9,8.0,1.1,3.8,0.4,0
18,6,2012,33,62,10,8.7,65.5,4.6,8.3,0.9,4.4,0.4,0
19,6,2012,32,67,14,4.5,64.6,4.4,8.2,1.0,4.2,0.4,0
20,6,2012,31,72,14,0.2,60.2,3.8,8.0,0.8,3.7,0.3,0
21,6,2012,32,55,14,0.0,86.2,8.3,18.4,5.0,8.2,4.9,1
22,6,2012,33,46,14,1.1,78.3,8.1,8.3,1.9,7.7,1.2,0
23,6,2012,33,59,16,0.8,74.2,7.0,8.3,1.6,6.7,0.8,0
24,6,2012,35,68,16,0.0,85.3,10.0,17.0,4.9,9.9,5.3,1
25,6,2012,34,70,16,0.0,86.0,12.8,25.6,5.4,12.7,6.7,1
26,6,2012,36,62,16,0.0,87.8,16.5,34.5,7.0,16.4,9.5,1
27,6,2012,36,55,15,0.0,89.1,20.9,43.3,8.0,20.8,12.0,1
28,6,2012,37,37,13,0.0,92.5,27.2,52.4,11.7,27.1,18.4,1
29,6,2012,37,36,13,0.6,86.2,17.9,36.7,4.8,17.8,7.2,1
30,6,2012,34,42,15,1.7,79.7,12.0,8.5,2.2,11.5,2.2,0
1,7,2012,28,58,18,2.2,63.7,3.2,8.5,1.2,3.3,0.5,0
2,7,2012,33,48,16,0.0,87.6,7.9,17.8,6.8,7.8,6.4,1
3,7,2012,34,56,17,0.1,84.7,9.7,27.3,4.7,10.3,5.2,1
4,7,2012,34,58,18,0.0,88.0,13.6,36.8,8.0,14.1,9.9,1
5,7,2012,34,45,18,0.0,90.5,18.7,46.4,11.3,18.7,15.0,1
6,7,2012,35,42,15,0.3,84.7,15.5,45.1,4.3,16.7,6.3,1
7,7,2012,38,43,13,0.5,85.0,13.0,35.4,4.1,13.7,5.2,1
8,7,2012,35,47,18,6.0,80.8,9.8,9.7,3.1,9.4,3.0,1
9,7,2012,36,43,15,1.9,82.3,9.4,9.9,3.2,9.0,3.1,1
10,7,2012,34,51,16,3.8,77.5,8.0,9.5,2.0,7.7,1.3,0
11,7,2012,34,56,15,2.9,74.8,7.1,9.5,1.6,6.8,0.8,0
12,7,2012,36,44,13,0.0,90.1,12.6,19.4,8.3,12.5,9.6,1
13,7,2012,39,45,13,0.6,85.2,11.3,10.4,4.2,10.9,4.7,1
15,7,2012,34,45,17,0.0,90.5,18.0,24.1,10.9,17.7,14.1,1
16,7,2012,31,83,17,0.0,84.5,19.4,33.1,4.7,19.2,7.3,1
17,7,2012,32,81,17,0.0,84.6,21.1,42.3,4.7,20.9,7.7,1
18,7,2012,33,68,15,0.0,86.1,23.9,51.6,5.2,23.9,9.1,1
19,7,2012,34,58,16,0.0,88.1,27.8,61.1,7.3,27.7,13.0,1
20,7,2012,36,50,16,0.0,89.9,32.7,71.0,9.5,32.6,17.3,1
21,7,2012,36,29,18,0.0,93.9,39.6,80.6,18.5,39.5,30.0,1
22,7,2012,32,48,18,0.0,91.5,44.2,90.1,13.2,44.0,25.4,1
23,7,2012,31,71,17,0.0,87.3,46.6,99.0,6.9,46.5,16.3,1
24,7,2012,33,63,17,1.1,72.8,20.9,56.6,1.6,21.7,2.5,0
25,7,2012,39,64,9,1.2,73.8,11.7,15.9,1.1,11.4,0.7,0
26,7,2012,35,58,10,0.2,78.3,10.8,19.7,1.6,10.7,1.0,0
27,7,2012,29,87,18,0.0,80.0,11.8,28.3,2.8,11.8,3.2,0
28,7,2012,33,57,16,0.0,87.5,15.7,37.6,6.7,15.7,9.0,1
29,7,2012,34,59,16,0.0,88.1,19.5,47.2,7.4,19.5,10.9,1
30,7,2012,36,56,16,0.0,88.9,23.8,57.1,8.2,23.8,13.2,1
31,7,2012,37,55,15,0.0,89.3,28.3,67.2,8.3,28.3,14.5,1
1,8,2012,38,52,14,0.0,78.3,4.4,10.5,2.0,4.4,0.8,0
2,8,2012,40,34,14,0.0,93.3,10.8,21.4,13.8,10.6,13.5,1
3,8,2012,39,33,17,0.0,93.7,17.1,32.1,17.2,16.9,19.5,1
4,8,2012,38,35,15,0.0,93.8,23.0,42.7,15.7,22.9,20.9,1
