,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,6836,4066,3418,2393,517,1025,6836.0,4848,2479,1021,963,466,200,580,286,134,823,424,178,9,2,1,2473,1301,508,2554,496.5681832277068,1026.9996700258237,774.5324689419928,968.3324689419932,1062.9324689420005,1096.7324689420082,415.32043547995664,416.2312462907675,416.1479129574342,386.51998502950534,138,20,33,29,1,[],[],[],2
1,10902,7197,3705,3598,2519,535,1080,7197.0,4422,2728,957,587,341,110,665,407,142,809,477,158,6,1,2,2355,1502,545,2795,507.4576969155056,1046.1635548436036,799.421982629792,1001.6219826297915,1083.0219826297994,1119.2219826298076,417.91310232090837,417.4410302488362,417.89643565424166,280.38066988847174,145,25,21,29,1,[],[],[],3
2,10902,8100,2802,4050,2835,530,1215,8100.0,4185,4189,966,533,551,119,0,0,0,714,723,162,0,0,0,2938,2915,685,1562,438.79249671216496,1028.254939227613,766.9567824264514,993.9567824264511,1064.9567824264586,1110.556782426469,0.0,384.92900367367025,384.8790036736703,0.0,163,0,25,32,0,[],[],[],3
3,10902,6978,3924,3489,2442,710,1047,6978.0,4864,1995,735,827,306,121,939,392,169,718,341,108,2,1,0,2378,955,337,3308,554.7414033758786,1077.7342026256074,838.1056890901648,1034.305689090165,1125.9056890901752,1148.3056890901803,443.07158355605554,443.1161781506501,443.0382502227222,398.4269889614596,140,30,26,24,1,[],[],[],3
4,10902,6323,4579,3162,2213,624,948,6323.0,3699,2477,946,335,247,83,458,303,112,618,405,171,971,620,256,1317,902,324,3780,619.9031537121639,1131.5691070525227,877.4674394264497,1057.6674394264498,1174.267439426459,1195.867439426464,490.39549605450253,491.2396401986467,489.195946504953,492.79459515360173,128,18,14,24,37,[],[],[],3
5,10902,7620,3282,3810,2667,403,1143,7620.0,3613,2724,1305,0,0,0,760,622,283,753,563,278,14,5,4,2086,1534,740,3260,487.2743447993484,1079.375865929155,796.8386305136343,1013.2386305136343,1108.0386305136403,1157.2386305136515,378.3952643153731,0.0,378.7506697207785,368.5488679189764,154,34,0,32,1,[],[],[],3
6,10902,6428,4474,3214,2250,414,964,6428.0,5039,3025,1122,1102,707,263,689,388,185,617,390,124,8,1,0,2623,1539,550,1716,557.3122343179687,1068.4903909253487,819.0765200322545,1001.476520032255,1096.6765200322607,1133.276520032269,504.4261982819312,504.4595316152645,504.4095316152645,494.3410631467957,130,26,42,23,1,[],[],[],3
7,10902,8289,2613,4144,2901,549,1243,8289.0,3996,2840,1040,0,0,0,760,552,194,544,401,148,7,4,3,2685,1883,695,3026,478.7108312858347,1084.425373769999,814.475117000121,1046.8751170001212,1122.0751170001288,1168.4751170001393,343.5271084508155,0.0,343.74377511748236,324.6063877300943,167,31,0,22,1,[],[],[],1
8,10902,6726,4176,3363,2354,549,1009,6726.0,3553,4026,926,821,857,220,284,342,74,656,750,172,0,0,0,1792,2077,460,2397,532.5299227577251,1050.109541396864,806.294208472011,997.6942084720108,1087.8942084720193,1118.6942084720263,454.17001284781304,454.49208491988514,454.52541825321845,0.0,137,14,38,32,0,[],[],[],1
9,10902,7802,3100,3901,2731,546,1170,7802.0,3411,3371,1048,296,300,94,380,329,119,681,675,210,9,6,1,2045,2061,624,3072,480.36578624078965,1066.2001472105899,797.3300719550754,1019.3300719550758,1103.5300719550837,1145.1300719550932,358.6142884275953,358.2588830221899,358.580955094262,309.17149563480103,158,17,14,32,1,[],[],[],3
