,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,6836,4066,3418,2393,517,1025,,4848,2479,1021,963,466,200,580,286,134,823,424,178,9,2,1,2473,1301,508,2554,486.75832698946834,1025.1040443040035,750.8941345940477,939.8306123439128,1061.0065807139435,,490.5440186950223,491.966968360998,492.01545797776265,386.77634332596136,138,20,33,29.0,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E3FE5EA10>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E3FE5E990>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E3FE5C690>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E3FE5C590>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E3FE5D5D0>]",258
1,10902,7197,3705,3598,2519,535,1080,7197.0,4422,2728,957,587,341,110,665,407,142,809,477,158,6,1,2,2355,1502,545,2795,503.2711946866627,1066.6956040548835,813.3864031938944,1021.6900798953371,1102.8625422604716,1139.7122364518757,502.2153790162633,501.9392133470138,501.88129314850295,280.9636214255783,145,25,21,29.0,1,[],[],[],1
2,10902,8100,2802,4050,2835,530,1215,,4185,4189,966,533,551,119,0,0,0,714,723,162,0,0,0,2938,2915,685,1562,452.5724471834871,1029.6370217990486,776.5520467679901,994.9740180318084,1066.083218079961,,0.0,398.0647160670393,398.16550366179547,0.0,163,0,25,32.0,0,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E46098290>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E460989D0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4609A9D0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E46098A90>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4609AE10>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E46098C10>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4609AD10>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4609A090>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E46099090>]",485
3,10902,6978,3924,3489,2442,710,1047,,4864,1995,735,827,306,121,939,392,169,718,341,108,2,1,0,2378,955,337,3308,551.1046722163289,1077.005684919089,833.054722103442,1033.9305427273082,1126.019322379529,,549.9092400340727,550.1512993236003,550.0516571289836,397.2494129923678,140,30,26,24.0,1,[],[],[],37
4,10902,6323,4579,3162,2213,624,948,,3699,2477,946,335,247,83,458,303,112,618,405,171,971,620,256,1317,902,324,3780,618.1989876790064,1145.6031572289462,889.6487562863499,1073.0724481835869,1187.3036713888227,,485.25849275359815,485.3672408048732,487.33747587348824,489.0865582447542,128,18,14,24.0,37,[],[],[],130
5,10902,7620,3282,3810,2667,403,1143,7620.0,3613,2724,1305,0,0,0,760,622,283,753,563,278,14,5,4,2086,1534,740,3260,486.37395298143593,1056.7589617161318,777.4321628869029,992.099698122975,1084.1737442960539,1139.3774588995132,375.4760403089364,0.0,375.6919998384155,368.4812691106303,154,34,0,32.0,1,[],[],[],1
6,10902,6428,4474,3214,2250,414,964,,5039,3025,1122,1102,707,263,689,388,185,617,390,124,8,1,0,2623,1539,550,1716,550.1145164525308,1084.565160517708,809.948486445668,1017.8094377263903,1114.9243454628597,,553.5203962526238,553.4753714850364,552.9252606079638,485.2984918951119,130,26,42,23.0,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4F709490>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4F70BD90>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4F70AC90>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4F709ED0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4F7084D0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4F70B990>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4F70A490>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4F708150>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E4F70A9D0>]",500
7,10902,8289,2613,4144,2901,549,1243,8289.0,3996,2840,1040,0,0,0,760,552,194,544,401,148,7,4,3,2685,1883,695,3026,478.81852139816743,1080.102066977564,813.6769343788359,1042.6074286324067,1118.3272397548587,1165.7249897804643,340.91261303119074,0.0,341.1752983935724,324.7253471954081,167,31,0,22.0,1,[],[],[],1
8,10902,6726,4176,3363,2354,549,1009,,3553,4026,926,821,857,220,284,342,74,656,750,172,0,0,0,1792,2077,460,2397,522.6276325894365,1056.1750751216289,807.1755426405883,1002.4652973646112,1093.442303325686,,528.1578424801252,529.3745910293966,528.3241208874766,0.0,137,14,38,32.0,0,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E53DA6450>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E53DA66D0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E53DA6950>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E53DA6BD0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E53DA6ED0>]",260
9,10902,7802,3100,3901,2731,546,1170,,3411,3371,1048,296,300,94,380,329,119,681,675,210,9,6,1,2045,2061,624,3072,484.4183179394354,1069.4727091780585,802.0682864292744,1022.7031363934943,1105.646707343851,,360.85018960168344,359.11176270757346,359.9850749049624,305.6889809986954,158,17,14,32.0,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E55C99C50>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E55C991D0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E55C99010>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E55C99050>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E55C98D90>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E55C98950>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E55C98910>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000022E55C98150>]",424
