,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7615,3287,3808,2665,660,1142,7615,3743,2430,901,884,573,215,3,1,1,833,562,198,9,3,5,2014,1291,482,3828,531.6635596932298,,841.0278454075155,1057.4278454075156,1105.2278454075247,1137.227845407532,356.7671632968283,403.455451585118,404.99373987340635,403.8275236571901,154,1,34,32,1,[],[],[],3
1,10902,6758,4144,3379,2365,761,1014,6758,4354,2493,593,1010,540,130,956,553,136,461,274,73,6,4,1,1921,1122,253,3462,567.6240874526933,,842.3883731669794,1033.3883731669794,1087.78837316699,1104.7883731669938,453.92724060584317,454.0272406058432,452.7610243896269,435.71733069593273,137,33,34,17,1,[],[],[],1
2,10902,7268,3634,3634,2544,675,1090,7268,4391,3263,720,981,687,173,269,172,43,643,548,89,22,7,0,2476,1849,415,2528,495.4612701968896,,790.6255559111758,995.2255559111759,1042.0255559111847,1069.625555911191,412.17206053267734,411.8833217939387,412.0445830552,410.7337722443892,146,10,37,26,1,[],[],[],2
3,10902,6944,3958,3472,2430,784,1042,6944,3087,2222,755,830,616,216,539,410,139,632,420,141,7,7,1,1079,769,258,4838,605.2975597013227,,887.6618454156087,1084.061845415609,1148.461845415609,1189.661845415609,442.67999213375026,442.29125339501155,442.3245867283449,432.12278492654275,140,22,34,24,1,[],[],[],2
4,10902,8395,2507,4198,2938,1035,1259,8395,4149,3173,314,266,194,10,575,469,46,515,389,34,3,6,0,2790,2115,224,3266,487.3743447993483,,827.3386305136347,1062.7386305136347,1133.938630513649,1150.5386305136346,353.00634078965186,352.7617461950572,352.52300745631857,299.80363808694756,169,22,10,19,1,[],[],[],2
5,10902,7553,3349,3776,2644,535,1133,7553,5132,3143,932,559,342,107,635,412,118,646,394,109,16,11,0,3276,1984,598,1695,441.22892524477646,,747.7932109590625,960.9932109590628,998.3932109590695,1048.2787774029455,389.1537000195497,389.0095558754055,388.8816279474776,384.0500964159459,152,24,21,23,1,[],[],[],3
6,10902,7070,3832,3535,2474,610,1060,7070,4238,2558,929,547,352,123,856,504,196,672,415,158,5,3,1,2158,1284,451,3177,513.9284119448495,,801.0926976591356,1000.2926976591355,1044.0926976591436,1074.0926976591504,406.7680515844861,407.10679032322486,406.8180515844861,407.1401236565582,143,32,21,25,1,[],[],[],2
7,10902,6973,3929,3486,2441,393,1046,6973,5285,3636,1058,830,572,152,565,387,110,673,465,142,21,11,1,3196,2201,653,923,458.3458164767143,,741.5101021910004,937.9101021910005,966.1101021910051,1020.2317477123556,435.2210417019389,436.82599665689384,435.59311377401093,429.8841047650018,140,22,32,26,1,[],[],[],2
8,10902,7644,3258,3822,2675,630,1147,7644,3330,3645,897,838,965,228,202,246,67,309,316,85,2,0,0,1979,2118,517,3030,483.1199750468839,,793.4842607611698,1009.6842607611699,1054.6842607611784,1089.0842607611862,379.20508970699575,378.816350968257,379.1550897069957,109.46520265287592,154,11,41,15,1,[],[],[],2
9,10902,7106,3796,3553,2487,644,1066,7106,4505,2978,798,767,455,138,491,334,82,812,555,156,2,4,0,2433,1630,422,2621,477.2631154302242,,766.2274011445098,968.6274011445104,1013.6274011445188,1041.8274011445253,390.4396920067982,390.8617640788703,390.8950974122036,373.445998313104,144,19,28,31,1,[],[],[],2
