,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7615,3287,3808,2665,660,1142,7615.0,3743,2430,901,884,573,215,3,1,1,833,562,198,9,3,5,2014,1291,482,3828,522.0204653881575,,820.1581590937569,1036.063111395581,1081.8859024620863,1114.9873747815277,356.42390747453356,526.1092839087024,527.8964503228934,526.6843265492961,154,1,34,32.0,1,[],[],[],1
1,10902,6758,4144,3379,2365,761,1014,6758.0,4354,2493,593,1010,540,130,956,553,136,461,274,73,6,4,1,1921,1122,253,3462,567.7613086921548,,853.5358579163216,1030.3550312226312,1086.6005577415362,1107.487507756615,451.6638050933577,451.4072026742586,450.05644472373945,438.46394417451194,137,33,34,17.0,1,[],[],[],1
2,10902,7268,3634,3634,2544,675,1090,7268.0,4391,3263,720,981,687,173,269,172,43,643,548,89,22,7,0,2476,1849,415,2528,497.77107288287255,,785.2162476450021,988.7970129685,1032.9965315987893,1061.5996677462804,411.8082166944716,412.15089801647173,412.0013131026697,390.46752599857984,146,10,37,26.0,1,[],[],[],1
3,10902,6944,3958,3472,2430,784,1042,6944.0,3087,2222,755,830,616,216,539,410,139,632,420,141,7,7,1,1079,769,258,4838,602.8650596393221,,872.630104200713,1058.8391991244896,1113.4401328171284,1155.1535285477987,606.3135260689469,606.0350568149814,605.9700846863399,429.3205896323977,140,22,34,24.0,1,[],[],[],1
4,10902,8395,2507,4198,2938,1035,1259,8395.0,4149,3173,314,266,194,10,575,469,46,515,389,34,3,6,0,2790,2115,224,3266,490.31773583100556,,810.0153069261954,1052.9658718598307,1122.852249433105,1138.2609307498144,353.21102591387324,353.29318596127047,352.98552983816603,298.1458994654098,169,22,10,19.0,1,[],[],[],1
5,10902,7553,3349,3776,2644,535,1133,7553.0,5132,3143,932,559,342,107,635,412,118,646,394,109,16,11,0,3276,1984,598,1695,442.50933744870645,,730.1818922236556,951.6363991574437,988.3447684891519,1043.2086443606422,439.3641006045595,439.62031197521884,439.83838584104296,437.6531730140944,152,24,21,23.0,1,[],[],[],1
6,10902,7070,3832,3535,2474,610,1060,7070.0,4238,2558,929,547,352,123,856,504,196,672,415,158,5,3,1,2158,1284,451,3177,521.7367675750946,,812.2140533339424,1012.8147093919347,1057.1674626329318,1088.3327595708745,415.0405674034522,414.9816139555731,415.2401498015198,384.52942849430246,143,32,21,25.0,1,[],[],[],1
7,10902,6973,3929,3486,2441,393,1046,6973.0,5285,3636,1058,830,572,152,565,387,110,673,465,142,21,11,1,3196,2201,653,923,454.6062992272147,,723.1778845123644,930.514694887792,958.9303974844548,1016.6455986621992,453.7198283963175,453.6368027882388,452.3329214797985,450.5935266921145,140,22,32,26.0,1,[],[],[],1
8,10902,7644,3258,3822,2675,630,1147,7644.0,3330,3645,897,838,965,228,202,246,67,309,316,85,2,0,0,1979,2118,517,3030,483.07351002493107,,800.5957153712292,1002.7051138866418,1051.5977420695292,1087.950160758435,379.61669816530537,380.00487439273485,379.0511091782797,107.16463552789708,154,11,41,15.0,1,[],[],[],1
9,10902,7106,3796,3553,2487,644,1066,7106.0,4505,2978,798,767,455,138,491,334,82,812,555,156,2,4,0,2433,1630,422,2621,479.72110943313794,,773.9826107021656,955.1015781956053,1000.7572979292308,1029.161045615058,477.58016331771654,477.99264859932845,478.14931675415346,387.0019344196007,144,19,28,31.0,1,[],[],[],1
10,10902,7471,3431,3736,2615,573,1121,7471.0,4383,3784,882,700,633,140,773,640,154,186,159,41,4,1,0,2720,2351,547,1853,448.01129659652867,,750.1972895818099,963.2524013408673,1002.1177647755172,1039.9487821162397,448.0466812678936,447.5607744437824,446.92227591789765,314.17046321741583,151,32,30,8.0,1,[],[],[],1
11,10902,7413,3489,3706,2595,533,1112,7413.0,4667,2689,988,655,390,132,722,384,148,545,369,125,11,4,4,2734,1542,579,2558,478.08381371150125,,771.1275028468941,961.0857418343397,998.1186897843636,1047.4057412609973,478.96567912965696,479.0179093166234,477.5171812637844,365.29649086242387,150,26,24,21.0,1,[],[],[],1
12,10902,6061,4841,3030,2121,596,909,6061.0,3566,3333,771,759,701,167,401,385,70,1124,1014,220,0,0,0,1282,1233,314,3232,633.0024107395371,,883.0496429482715,1049.9346263768894,1090.859170857175,1134.1571514663024,521.4767942299978,521.8802345127289,521.8277573285528,0.0,123,18,33,48.0,0,[],[],[],1
13,10902,7420,3482,3710,2597,607,1113,7420.0,4525,3218,840,431,315,82,720,521,150,665,493,102,2,1,0,2707,1888,506,2319,487.8529586198533,,790.493467511468,990.0486310142827,1031.5514932182596,1065.7408883736273,488.8155917872564,488.67499237595695,488.4385074927982,388.76344433716685,150,28,17,26.0,1,[],[],[],1
14,10902,6242,4660,3121,2185,740,936,6242.0,3697,2857,565,1166,887,169,547,421,102,699,541,97,17,13,1,1268,995,196,3783,631.5387280988355,,903.2552309654334,1088.2911042175513,1138.8789901012983,1169.1973910736087,638.2323812160575,639.4718088867119,,638.3359542684065,126,22,45,,1,[],[],[],1
15,10902,6985,3917,3492,2445,686,1048,6985.0,3714,3426,744,632,642,137,507,456,92,689,600,153,5,4,0,1881,1724,362,3018,521.4353043191221,,817.7758500390449,1001.2553451318506,1048.516638610399,1072.7129306635377,518.2564076083663,520.3091008731608,519.783775054302,518.407931357634,140,22,29,29.0,1,[],[],[],1
16,10902,7296,3606,3648,2554,609,1094,7296.0,4659,3262,844,1009,715,181,319,179,55,589,401,120,22,13,3,2720,1954,485,2137,446.7311068312811,,757.5124348478506,973.7919603444298,1018.6309384766024,1050.7903616964966,378.940989804798,379.25118781898834,379.32999738652586,349.64796053432894,147,12,39,23.0,1,[],[],[],1
17,10902,7522,3380,3761,2633,604,1128,,3853,4651,796,492,601,98,378,515,85,516,599,89,4,3,0,2463,2933,524,1602,457.6685975692702,,761.4149590647968,972.8939623787131,1013.256595714412,,405.6128074052952,405.5188483004524,405.6869523252294,343.6449514318254,152,20,24,25.0,1,[],[],[],126
18,10902,7571,3331,3786,2650,631,1136,7571.0,3921,3608,860,583,502,124,589,513,131,402,372,101,7,7,0,2340,2214,504,2513,468.7747848018389,,794.4001756275742,1011.6014708711314,1053.4947208842277,1086.353704481446,383.65148153627877,383.72730822480094,383.2869655864437,365.715941043311,152,25,25,18.0,1,[],[],[],1
19,10902,6949,3953,3474,2432,638,1042,6949.0,3794,3378,806,584,530,122,1005,909,221,274,247,58,3,0,0,1928,1692,405,2924,514.4860014559844,,805.3043812668184,992.5784038223773,1038.6727892846322,1065.9316753259454,515.1877617462261,514.4906021533998,514.3330692867349,123.25455389669953,140,43,25,12.0,1,[],[],[],1
20,10902,7261,3641,3630,2541,588,1089,7261.0,3935,3511,881,1071,984,233,196,164,46,447,393,99,7,0,1,2214,1970,502,2575,563.6368483723608,,843.3306969323662,1045.1124193041353,1083.8466504961996,1117.4505603853547,480.58714161015416,482.18654455720906,478.5692369100819,234.99172460950493,146,9,46,19.0,1,[],[],[],1
21,10902,6963,3939,3482,2437,664,1044,6963.0,4311,2716,755,872,580,147,628,401,109,660,416,118,5,2,1,2146,1317,380,3120,546.3122807205926,,833.5361758192637,1016.5675171166594,1064.1722990393935,1089.8071002048393,550.0787595668618,550.8361263841754,551.2529573093541,366.1648611201774,140,23,32,24.0,1,[],[],[],1
22,10902,6894,4008,3447,2413,754,1034,6894.0,3617,2560,642,782,498,134,419,257,66,957,732,162,1,0,0,1458,1073,280,4083,562.0405851282319,,844.8140332859435,1031.0003743355883,1084.326491286747,1103.4729108126553,564.8514571834089,564.1374532254188,564.6271077631154,125.08795034878446,139,15,29,38.0,1,[],[],[],1
23,10902,6365,4537,3182,2228,653,955,,2932,3126,859,418,455,134,594,598,177,922,984,245,6,3,1,992,1086,302,3985,595.6515834410854,,840.0666409656715,1017.6014160852257,1063.6654205455177,,608.8679737926143,609.2352998520181,608.5150400170403,584.8274588561904,129,28,21,44.0,1,[],[],[<Dual_sim_SC_Change_1.Pallet object at 0x784ca2401640>],59
24,10902,7597,3305,3798,2659,391,1140,7597.0,4399,4246,1119,420,376,101,512,477,123,553,592,145,2,3,1,2912,2798,749,1138,424.0266230617283,,740.3621474231254,948.4526624210805,977.4822724609982,1040.4107880228692,421.80000000859917,420.944317296732,421.5689831001301,387.2462746295127,153,23,18,26.0,1,[],[],[],1
25,10902,6719,4183,3360,2352,738,1008,6719.0,3571,3278,630,739,648,114,607,539,115,667,616,132,4,2,0,1554,1473,269,3423,589.1270229807676,,894.4022855285102,1099.9526485452063,1150.3501543436528,1167.9998786302851,589.3614532450027,589.6194255985332,589.8064701446503,586.5933718425023,137,26,31,29.0,1,[],[],[],1
26,10902,7353,3549,3676,2574,651,1103,,3554,2939,863,623,516,157,332,272,73,723,652,178,12,8,3,1864,1491,452,3546,525.3805292364619,,832.4528507092261,1040.2910110196897,1083.3911496158037,,403.785802967123,406.21581822955727,406.5417184237895,324.9052466392497,149,14,26,32.0,1,[],[],[],39
27,10902,7423,3479,3712,2598,660,1113,7423.0,3594,3232,799,665,645,147,422,378,86,506,495,111,14,8,2,1987,1706,453,3277,509.0086956585056,,806.6995551670016,1010.3372404490915,1055.1720414928577,1085.6845211051054,394.3908018641704,394.8981381744121,395.37459882252614,394.4156322393282,150,18,30,23.0,1,[],[],[],1
28,10902,8154,2748,4077,2854,773,1223,,5111,2870,644,819,459,96,599,360,79,196,107,16,7,7,3,3490,1937,450,2277,449.81400791690083,,799.7451496479836,1018.6522676783517,1074.4579010413045,,352.03823079096617,351.41316082196084,351.52113441108804,335.7411218376914,165,21,28,7.0,1,[],[],[<Dual_sim_SC_Change_1.Pallet object at 0x784c9ee7cb30>],77
29,10902,7757,3145,3878,2715,571,1164,7757.0,4575,3312,914,724,484,132,543,429,118,359,266,69,11,8,2,2938,2125,593,2101,448.5872185450116,,749.7632498798624,970.3792005983969,1010.6150685882637,1050.915315396072,378.01114863833516,378.50894094419226,377.5449645667484,364.8848960954503,157,22,27,14.0,1,[],[],[],1
30,10902,6911,3991,3456,2419,531,1037,6911.0,3563,2423,1170,415,321,137,626,422,209,935,602,319,3,2,0,1584,1076,505,3746,523.1322083898683,,822.5979373232009,1012.1977971572009,1048.4516097778906,1082.6715181178126,521.671640663445,521.3705114364056,521.5351884747431,366.957185582712,140,26,18,38.0,1,[],[],[],1
31,10902,5866,5036,2933,2053,636,880,5866.0,3759,3656,665,1117,1080,193,753,691,136,483,468,91,7,16,1,1399,1401,244,2822,592.1610238619293,,834.0933612653627,1008.1085153478381,1054.1152536885365,1071.0665428222942,591.4206073658615,591.2182458157406,592.6350508504944,590.2741980075854,119,32,48,21.0,1,[],[],[],1
32,10902,7161,3741,3580,2506,807,1074,7161.0,4630,3805,473,500,400,39,452,382,56,1001,801,110,0,0,0,2677,2222,268,1994,475.4328502785184,,752.8283519529766,974.8665256116204,1036.5400044672913,1063.3227169319605,476.1594668761049,476.59653225264566,476.80157720195206,0.0,145,18,19,39.0,0,[],[],[],1
33,10902,8019,2883,4010,2807,782,1203,8019.0,4289,2403,722,704,381,137,635,352,109,326,170,53,9,4,3,2615,1496,420,3488,496.0595053539782,,851.7372639456438,1067.80731194313,1121.1898243848268,1150.3887351506505,341.27076835874647,341.34910294238364,335.21392390495373,331.2671092569768,163,22,25,11.0,1,[],[],[],1
34,10902,7338,3564,3669,2568,528,1101,,3657,2960,1065,669,530,209,538,407,153,512,411,129,2,3,1,1936,1609,573,3220,516.8138356494862,,805.2519216504871,1024.8499176369394,1063.853971782407,,514.1427821553127,515.4361342047282,514.932488865128,287.034118926331,149,22,29,22.0,1,[],[],[],187
35,10902,7691,3211,3846,2692,645,1154,7691.0,5089,4783,718,464,443,59,404,399,61,650,626,88,6,9,2,3565,3306,508,312,413.11627306213865,,721.0632415776018,940.6040602087899,983.9729017744736,1027.8051574341962,409.23096909202746,408.5869006601461,409.36819721969584,405.14678476801544,155,18,20,28.0,1,[],[],[],1
