,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7671,3231,3836,2685,682,1151,7671.0,2983,3087,851,633,655,183,23,22,4,744,748,195,8,15,1,1575,1647,468,3981,517.9946992870985,,830.9589850013841,1046.9589850013842,1092.9589850013938,1124.1589850014009,379.1482824156776,380.786570703966,380.33116529856056,376.34377791117305,155,1,30,34.0,1,[],[],[],3
1,10902,7323,3579,3662,2563,568,1098,7323.0,3527,3683,926,521,559,142,718,699,179,314,371,75,1,0,0,1973,2054,530,2766,506.4561374794188,,804.0204231937047,1012.2204231937047,1053.6701589800768,1089.070158980085,415.13451585779455,414.6511825244612,413.90703838031703,142.60748883075928,148,32,25,16.0,1,[],[],[],1
2,10902,6769,4133,3384,2369,805,1015,6769.0,3590,2978,508,873,708,137,393,329,56,826,684,102,12,11,2,1486,1246,211,3826,606.6108866747835,,881.7751723890697,1072.5751723890696,1139.7751723890694,1178.37517238907,481.2406164045095,482.08476054865366,482.068093881987,380.78340919729925,137,16,35,33.0,1,[],[],[],1
3,10902,7402,3500,3701,2591,593,1110,7402.0,3753,3397,898,479,446,105,639,588,156,477,482,118,2,6,2,2156,1875,517,2854,473.5681585241809,,774.5324442384666,985.1324442384672,1026.532444238475,1061.388991212902,378.942032398052,379.2974378034574,379.00869906471866,376.93167203769156,150,28,21,22.0,1,[],[],[],1
4,10902,6795,4107,3398,2378,680,1019,6795.0,3342,3074,838,619,583,150,423,399,130,819,756,217,2,7,2,1479,1329,339,3648,597.8991957155719,,873.8634814298582,1064.663481429858,1112.663481429867,1135.2634814298722,474.0505470669196,474.89469121106373,474.555952472325,470.89063715700956,137,20,28,36.0,1,[],[],[],3
5,10902,8009,2893,4004,2803,774,1201,8009.0,3565,2762,707,939,713,174,507,390,98,28,17,4,10,10,3,2081,1632,428,3868,509.6216420966463,,834.7859278109321,1062.5859278109322,1117.9859278109438,1146.5859278109504,352.2435586861881,353.2043694969991,351.06067580330523,350.78860373123325,163,20,37,1.0,1,[],[],[],1
6,10902,7540,3362,3770,2639,694,1131,7540.0,4961,2003,784,678,265,101,710,300,118,775,282,128,2,3,0,2796,1153,437,3154,483.2869574119608,,789.4512431262468,1002.6512431262471,1051.0512431262564,1080.251243126263,368.1253413724387,368.01408011117746,367.99741344451076,362.35507110216827,152,23,21,24.0,1,[],[],[],1
7,10902,6193,4709,3096,2168,534,929,6193.0,4362,3244,911,746,557,152,511,367,120,1166,846,244,0,0,0,1939,1474,395,2385,540.8299183634402,,792.7942040777266,966.7942040777261,1005.9942040777332,1032.1942040777392,460.8150534985732,463.7195580030778,463.61955800307777,0.0,125,20,30,46.0,0,[],[],[],3
8,10902,6365,4537,3182,2228,644,955,6365.0,3798,2848,844,936,710,220,807,598,179,554,394,132,3,2,2,1498,1144,311,3412,614.3222633142664,,873.2865490285525,1053.0865490285526,1106.0865490285528,1153.4865490285526,499.17046151246115,501.1641552061549,501.55289394489364,497.1767678187674,129,32,38,22.0,1,[],[],[],2
9,10902,7262,3640,3631,2542,685,1089,7262.0,3584,2794,833,268,199,57,815,681,213,699,548,159,1,0,0,1801,1366,404,3691,534.6666809786849,,829.630966692971,1034.2309666929712,1081.8309666929802,1108.8309666929863,409.7018161138164,406.34731160931176,409.62388818588846,93.79641070840262,146,35,11,29.0,1,[],[],[],1
