,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7671,3231,3836,2685,682,1151,7671.0,2983,3087,851,633,655,183,23,22,4,744,748,195,8,15,1,1575,1647,468,3981,518.2748392368677,,829.0106192216292,1044.7456548620437,1090.6588088211572,1121.7294613724648,379.3843507567932,381.6688376626465,381.83863994215903,371.90753261269356,155,1,30,34,1,[],[],[],1
1,10902,7323,3579,3662,2563,568,1098,7323.0,3527,3683,926,521,559,142,718,699,179,314,371,75,1,0,0,1973,2054,530,2766,506.16612369869785,,804.5299648160915,1012.021109458236,1053.0854527192596,1088.4284491412234,414.54477014721084,414.56577335120875,413.2473129814235,144.94799440574712,148,32,25,16,1,[],[],[],1
2,10902,6769,4133,3384,2369,805,1015,6769.0,3590,2978,508,873,708,137,393,329,56,826,684,102,12,11,2,1486,1246,211,3826,606.747294602342,,880.9445548130358,1070.7487289113485,1137.9530056226636,1175.0132749373272,481.1419372808557,482.3131804782148,481.9721859356247,381.198558889089,137,16,35,33,1,[],[],[],1
3,10902,7402,3500,3701,2591,593,1110,7402.0,3753,3397,898,479,446,105,639,588,156,477,482,118,2,6,2,2156,1875,517,2854,474.0724796831198,,777.4877593026969,988.1558290563435,1029.478270315948,1064.058941798194,381.0545001281392,380.54527139894657,379.47512518494364,374.24710767824746,150,28,21,22,1,[],[],[],1
4,10902,6795,4107,3398,2378,680,1019,6795.0,3342,3074,838,619,583,150,423,399,130,819,756,217,2,7,2,1479,1329,339,3648,597.6116353035927,,876.7999979460989,1067.4052615213861,1116.0555337563565,1138.7155935456287,474.0966364322205,474.9545150091632,474.795656773128,470.9110758599881,137,20,28,36,1,[],[],[],1
5,10902,8009,2893,4004,2803,774,1201,8009.0,3565,2762,707,939,713,174,507,390,98,28,17,4,10,10,3,2081,1632,428,3868,509.06568918615505,,834.141441631762,1063.9964352133793,1119.8018088210258,1148.4755822233253,353.24263686125374,354.67426441691225,346.9895859587877,352.31277925216443,163,20,37,1,1,[],[],[],1
6,10902,7540,3362,3770,2639,694,1131,7540.0,4961,2003,784,678,265,101,710,300,118,775,282,128,2,3,0,2796,1153,437,3154,483.10320349496715,,791.7817713219122,1004.5378039980405,1053.0234982262225,1082.0806124388096,368.54338861654344,368.3576272382817,368.2293667575635,360.2259717120308,152,23,21,24,1,[],[],[],1
7,10902,6193,4709,3096,2168,534,929,6193.0,4362,3244,911,746,557,152,511,367,120,1166,846,244,0,0,0,1939,1474,395,2385,532.2391192423411,,785.4109253620285,958.6002574983871,998.0025316272043,1024.432426774508,536.0513080219318,536.8702249921745,536.6792194314845,0.0,125,20,30,46,0,[],[],[],1
8,10902,6365,4537,3182,2228,644,955,6365.0,3798,2848,844,936,710,220,807,598,179,554,394,132,3,2,2,1498,1144,311,3412,613.4647397938792,,872.3848989217536,1054.8623878395138,1108.1263402958193,1157.0197759096993,498.5544058435167,500.5746958464381,500.9355748966134,496.71210842470833,129,32,38,22,1,[],[],[],1
9,10902,7262,3640,3631,2542,685,1089,7262.0,3584,2794,833,268,199,57,815,681,213,699,548,159,1,0,0,1801,1366,404,3691,530.1709403924785,,827.783763918876,1030.9235593751619,1078.9341937786946,1105.8917973903506,531.6921355612783,528.1264726044975,531.6809242995802,90.84689497345003,146,35,11,29,1,[],[],[],1
10,10902,7069,3833,3534,2474,641,1060,7069.0,3584,2811,892,952,704,232,333,247,83,634,485,156,3,3,1,1662,1372,420,3615,568.0584684121358,,853.6564289243444,1050.4089454999348,1096.521363668316,1124.6638146819203,445.18405298568615,446.2584148246892,446.6416483527815,342.4531792880117,143,14,38,26,1,[],[],[],1
11,10902,8203,2699,4102,2871,766,1230,8203.0,3148,2555,817,729,599,193,0,0,0,578,438,160,2,0,0,1839,1518,464,4382,528.8017253022285,,863.2762074024266,1096.661490196567,1150.9712599718564,1181.7718516218047,0.0,313.84173027350516,313.6359370843642,170.94090577833933,166,0,31,24,1,[],[],[],1
12,10902,7139,3763,3570,2499,399,1071,7139.0,4606,4600,1045,661,674,135,396,377,88,635,636,150,7,3,1,2907,2910,671,651,437.8716930837974,,729.7097562503285,929.4393760647666,956.6042570492729,1023.804058365973,426.363135177508,426.2293762933428,427.31552494786433,400.6905041981151,144,18,30,29,1,[],[],[],1
