,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3
0,10902,6640,4262,3320,2324,435,996,0,4336,4053,1058,590,518,154,625,582,157,735,688,182,11,16,4,2375,2249,561,1455,541.4442606683317,1130.966271778814,814.36174392442,1075.136966088919,1174.516676981117,,496.6106675191431,496.1638952709572,496.9298812646702,489.58862639147543,134,28,26,33,1,0,0,9
1,10902,7429,3473,3714,2600,438,1114,0,4520,3970,1042,596,519,126,504,449,123,541,495,116,2,2,0,2877,2505,677,1370,478.9458704336359,1117.1715818237215,782.4883283045117,1066.9632444315012,1162.0582570388283,,435.0003757536193,435.00042913140675,435.00233818540966,372.43238304468196,150,22,25,24,1,0,0,11
2,10902,7375,3527,3688,2581,512,1106,0,4581,4053,911,593,515,97,459,382,90,646,602,130,7,6,0,2876,2548,594,1357,475.2716858542062,1093.2950819231635,772.3449638909744,1047.6541177048264,1144.6799377761176,,471.08747538211884,472.29061766280347,473.13163953080993,414.1596792548714,149,19,25,28,1,0,0,6
3,10902,7037,3865,3518,2463,386,1056,0,4483,3478,1152,841,631,192,462,388,118,607,454,172,0,0,0,2573,2005,670,1789,508.42560990713673,1127.0292777479776,795.999646967358,1071.8014467736164,1166.046493535164,,449.409830634395,449.3794216471089,449.04412996851164,414.1596792548714,143,20,34,25,1,0,0,11
4,10902,6916,3986,3518,2463,386,1056,0,3552,2656,727,739,567,144,421,346,94,846,638,174,11,5,1,1535,1100,314,3967,508.42560990713673,1127.0292777479776,795.999646967358,1071.8014467736164,1166.046493535164,,449.409830634395,449.3794216471089,449.04412996851164,414.1596792548714,143,20,34,25,1,0,0,11
5,10902,7308,3594,3654,2558,584,1096,0,4202,3811,856,666,625,139,106,113,35,902,830,169,3,5,1,2525,2238,512,2033,518.7147683628551,1138.8467139833758,809.3328312630711,1097.288537219453,1197.4561916538746,,449.4219148112237,449.65968339856175,449.60830139648806,380.16367660564055,148,6,29,39,1,0,0,5
6,10902,7554,3348,3777,2644,548,1133,0,3851,3972,969,707,733,182,170,176,44,603,563,157,4,8,1,2367,2492,585,2110,500.45158266776497,1152.0381930883816,807.3581552963003,1105.0623987835688,1206.716510931244,,435.0016300620931,435.0012893593097,435.00285824072006,361.8759336298811,152,8,33,27,1,0,0,7
7,10902,7562,3340,3781,2647,795,1134,0,4116,3447,610,547,450,88,602,470,108,529,454,75,7,10,0,2431,2063,339,2729,509.8944391469133,1144.4943170082379,817.2915838964958,1114.905679721868,1224.0619123536478,,401.2701385473015,400.0881382712825,401.1140174240233,370.758019417815,152,24,22,22,1,0,0,2
8,10902,6942,3960,3781,2647,795,1134,0,2892,3469,899,406,469,109,481,557,141,704,854,238,1,0,0,1300,1589,411,3642,509.8944391469133,1144.4943170082379,817.2915838964958,1114.905679721868,1224.0619123536478,,401.2701385473015,400.0881382712825,401.1140174240233,210.48326029908998,152,24,22,22,1,0,0,2
9,10902,7117,3785,3558,2491,825,1068,0,3345,2905,581,356,258,60,673,631,133,798,688,140,26,17,5,1492,1311,243,4071,601.8486932273017,1222.6493974231475,903.5377152151437,1187.2657586941273,1224.0619123536478,,460.29319133922576,459.7943798567163,459.3848942647168,456.2547939497464,144,29,14,33,1,0,0,5
10,10902,8066,2836,4033,2823,522,1210,0,4246,3625,1019,536,461,134,0,0,0,827,681,197,0,0,0,2883,2483,688,2012,459.29854010220043,1138.5948307448466,786.2698689991057,1089.564097807513,1191.7084281278424,,460.29319133922576,377.879404703081,377.99904691050176,456.2547939497464,163,29,23,35,1,0,0,8
11,10902,6399,4503,3200,2240,603,960,0,2905,3833,829,527,693,150,243,282,56,985,1289,267,4,7,0,1146,1562,356,3335,621.8316819814621,1205.0244510410462,892.5040101554888,1151.6193558071147,1286.0615890502638,,621.3861244511908,621.4855035208997,621.6862609676998,488.2194959492181,129,12,28,51,1,0,0,0
12,10902,7204,3698,3602,2521,591,1081,0,3723,2498,980,988,697,234,406,247,111,498,372,145,0,0,0,1831,1182,490,3701,576.113754565749,1212.4791526773179,870.0320395101961,1156.7312131674466,1291.6693973507556,,440.03545625302087,440.6228307106175,439.92633346780974,488.2194959492181,146,16,39,21,1,0,0,4
13,10902,6899,4003,3450,2415,747,1035,0,3822,2890,651,527,441,108,825,622,142,684,534,113,2,4,1,1784,1289,287,3539,609.0898629159491,1213.7010638313673,899.0748387907113,1174.2877642530843,1308.9174730971488,,492.4489986424093,493.11930600888746,492.83044338613115,399.94447074577397,139,32,22,27,1,0,0,2
14,10902,6760,4142,3450,2415,747,1035,0,3747,2446,995,1302,807,327,342,244,84,514,363,154,3,1,1,1586,1031,429,3714,609.0898629159491,1213.7010638313673,899.0748387907113,1174.2877642530843,1308.9174730971488,,492.4489986424093,493.11930600888746,492.83044338613115,399.94447074577397,139,32,22,27,1,0,0,2
15,10902,6920,3982,3460,2422,632,1038,0,3720,2518,858,697,463,142,824,573,185,563,399,124,6,5,1,1630,1078,406,3806,584.7674688227818,1190.7590665441442,863.8786933745989,1139.9613464613615,1274.098475994664,,456.1203333333062,456.0029180303439,454.6853646713617,449.91997050865416,140,32,27,22,1,0,0,1
16,10902,7523,3379,3762,2633,515,1128,0,4520,3001,1009,598,348,118,528,343,122,644,457,148,36,29,8,2714,1824,613,2372,494.43934927644926,1141.296318555199,801.8603831837453,1093.3825744658784,1192.8860979662416,,491.8020435511882,491.8884449678211,491.6734660856558,492.53540234087075,152,20,22,25,2,0,0,7
17,10902,7876,3026,3938,2757,531,1181,0,3688,3183,1044,269,230,69,424,423,120,694,589,205,2,1,0,2299,1940,650,2987,493.67009547885135,1164.6075197133587,812.9775618954653,1115.0839060028,1218.4271637289226,,354.16271390269804,354.0260554806573,354.00294957097196,351.3709893216922,159,20,12,30,1,0,0,7
