,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,8036,2866,4018,2813,858,1205,8036,3523,2933,570,327,294,59,476,389,71,649,496,91,7,5,2,2064,1749,347,3876,591.4802006552073,1190.6195628040953,945.4111530361599,1173.2111530361599,1249.4111530361727,1272.611153036178,349.5082587516027,349.1445200128639,349.4332587516027,338.93438487772846,163,19,14,25,1,[],[],[],2
1,10902,7912,2990,3956,2769,633,1187,7912,4199,2719,864,0,0,0,879,562,158,756,467,150,10,6,2,2554,1684,554,3120,547.6964168714222,1156.528495032948,905.8273692523746,1130.8273692523749,1199.6273692523841,1236.6273692523926,344.2930072221919,0.0,344.2430072221919,343.53219641138105,160,32,0,28,1,[],[],[],2
2,10902,7514,3388,3757,2630,562,1127,7514,4147,3539,925,567,462,125,579,492,133,493,434,102,1,0,0,2507,2151,565,2291,505.9511525781373,1100.2932797816593,857.2821049590897,1070.68210495909,1139.2821049590982,1176.8821049591068,382.8025039294849,383.09664807362907,383.1299814069624,194.1943958213711,152,25,24,21,1,[],[],[],2
3,10902,7333,3569,3666,2567,679,1100,7333,3970,3440,752,651,565,123,634,535,119,382,353,76,67,51,13,2236,1936,421,2740,553.4918270689101,1122.6625556931947,887.4227794498627,1095.4227794498627,1169.6227794498727,1197.622779449879,405.4855207625994,405.40218742926606,405.0967820238606,403.44182706890564,148,26,27,17,3,[],[],[],2
4,10902,8093,2809,4046,2833,613,1214,8093,3284,3521,925,683,754,208,0,0,0,495,551,115,0,2,1,2106,2214,601,3172,570.0067988430895,1185.644900507759,930.9377512240426,1157.9377512240426,1227.7377512240514,1267.7377512240605,0.0,397.4396612509468,397.3063279176135,288.4189405302228,163,0,33,24,1,[],[],[],2
5,10902,7046,3856,3523,2466,690,1057,7046,4627,3815,656,811,667,115,606,507,83,516,450,90,5,5,1,2689,2186,367,1804,533.5670879424034,1081.99038997465,859.8980403233561,1059.498040323356,1129.2980403233662,1153.8980403233718,441.89546632077906,441.9621329874457,442.4508717261845,411.9787996541115,143,24,32,22,1,[],[],[],1
6,10902,8126,2776,4063,2844,698,1219,8126,3680,2868,852,746,593,180,254,203,55,362,274,95,10,3,1,2308,1795,521,3502,569.9437141687202,1189.56956500055,932.6746665496728,1162.6746665496735,1237.2746665496834,1272.0746665496913,311.66341530585044,311.99382071125586,312.15755944999466,276.3348117022458,164,11,31,15,1,[],[],[],1
7,10902,7696,3206,3848,2694,628,1154,7696,3570,4669,844,436,600,115,402,560,100,371,511,102,2,6,1,2359,2992,526,1819,489.8510277274837,1092.198031548844,850.7819801084368,1066.5819801084367,1135.5819801084456,1170.5819801084535,398.1294061058594,398.51814484459817,397.7823340337873,289.15035205180203,155,22,24,20,1,[],[],[],2
8,10902,7821,3081,3910,2737,269,1173,7821,4194,3767,1345,822,750,260,384,387,131,165,132,47,1,0,2,2822,2498,905,1596,507.2262214887332,1131.1551305734265,869.7571738696857,1091.3571738696862,1149.9571738696898,1212.286082954379,426.527777590287,426.1419667794761,424.8811559686653,146.88971452721543,158,19,37,7,1,[],[],[],2
9,10902,7012,3890,3506,2454,520,1052,7012,3559,3789,1008,713,777,207,546,547,156,388,430,110,7,6,3,1905,2029,532,2546,580.6549867447804,1138.5476314516413,896.7859391257329,1096.785939125733,1174.1859391257408,1209.5859391257488,446.41579755558723,446.804536294326,446.0270588168485,421.6360678258568,143,25,34,19,1,[],[],[],2
10,10902,6834,4068,3417,2392,732,1025,6834,3198,2158,851,607,388,169,383,298,117,1092,732,270,7,3,2,1109,737,293,4695,714.3910492797407,1240.094776456149,996.3220016606933,1189.922001660694,1289.9220016607044,1309.5220016607088,455.80906729775097,455.72573396441766,455.7924006310843,393.3266348653167,138,16,24,42,1,[],[],[],2
11,10902,7631,3271,3816,2671,700,1145,7631,3648,2966,789,494,401,90,746,658,178,339,286,77,2,0,0,2067,1621,444,3499,569.6049754299814,1159.89812378899,915.5359278109338,1131.535927810934,1207.1359278109446,1236.7359278109514,371.4463897700413,371.1684618421134,370.87972310337466,222.56801139165844,154,32,20,15,1,[],[],[],1
12,10902,7892,3010,3946,2762,529,1184,7892,4590,4009,956,534,457,119,0,0,0,901,806,182,7,4,0,3148,2742,655,1347,489.0014556009872,1109.4227063015694,857.9324079819402,1079.5324079819397,1146.1324079819476,1189.7324079819575,0.0,406.2023769769058,407.02399859852756,397.99967427420285,159,0,23,38,1,[],[],[],2
13,10902,7975,2927,3988,2791,506,1196,7975,4026,3347,1063,626,527,154,343,279,93,422,341,125,11,5,1,2624,2195,690,2466,509.9437141687185,1133.8224184934224,878.2746665496715,1102.4746665496716,1168.4746665496787,1214.4746665496891,338.5119276968671,338.4452610302004,338.0565222914617,327.24390967884864,160,15,27,18,1,[],[],[],2
