,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,6896,4006,3448,2414,405,1034,6896.0,4625,3572,1138,718,529,175,640,534,175,628,428,157,11,9,2,2628,2072,629,1567,519.7588044007579,1077.1352851667002,840.6099818505653,1032.8009924965388,1104.9471192777203,1147.1474930422744,519.1008152093004,519.1074170645809,518.7771364258426,426.3910436947823,139,27,29,25,1,[],[],[],1
1,10902,7098,3804,3549,2484,477,1065,7098.0,3315,3884,1078,586,730,208,490,566,154,432,491,125,11,8,3,1796,2089,588,2625,548.175382892154,1115.7908717469766,873.2145469124603,1073.4677600771945,1148.6159163968184,1187.8681946235956,409.0590616914487,408.79136230393425,409.47200208377853,383.81677102398663,143,25,31,21,1,[],[],[],1
2,10902,7463,3439,3732,2612,660,1119,7463.0,3572,3744,807,355,333,82,476,447,106,723,757,160,0,0,0,2018,2207,459,2779,554.7900270218105,1133.3914477328415,893.953197153692,1105.1283500165978,1178.489040317189,1209.2067650401536,550.7012916298977,551.2158573726053,551.4774456552836,0.0,151,21,16,33,0,[],[],[],1
3,10902,6853,4049,3426,2399,684,1028,6853.0,3954,2946,706,647,515,117,1056,776,180,417,261,64,6,9,1,1828,1385,344,3296,632.8538131620672,1154.2266497994012,931.1374655633009,1124.4715786041045,1200.9118676453172,1223.606857647097,451.97525212327366,451.6723532327682,449.7918169291002,445.7021914115889,138,41,26,15,1,[],[],[],1
4,10902,7421,3481,3710,2597,637,1113,7421.0,3884,3524,880,469,428,125,400,373,99,723,685,179,0,0,0,2292,2038,477,2614,557.3658046407893,1139.5336595980202,894.5442027517973,1105.538248230734,1182.0823293609396,1213.7628181494952,551.2103202314412,552.3673530643091,552.2714964852952,0.0,150,18,21,32,0,[],[],[],1
5,10902,6389,4513,3194,2236,819,958,6389.0,3662,2882,411,950,728,116,740,587,80,680,544,73,8,5,2,1284,1018,140,3947,740.7065110737607,1200.5477839364141,1005.6329613600223,1180.9177987776538,1256.2356855374007,1265.481452062442,523.6677714405104,523.6740719193315,523.4796861177124,494.48168363518215,129,29,36,26,1,[],[],[],1
6,10902,5607,5295,2804,1962,624,841,5607.0,4573,3126,617,557,404,72,544,361,76,598,390,80,1208,833,172,1666,1138,217,2586,706.8590779338907,1138.6968274780486,942.3386387816446,1105.1953673856265,1181.4501949482192,1195.8285370871217,709.4409738075594,708.6260756820659,708.7878702079549,709.3949603406746,114,20,21,22,45,[],[],[],1
7,10902,7283,3619,3642,2549,723,1092,7283.0,4159,4409,625,712,768,119,346,351,51,583,593,85,5,5,1,2513,2692,369,1709,534.5603015031944,1086.0881492821131,866.2362819419473,1067.2060432776398,1135.3158421516887,1159.7798722698515,448.1178179623147,448.8571837004311,450.1511870188518,352.58168791866683,146,15,32,26,1,[],[],[],1
8,10902,7239,3663,3620,2534,579,1086,7239.0,3352,3350,962,449,448,117,400,371,107,437,402,124,341,359,108,1725,1770,506,3238,622.1877807126846,1183.718977907449,941.6596259058341,1145.0037603562917,1222.4039254344711,1256.0904123661066,620.2334271135275,620.6131684535579,620.2285484219565,619.4665946273518,146,18,21,20,17,[],[],[],1
9,10902,6359,4543,3180,2226,722,954,6359.0,4595,3221,507,870,606,100,587,384,61,1062,750,114,3,5,1,2073,1476,231,2579,652.4808687618483,1129.184566123955,929.1070364024923,1108.5253316276924,1177.3207566671351,1192.548684168058,655.634989507302,655.3195387654753,654.6027519063597,504.28658333747177,129,21,32,39,1,[],[],[],1
