,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7184,3718,3592,2514,628,1078,7184.0,4277,3494,840,623,549,143,527,463,108,656,505,139,3,2,0,2468,1975,450,2291,552.1217794391141,1112.2851823664441,878.6926888175129,1079.7199836569505,1155.065239993166,1185.0606297787408,547.5436729179413,547.4678425736703,547.4174410117395,292.0554155470379,145,22,27,26,1,[],[],[],1
1,10902,7245,3657,3622,2536,672,1087,7245.0,4434,2917,784,686,459,135,526,345,101,351,235,63,410,276,70,2461,1602,415,2767,597.64507102664,1157.5635703471862,922.7384976488787,1125.965894380131,1203.7130928921863,1231.5654274215465,418.59050645091645,418.864085037688,419.37555906863764,418.8548847061653,146,20,26,13,16,[],[],[],1
2,10902,7280,3622,3640,2548,576,1092,,4705,4176,803,702,614,108,169,146,20,889,807,159,5,3,0,2940,2606,516,1218,503.2510011673326,1072.4367513666732,843.2363552926168,1046.517942032552,1111.7404101666436,,413.8118836000464,415.50810318568705,414.7845608759909,294.75549608828203,146,7,29,38,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x00000213F80849D0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000213F8086310>, <Dual_sim_SC.TLMD_Pallet object at 0x00000213F8086750>, <Dual_sim_SC.TLMD_Pallet object at 0x00000213F7AC9410>]",216
3,10902,6430,4472,3215,2250,716,964,6430.0,3926,3605,537,620,538,82,578,532,73,516,446,55,507,447,78,1705,1642,249,2834,645.374413838337,1126.213217375277,926.846132368038,1104.553591494977,1174.7634194047848,1191.4233925128835,642.2779035319634,641.0723953392526,642.1242761435641,642.3365318387944,130,24,25,21,21,[],[],[],1
4,10902,6856,4046,3428,2400,645,1028,6856.0,3673,2686,851,677,494,139,683,503,158,717,502,171,1,1,0,1595,1186,383,3692,659.8193462436707,1187.7623229077476,950.3864829476356,1147.2519031461636,1231.5590898942012,1256.9170292822646,653.9262103795185,654.3271972543326,654.0601526449474,377.8336428788242,138,27,27,28,1,[],[],[],1
5,10902,7326,3576,3663,2564,611,1099,,4105,3421,875,578,514,120,556,502,120,546,430,139,36,27,8,2389,1948,488,2501,569.7211247843508,1142.393087234344,901.7316563858783,1110.1890182662376,1184.1199745321524,,410.5859129819723,410.448286320132,410.6582597110818,405.05820524482783,148,24,25,23,2,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x00000213FA10E790>, <Dual_sim_SC.TLMD_Pallet object at 0x00000213FA10D590>, <Dual_sim_SC.TLMD_Pallet object at 0x00000213FA10E410>]",188
6,10902,6596,4306,3298,2309,579,989,6596.0,5384,1980,880,790,291,123,858,343,152,942,300,153,221,91,42,2573,955,410,2658,611.8628986616891,1128.658381053762,902.9056633127078,1088.670184087342,1168.14097043867,1195.4680853505763,607.0934306537844,607.030600290386,607.1431698592761,606.4300067332862,133,28,25,28,8,[],[],[],1
7,10902,7808,3094,3904,2733,602,1171,7808.0,4515,3745,852,626,538,109,228,176,38,684,552,135,5,2,1,2972,2477,569,1790,560.4146962502565,1156.0029756961512,913.1449952964849,1127.4244076846553,1196.7783231104518,1234.8926119540904,551.9485904828794,553.9080925139247,554.0122408906822,410.39577714599744,158,9,26,28,1,[],[],[],1
8,10902,8209,2693,4104,2873,682,1231,8209.0,3331,2873,874,431,387,135,354,261,80,506,430,109,0,0,0,2040,1795,550,3824,626.1576915097316,1241.3382849719924,980.6947133607703,1213.346703983063,1287.4052291912587,1323.8881417361042,355.3822272826357,354.24682217744487,355.87562968308805,0.0,166,14,20,21,0,[],[],[],1
9,10902,7721,3181,3860,2702,659,1158,7721.0,3451,3162,860,418,401,109,162,151,44,859,830,207,0,0,0,2012,1780,500,3429,609.9195409857778,1193.6001926949955,947.8655346216142,1163.8955528654178,1238.125365563309,1271.5628389367391,603.3408037162319,603.7122631096701,603.9904983773969,0.0,157,8,19,38,0,[],[],[],1
10,10902,7147,3755,3574,2501,391,1072,7147.0,4781,2289,1197,1069,487,250,534,270,131,585,291,135,1,2,0,2592,1239,681,2635,579.34275294181,1150.6081964316286,899.7156121604869,1103.5338098216694,1177.3009708792438,1222.953471640832,406.50972920866803,407.589640625337,406.5097335078356,346.4647721706648,145,19,37,21,1,[],[],[],1
11,10902,7355,3547,3678,2574,747,1103,7355.0,3907,3344,675,606,526,101,543,443,114,561,522,103,15,12,1,2182,1841,356,2976,630.9948659025139,1180.4196563948612,946.4400789472849,1154.90237327659,1230.8984256552874,1254.69043253142,440.48138968574403,440.60319642814267,440.62955892568664,427.05540138154953,149,22,25,24,1,[],[],[],1
12,10902,7014,3888,3507,2455,457,1052,7014.0,4208,3578,1032,708,585,176,335,272,79,829,714,181,3,5,1,2333,2002,595,2084,543.7817010713612,1109.2236311605702,870.773355420132,1072.3266567083317,1140.6123819629713,1180.0999958637492,541.17706377555,545.0197208067626,545.4029754863403,533.747648064117,143,14,30,35,1,[],[],[],1
13,10902,7295,3607,3648,2553,601,1094,7295.0,3837,3722,838,448,442,93,428,392,91,797,750,161,2,3,0,2162,2135,493,2505,617.3274102009522,1170.183304523101,936.0643017480419,1142.0229429847093,1211.0920967093193,1243.994435384381,455.51841991237404,455.83150035891816,455.1894700730209,407.20480330385885,147,19,20,35,1,[],[],[],1
14,10902,6030,4872,3015,2110,537,904,6030.0,4057,2822,978,998,707,248,465,314,113,1057,712,246,7,2,3,1530,1087,368,3045,687.6961789238525,1171.1512209097282,942.6380771376739,1116.670729522511,1207.6293698454622,1232.1562492796913,492.8648210097516,493.6307597049266,492.69599669999195,489.0242379248377,123,18,40,41,1,[],[],[],1
15,10902,7713,3189,3856,2700,552,1157,7713.0,3501,3546,1003,606,593,184,335,290,73,467,484,136,10,6,5,2083,2173,605,2852,560.0664496686013,1156.6265485462577,904.5593784816183,1123.3266051593573,1193.9157744328531,1234.176532515955,350.47312748714745,351.56721083059114,351.1870180144487,346.5960439857543,156,14,28,22,1,[],[],[],1
16,10902,6964,3938,3482,2437,762,1045,6964.0,4609,2217,591,798,361,101,692,327,74,968,471,132,7,6,1,2144,1052,283,3485,682.1573906359092,1196.2271112890978,973.3571744189572,1171.8837515047283,1248.4146102237946,1267.3160759791933,457.3789247050154,457.7167527677396,458.2658894309775,422.0888666021678,140,22,26,32,1,[],[],[],1
17,10902,7630,3272,3815,2670,591,1144,7630.0,3990,3711,886,723,692,151,369,369,89,402,370,90,7,8,2,2489,2272,554,2315,524.0812920339749,1117.2083994003508,874.4677129515527,1088.1802450989242,1157.6633419855384,1194.6836899939299,362.80530692832644,362.0982187850742,362.0307050513754,356.48500178428327,154,17,32,18,1,[],[],[],1
18,10902,6113,4789,3056,2140,508,917,6113.0,3671,3261,1010,635,520,173,577,571,170,772,680,191,218,215,67,1469,1275,409,2960,725.1231246611744,1202.6636419102103,972.8219078912741,1148.8821992912901,1237.7949922239072,1265.0126406029408,535.1679114955303,535.0718874125746,535.7306484286055,535.2925538867302,124,27,27,33,10,[],[],[],1
19,10902,5870,5032,2935,2054,576,880,5870.0,3949,3694,763,697,670,128,485,472,92,357,324,70,805,764,168,1605,1464,305,2496,708.3722872327842,1156.018686327811,953.0961439540886,1116.5208026053704,1195.3544597379675,1215.6744172098088,550.0022147730317,549.7000953265137,548.3386497260159,549.7531116644328,119,21,30,16,35,[],[],[],1
20,10902,7175,3727,3588,2511,760,1076,7175.0,4040,3350,622,591,466,97,944,787,149,345,285,60,1,2,0,2159,1810,316,2890,610.9659589515619,1152.967448453139,925.9183523555477,1128.9803110086825,1204.40759314754,1225.608881711968,425.8230816861906,423.9688298898231,424.71515691730474,382.11977991212405,145,38,24,14,1,[],[],[],1
21,10902,7000,3902,3500,2450,658,1050,,4768,3561,669,938,717,127,274,238,29,801,641,121,12,4,0,2743,1961,392,1904,570.1637216178893,1099.1870568391296,886.1081882391055,1077.8859747480124,1144.076236084204,,448.1894147626508,563.7228998771863,563.1968178802595,412.9187502843563,140,11,36,32,1,[],[],[],42
