,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,6914,3988,3457,2420,766,1037,,3077,3465,630,359,407,67,948,1154,212,369,377,78,9,6,2,1392,1521,271,3730,805.7064881989802,,1155.2374405800101,1397.2374405800651,,,1400.5696274810664,574.1200017124868,573.359190901676,547.801983694468,140,47,17,17,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x000002779CE2B3D0>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779CE2AFD0>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779CE2B5D0>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779D270410>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779D271810>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779D272C10>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779D273E10>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779CD67350>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779CD67550>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779CD65D50>]",1036
1,10902,7539,3363,3770,2639,711,1131,,2878,3134,844,602,635,168,321,384,112,475,509,145,6,6,0,1474,1600,419,4046,719.6315039219503,1392.0646680659893,1081.3624563029634,1345.3624563030235,,,459.5053777958164,459.24997239041096,459.71663905707766,434.4869093273472,152,17,29,23,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x000002779FABF150>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779FABE690>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779FABC850>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779FABE650>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779FABF390>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779FABD710>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779FABDED0>, <Dual_sim_SC.TLMD_Pallet object at 0x000002779FABC0D0>]",652
2,10902,7324,3578,3662,2563,838,1099,,4204,3367,484,776,647,108,650,519,66,406,333,47,13,11,2,2359,1857,261,2847,731.9350250224784,1368.4359351249009,1083.8659774034925,1340.2659774035508,,,557.1552952927434,1344.0282774672426,556.7165565540047,543.3548448422926,148,25,31,16,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x00000277A1556A90>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A1556AD0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A1555C90>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A1555510>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A1554B50>]",391
3,10902,7313,3589,3656,2560,702,1097,,4034,3333,735,454,434,94,501,413,85,781,638,160,21,7,1,2277,1841,395,2800,687.0458387536189,1345.6259473571245,1037.3767911346226,1293.3767911346808,1416.5767911346968,,518.3305234382985,1297.168269224445,517.7751180328931,482.6215144292885,148,20,20,32,1,[],[],[],160
4,10902,7088,3814,3544,2481,688,1063,,3834,2477,789,804,531,167,633,416,120,618,385,124,9,4,3,1770,1141,375,3802,805.2497337614584,,1163.3806861424903,1411.5806861425467,,,568.3929770046946,568.4096436713613,1414.944096715189,451.7195535812677,143,24,31,23,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x00000277A24B0CD0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A24B2C90>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A24B13D0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A24B0390>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A24B3BD0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A24B0150>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A24B2CD0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A24B0F90>]",1062
5,10902,6174,4728,3087,2161,424,926,,4704,2787,1138,922,545,237,1089,645,265,541,332,130,12,6,4,2140,1259,502,2273,775.613811657243,1408.8046034768408,1081.1447640382564,1297.1447640383055,,,1300.5446935669277,637.3539017473289,636.021018864446,633.2165143599415,125,40,35,21,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x00000277A4B95790>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A4B95050>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A4B97250>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A4B97290>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A4B97510>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A4B97790>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A4B97A10>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A4B97C90>]",617
6,10902,7427,3475,3714,2599,742,1114,,3772,2907,681,443,336,74,572,394,95,792,623,138,2,4,2,1963,1550,372,3542,735.6981875861285,1398.1161691954767,1093.8291399671448,1353.829139967204,,,1357.1368899161962,514.3468362347704,517.5734128113471,495.34278218071586,150,22,18,32,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x00000277A5F40250>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A61723D0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A61709D0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A6171250>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A6170110>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A6170290>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A6170190>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A6172C50>]",702
7,10902,7484,3418,3742,2619,652,1123,,3641,3254,830,662,542,147,332,304,82,635,584,130,0,0,0,2012,1824,471,3177,667.3893295833211,1326.4933088067942,1026.3202819643222,1288.3202819643818,1392.3202819643966,,465.81950976349526,465.8861764301619,466.64698724097275,0.0,151,15,28,27,0,[],[],[<Dual_sim_SC.TLMD_Pallet object at 0x00000277A74E2090>],71
8,10902,6395,4507,3198,2238,761,959,,2803,3330,590,722,839,154,665,813,137,477,587,99,4,8,2,935,1083,198,4179,874.4458732992617,,1198.9768256802868,1422.7768256803377,,,1426.2477513420763,651.3562336596154,650.5620895154714,602.674251677632,129,33,35,24,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B72050>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B72DD0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B70450>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B73AD0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B722D0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B71750>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B715D0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B70950>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B717D0>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277A8B71190>]",959
9,10902,6881,4021,3440,2408,641,1032,,4042,3150,794,512,389,101,648,523,117,845,679,183,16,7,1,2021,1552,392,2916,744.4482767177982,1382.3755362553757,1077.1792290988105,1317.9792290988653,,,567.591519961036,566.8473758168919,1321.5313921112297,529.5334118529269,139,26,21,35,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x00000277AA1B5290>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277AA1B6110>, <Dual_sim_SC.TLMD_Pallet object at 0x00000277AA1B7C10>]",462
