,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3
0,10902,5971,4931,2986,2090,646,896,0,4394,2879,689,1800,1224,292,706,440,117,182,130,31,5,4,0,1701,1081,249,2940,509.70219937790586,1033.3287748619691,754.6331517588582,941.6331517588807,1098.0331517588954,,435.00195367765036,435.00195367765116,414.83235908306335,378.2512780019812,120,26,67,7,1,0,0,2
1,10902,7955,2947,3978,2784,670,1193,0,3966,4204,778,627,695,130,0,0,0,667,703,125,0,0,0,2672,2806,523,1954,440.7211916461933,1097.5544560749936,763.4521440271461,1059.8521440271875,1164.6521440272027,,435.00195367765036,322.9572122391052,323.28761764451065,378.2512780019812,160,26,30,30,1,0,0,2
2,10902,7018,3884,3509,2456,606,1053,0,4035,3142,891,597,486,136,690,540,171,632,495,137,0,0,0,2116,1621,447,2834,466.2617321867346,1059.2228664482068,751.5926845676871,978.5926845677178,1120.1926845677317,,354.1314245001556,354.38682990556106,353.98142450015564,378.2512780019812,143,29,25,26,1,0,0,1
3,10902,7469,3433,3734,2614,556,1120,0,3510,2847,1024,489,403,136,113,116,38,501,412,135,516,424,150,1891,1492,565,3521,486.1265970516001,1126.0386779688388,789.257549432553,1074.0575494325972,1181.6575494326098,,324.9916849677343,325.4720903731397,325.3970903731397,325.4720903731397,151,6,21,21,22,0,0,5
4,10902,6625,4277,3312,2319,535,994,0,3467,3524,1005,771,808,221,486,502,151,555,595,173,6,8,1,1649,1611,459,2906,482.167364073987,1056.0147267593509,751.6983164549396,964.8983164549671,1110.2983164549794,,386.64752377914454,387.05292918454995,387.05292918454995,330.2961724277915,134,23,36,27,1,0,0,4
5,10902,7147,3755,3574,2501,428,1072,0,5027,3796,1052,834,618,193,444,370,83,626,448,131,1,6,1,3122,2354,644,1027,396.80227272727365,1039.5678003926275,691.1332251082264,906.7332251082408,1080.3332251082506,,346.7939814249533,347.0281951841678,347.0281951841678,308.92008707605856,145,18,33,25,1,0,0,9
6,10902,7459,3443,3730,2611,722,1119,0,3656,3097,757,665,542,158,318,288,61,395,332,89,290,252,53,1988,1683,396,3392,482.4779484029513,1107.6167422814267,787.4089007839037,1069.4089007839473,1180.4089007839636,,333.25284348214956,332.9974380767441,332.92243807674413,332.84743807674414,151,14,28,17,12,0,0,1
7,10902,6463,4439,3232,2262,588,969,0,4247,3180,813,426,348,80,612,423,109,121,105,23,1120,852,220,1968,1452,381,2662,461.06646191646416,1054.923823095654,723.997414297417,922.997414297435,1113.7974142974483,,354.5399423548226,354.870347760228,354.13453694941717,355.020347760228,131,23,18,5,44,0,0,1
8,10902,6478,4424,3239,2267,495,972,0,3867,2762,1031,1011,728,252,638,408,150,650,435,152,0,0,0,1568,1191,477,3242,486.9148351068039,1041.9672341213852,750.2457874877567,955.4457874877816,1091.845787487793,,383.69229210925846,384.17269751466387,383.76729210925845,355.020347760228,131,24,40,25,44,0,0,6
9,10902,7310,3592,3655,2558,631,1096,0,4430,2678,898,667,373,156,581,349,116,628,383,132,104,75,28,2450,1498,466,2896,467.95835380835626,1089.4418175509218,765.0893061893087,1040.289306189345,1153.2893061893594,,318.8374108380606,319.167816243466,318.43200543265516,317.1407892164389,148,21,24,23,5,0,0,3
