,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7167,3735,3584,2508,706,1075,7167,3785,3143,707,767,600,142,666,588,134,440,324,61,6,6,1,1906,1625,369,3267,593.4180518792143,1004.8012263382582,728.2401239513679,818.1124212487155,834.9090428702061,1015.478703815741,415.03967350083053,415.03967350083053,414.6342680954251,411.3910248521818,145,28.0,31.0,17,1.0,[],[],[],1
1,10902,7246,3656,3623,2536,693,1087,7246,3094,3142,871,648,624,184,345,360,102,568,627,190,3,4,1,1530,1527,394,3795,633.3384006350669,993.393961949289,769.6604727072214,845.4591213558966,861.9307429775187,1004.716034021367,426.5066438783039,,426.91204928370934,332.85799522965243,146,17.0,,28,1.0,[],[],[],1
2,10902,8582,2320,4291,3004,758,1287,8582,3700,3940,730,70,66,25,366,382,71,607,617,101,6,5,4,2651,2870,529,2532,572.4620502900716,984.1741225370938,733.8341223622413,833.4868250649913,851.5496629028298,998.8711946091739,420.3994581524748,418.4474311254477,420.8048635578802,353.9129716659863,173,17.0,4.0,27,1.0,[],[],[],1
3,10902,8104,2798,4052,2836,737,1216,8104,4518,3321,678,606,438,75,597,467,77,273,212,47,1,5,0,3041,2199,479,2385,538.1566652448088,988.8852703423233,690.528737316973,796.8787373170375,819.4476562359649,1002.3073424144027,396.745178758318,397.48098956912884,397.1505841637234,360.11772175585975,164,23.0,23.0,11,1.0,[],[],[],2
4,10902,6796,4106,3398,2379,585,1019,6796,4178,3444,828,508,429,85,498,400,88,1037,840,221,0,0,0,2135,1775,434,2452,584.2032536426777,993.7052355377873,712.0503257148271,801.3003257148812,820.0503257148926,1006.002307609866,451.265845780266,451.265845780266,451.265845780266,0.0,137,20.0,21.0,42,,[],[],[],2
5,10902,6825,4077,3412,2389,632,1024,6825,5019,4297,649,1122,936,136,415,358,54,518,447,64,17,7,3,2947,2549,392,937,510.5325407405741,977.9614246990216,638.9046128127227,728.529612812777,752.2296128127914,989.2084967710996,468.3849977430299,469.1417544997867,468.7363490943813,454.5471599051917,138,17.0,44.0,21,1.0,[],[],[],2
6,10902,6791,4111,3396,2377,556,1019,6791,3941,3351,879,694,541,146,656,578,145,659,566,126,0,0,0,1932,1666,462,2731,617.2126688527453,998.4516574569949,744.9847409248946,825.5347409249348,838.7577138977913,1011.4541349344792,466.84282855790053,466.18201774708973,466.5124231524951,0.0,137,28.0,28.0,28,,[],[],[],1
7,10902,8466,2436,4233,2963,664,1270,8466,3481,2999,927,556,437,142,0,0,0,597,516,178,6,3,1,2322,2043,606,3495,569.5049754299815,1002.5019889212138,728.7020475021499,829.5844799344867,845.4506961508499,1019.1044663987002,0.0,329.23810857029065,329.4631085702906,307.01581127299266,171,,23.0,26,1.0,[],[],[],1
8,10902,6673,4229,3336,2336,456,1001,6673,4124,3922,993,716,654,183,516,530,110,698,657,152,4,6,3,2190,2075,545,1863,566.5087224330617,999.0076667692333,692.0307945052097,779.6307945052628,796.7307945052731,1014.0797388413137,474.4816954060319,474.0762900006265,475.29250621684275,437.5898035141389,135,24.0,32.0,31,1.0,[],[],[],2
9,10902,7112,3790,3556,2489,398,1067,7112,4027,3044,1200,1103,786,301,263,197,75,506,387,155,10,7,0,2145,1667,669,2631,544.7940155180072,1023.8613221015395,678.5660875901601,771.9410875902167,786.8660875902258,1042.0387995790268,403.19309414208163,403.6734995474871,403.2876887366762,398.3282292772166,144,11.0,44.0,21,1.0,[],[],[],1
10,10902,6358,4544,3179,2225,705,954,6358,4542,3742,500,565,475,67,522,433,56,831,691,91,412,364,37,2212,1779,249,2118,629.7958326710451,1002.6381447101261,749.4679047431895,825.3408777160906,842.1679047432284,1010.3156221876071,517.5735353737443,,517.4985353737444,517.4985353737444,129,21.0,,33,17.0,[],[],[],1
11,10902,6145,4757,3072,2151,494,922,6145,4082,2916,1015,501,361,148,546,380,141,622,481,125,758,521,173,1655,1173,428,2889,666.6626819927255,975.5826828057636,782.2847540648675,844.0725919026365,976.9847540648218,987.7297548778422,506.4881119681508,,506.4881119681508,508.1097335897725,125,22.0,,25,30.0,[],[],[],2
12,10902,7071,3831,3536,2475,657,1061,7071,3338,3187,819,681,664,162,1006,947,239,60,49,13,4,4,2,1587,1523,403,3558,627.6278201401174,1010.7308514932733,760.6498922122698,838.3762435636531,854.0066489690591,1022.2779235653516,,431.041763629055,427.46811498040626,426.17689876419,143,,31.0,3,1.0,[],[],[],1
13,10902,6020,4882,3010,2107,508,903,6020,4860,2969,931,949,561,185,807,501,167,943,585,184,0,0,0,2161,1322,395,2142,599.7430455182234,995.7315649890021,713.0401175903639,792.0901175904119,811.1401175904234,1007.0536370610802,484.64347549365,485.0488808990554,485.0488808990554,0.0,123,30.0,34.0,35,,[],[],[],2
14,10902,7259,3643,3630,2541,700,1089,7259,4803,2793,677,499,306,84,483,268,59,1127,666,146,4,1,0,2690,1552,388,2629,550.4200027037061,1004.5726500438213,686.9670747758607,782.2920747759185,808.5420747759345,1015.7447221158993,404.99002727372635,405.7258380845372,405.49002727372635,389.9900272737259,146,17.0,18.0,39,1.0,[],[],[],1
