,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7280,3622,3640,2548,581,1092,7280,4964,3263,854,766,491,122,497,309,71,723,464,148,17,12,2,2961,1987,511,1821,501.12900833573696,1076.1184403565917,842.6599607166899,1047.05996071669,1115.6599607166982,1149.6599607167059,407.62966353638967,407.57966353638966,407.9517356084618,392.20759146431715,146,18,28,27,1,[],[],[],3
1,10902,7470,3432,3735,2614,733,1120,7470,4460,3012,675,318,212,45,748,488,115,798,552,126,19,10,1,2577,1750,388,2755,532.6679811164769,1108.816410238114,875.7989334974297,1086.3989334974294,1159.1989334974403,1185.1989334974462,384.2251678486593,383.7530957765872,384.5472399207314,370.0526453261363,151,28,12,30,1,[],[],[],1
2,10902,7487,3415,3744,2620,756,1123,7487,4097,3634,614,527,489,75,771,684,108,307,245,51,79,66,13,2413,2150,367,2557,547.5119802334532,1116.8864044713005,888.2429326144062,1098.642932614406,1168.642932614417,1193.2429326144227,409.31873699020593,409.5741423956112,409.6408090622779,407.27504329651214,151,32,22,13,4,[],[],[],1
3,10902,8104,2798,4052,2836,410,1216,8104,3870,3670,1176,623,598,189,195,182,52,425,395,126,5,5,3,2622,2490,806,2186,530.5733917557154,1166.6099221017507,900.5043441366678,1130.7043441366684,1195.704344136674,1249.5043441366863,403.10179060911025,403.92926808658774,402.54638520370486,382.66485367217274,164,9,29,19,1,[],[],[],1
4,10902,8003,2899,4002,2801,520,1200,8003,4623,2584,1074,662,399,162,485,260,112,443,256,120,0,0,0,3033,1669,680,2621,518.8792997543043,1147.9060214520673,886.8102521352566,1114.8102521352566,1184.4102521352645,1229.6102521352748,341.1823899973947,340.5603179253228,340.6603179253227,0.0,162,18,25,17,0,[],[],[],3
5,10902,8254,2648,4127,2889,678,1238,8254,3575,3348,861,348,340,101,285,293,84,533,546,115,0,2,1,2409,2167,560,3118,547.6630835380889,1178.2892038785837,919.1940359190417,1151.9940359190418,1224.5940359190515,1261.99403591906,347.4716563532691,347.7603950920079,348.18246716408004,319.05161130822324,166,14,16,24,1,[],[],[],2
6,10902,7225,3677,3612,2529,599,1084,7225,4385,3980,792,520,491,92,526,513,92,694,608,123,8,10,0,2637,2358,485,1745,511.6353771003793,1078.945761483249,849.1663294813318,1054.366329481332,1120.3663294813407,1152.766329481348,419.24551223551305,418.76217890217976,419.20517644517594,413.4752419652426,146,23,23,29,1,[],[],[],1
7,10902,8353,2549,4176,2924,840,1253,8353,3172,2866,675,415,373,100,173,192,42,595,521,116,10,8,4,1979,1772,413,4189,609.6901105651178,1229.2823193529111,973.2210629460706,1209.0210629460705,1286.4210629460829,1314.0210629460892,348.273542271335,348.5622810100736,348.5789476767403,327.17579452358655,169,9,18,25,1,[],[],[],2
8,10902,7524,3378,3762,2633,513,1129,7524,3618,3369,1066,586,571,159,353,308,117,569,535,170,4,2,4,2106,1953,616,2849,541.7446716849648,1136.5458332984683,885.2756240659173,1098.6756240659179,1171.6756240659251,1212.8756240659345,386.40996652525513,387.07077733606593,386.8320385973272,376.9023088675972,152,16,27,26,1,[],[],[],1
9,10902,7022,3880,3511,2458,396,1053,7022,4991,3976,1063,725,556,147,513,390,113,739,551,146,0,0,0,3014,2479,657,872,475.49451152418317,1046.6715602818012,822.8540353337071,1012.8254639051356,1074.6254639051415,1118.4254639051514,430.3967433014137,431.6296261842967,431.66295951763,0.0,143,21,29,29,0,[],[],[],3
