,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7271,3631,3636,2545,828,1091,7271.0,4545,2488,509,424,227,52,641,372,77,1132,564,118,12,12,0,2336,1313,262,3360,535.4163256121509,1059.6586075451648,832.3806113264366,1036.3806113264368,1115.3806113264493,1132.9806113264533,421.8194787653007,421.4920012878232,421.48074002656193,409.6406499364715,146,22,15,37,1,[],[],[],1
1,10902,7837,3065,3918,2743,485,1176,7837.0,3865,3932,1048,698,686,176,225,246,59,409,438,119,1,5,3,2532,2557,691,2057,442.796416871419,1021.0768526559463,760.760702585705,982.5607025857054,1054.9607025857122,1100.9607025857226,344.8529834194913,345.019650086158,344.88631675282465,334.04037080687834,158,11,32,20,1,[],[],[],3
2,10902,7136,3766,3568,2498,534,1070,7136.0,3972,3894,942,776,733,183,434,456,97,491,470,126,0,0,0,2271,2235,536,2094,491.2497084994113,1029.191329203879,781.2139942136972,983.2139942136977,1065.6139942137052,1101.4139942137133,424.2911499408508,424.1744832741841,423.93574453544534,0.0,144,20,34,22,0,[],[],[],2
3,10902,6533,4369,3266,2287,433,980,6533.0,4187,3762,1084,935,815,225,523,520,158,544,492,154,1,2,0,2184,1933,547,1869,529.2744993870159,1043.1825387613208,795.2387851013018,980.6387851013021,1073.0387851013083,1109.4387851013166,470.76278767530266,470.7294543419693,469.9965714590864,349.49657145908276,132,25,40,24,1,[],[],[],2
4,10902,7402,3500,3701,2591,815,1110,7402.0,4634,2987,540,1231,747,152,379,269,42,350,256,51,14,9,0,2660,1706,295,2741,503.688881665615,1038.6109274023534,804.6531673799007,1015.2531673799012,1093.8531673799132,1113.4531673799177,412.5028251545559,412.6969692987001,412.3582305599613,358.4893116410408,150,14,43,14,1,[],[],[],3
5,10902,7729,3173,3864,2705,727,1159,7729.0,4800,3362,663,893,625,117,842,565,111,0,0,0,9,9,2,3056,2163,433,2077,443.57389434889654,1000.2043336450837,757.3381800631824,976.7381800631823,1049.7381800631933,1078.7381800632,373.9562072417949,373.8133939739817,0.0,361.3719730075603,157,31,33,0,1,[],[],[],1
6,10902,7126,3776,3563,2494,719,1069,7126.0,3448,3601,671,801,809,142,189,197,37,715,743,141,1,0,1,1742,1852,350,3182,596.2284099004477,1122.2814742710057,885.9926956147335,1087.9926956147342,1171.9926956147444,1195.3926956147498,491.22840990044455,493.9995810716158,491.80588737792203,196.77075224277797,144,9,36,32,1,[],[],[],1
7,10902,7075,3827,3538,2476,600,1061,7075.0,3089,3306,959,449,457,140,590,602,165,570,656,193,3,2,0,1477,1589,461,3548,555.2329063289089,1098.3022886968372,842.5971920431952,1041.797192043195,1139.9971920432038,1170.7971920432108,434.40002344602243,434.7275009235,434.3554288514279,315.9270504730459,143,28,21,29,1,[],[],[],2
8,10902,7117,3785,3558,2491,676,1068,7117.0,4564,2312,789,1031,526,194,469,222,72,762,369,131,6,3,0,2296,1192,392,3237,517.6829753829091,1052.7528733307406,807.0472610971949,1009.2472610971954,1099.6472610972053,1125.6472610972112,405.79331526824575,406.58745941238993,406.14872067365116,315.62664860157633,144,16,36,26,1,[],[],[],3
9,10902,7994,2908,3997,2798,858,1199,7994.0,2737,3912,581,524,758,118,254,375,56,298,443,64,6,10,2,1655,2326,341,3672,502.3576781326821,1072.291803760348,826.3219638469685,1050.3219638469686,1130.321963846981,1153.121963846986,361.9073371427973,362.11274254820273,360.25238218784233,356.1649948004548,160,14,28,17,1,[],[],[],2
