,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7271,3631,3636,2545,828,1091,7271.0,4545,2488,509,424,227,52,641,372,77,1132,564,118,12,12,0,2336,1313,262,3360,527.585075185837,1051.4908027724916,829.5994231728328,1028.3695336799776,1107.5105309807645,1125.0359792007416,530.053737935977,530.7918554010657,531.8258062494843,530.9026388782848,146,22,15,37.0,1,[],[],[],1
1,10902,7837,3065,3918,2743,485,1176,7837.0,3865,3932,1048,698,686,176,225,246,59,409,438,119,1,5,3,2532,2557,691,2057,442.8941972508048,1022.4176658017522,764.8097507724111,984.026012477015,1055.5977307485566,1101.4700752751796,346.7038651402999,346.8435334132701,346.7417969853882,336.01230378496984,158,11,32,20.0,1,[],[],[],1
2,10902,7136,3766,3568,2498,534,1070,7136.0,3972,3894,942,776,733,183,434,456,97,491,470,126,0,0,0,2271,2235,536,2094,490.7813201710621,1027.7144341920728,781.8943562547033,981.7561071022207,1064.1943252952728,1099.995986908754,488.091191064322,488.2180644402594,487.73435280088404,0.0,144,20,34,22.0,0,[],[],[],1
3,10902,6533,4369,3266,2287,433,980,6533.0,4187,3762,1084,935,815,225,523,520,158,544,492,154,1,2,0,2184,1933,547,1869,526.8904671892042,1041.6995204379336,797.7990918056109,980.0160413684197,1071.7316093916254,1108.188703611566,523.5134946632278,523.9380768195691,524.0319607422277,359.6973347411062,132,25,40,24.0,1,[],[],[],1
4,10902,7402,3500,3701,2591,815,1110,7402.0,4634,2987,540,1231,747,152,379,269,42,350,256,51,14,9,0,2660,1706,295,2741,503.28248180533825,1037.239538635353,803.8547775996994,1014.3347165720978,1092.3156023831943,1111.7536807748907,500.6203894875736,500.6012256827013,500.28604246202974,369.8969141434973,150,14,43,14.0,1,[],[],[],1
5,10902,7729,3173,3864,2705,727,1159,7729.0,4800,3362,663,893,625,117,842,565,111,0,0,0,9,9,2,3056,2163,433,2077,444.4595414252015,1003.9310065985857,762.0169237673524,981.1996723729872,1052.8416464082968,1081.6896815560303,375.79759655773296,375.6862330234352,0.0,358.73542079540596,157,31,33,0.0,1,[],[],[],1
6,10902,7126,3776,3563,2494,719,1069,7126.0,3448,3601,671,801,809,142,189,197,37,715,743,141,1,0,1,1742,1852,350,3182,590.2968203025848,1116.2675142591618,881.0762487578972,1082.627108951754,1164.8198810257288,1188.409394194617,588.9007218049222,589.0129943263263,589.0537652197125,202.89942099357378,144,9,36,32.0,1,[],[],[],1
7,10902,7075,3827,3538,2476,600,1061,7075.0,3089,3306,959,449,457,140,590,602,165,570,656,193,3,2,0,1477,1589,461,3548,550.4251957618774,1098.1958122488718,840.0899897063468,1041.4577928846454,1139.5950196970475,1170.4331233347145,550.8632008242433,550.5194836343251,550.8953915933768,315.4779679687659,143,28,21,29.0,1,[],[],[],1
8,10902,7117,3785,3558,2491,676,1068,7117.0,4564,2312,789,1031,526,194,469,222,72,762,369,131,6,3,0,2296,1192,392,3237,515.1396967810758,1048.5190718061804,805.0756834809159,1006.2660948167421,1094.9361743621273,1121.2475159675705,405.7948729809327,405.83152650640426,405.8839433863607,320.9503850944195,144,16,36,26.0,1,[],[],[],1
9,10902,7994,2908,3997,2798,858,1199,7994.0,2737,3912,581,524,758,118,254,375,56,298,443,64,6,10,2,1655,2326,341,3672,502.38548028775415,1071.153250569464,825.9407673191384,1049.3114766870053,1128.7504662343044,1151.5968271994398,362.90626361284217,363.2767966504434,361.18378870794805,349.10182294065817,160,14,28,17.0,1,[],[],[],1
10,10902,8013,2889,4006,2805,577,1202,8013.0,4869,2942,938,351,204,73,774,485,145,492,270,95,0,0,0,3252,1983,625,2153,446.7678692476633,1029.02285853619,772.5958321220221,996.5926940681833,1068.4697634787065,1109.7968711535498,343.4512501090279,343.085852469233,343.8242820272897,0.0,163,29,13,18.0,0,[],[],[],1
11,10902,8061,2841,4030,2821,674,1209,8061.0,3406,3397,851,376,374,98,374,413,85,460,494,129,23,12,3,2173,2104,536,3248,486.9705761530574,1071.1796434922546,812.4476267899895,1039.5234646738295,1117.1879117390697,1153.0901079568278,326.54158973131916,326.6567295847268,327.2782799171209,323.36659828433125,163,18,17,22.0,1,[],[],[],1
12,10902,6937,3965,3468,2428,620,1041,6937.0,4136,3756,821,209,175,48,665,630,120,993,882,228,9,2,4,2260,2067,421,2189,548.2938717926623,1073.3770939202893,829.1077468804286,1030.4683874482341,1115.559831321945,1143.5355678635567,549.9073032741417,544.6082175501344,549.5296736661393,333.6641049392252,140,29,9,43.0,1,[],[],[],1
13,10902,6235,4667,3118,2182,604,935,6235.0,4270,2771,807,779,466,143,636,425,123,1163,722,210,0,0,0,1692,1158,331,3054,599.2009372110191,1083.596354148259,855.2635380267271,1029.8136692121814,1124.5001637460473,1147.0104941179657,494.24699214462504,494.01734835873253,494.2219088382881,0.0,126,24,28,42.0,0,[],[],[],1
14,10902,6569,4333,3284,2299,685,985,,3663,2197,904,558,307,152,348,197,83,575,346,162,884,515,206,1298,832,301,4138,591.7384908268584,1117.742579091931,863.7506417397858,1047.7333384834133,1164.2872059702877,,594.9650139628261,595.2956077741287,594.2454624784248,595.1672996740808,132,13,21,22.0,33,[],[],[],1
15,10902,7182,3720,3591,2514,568,1077,7182.0,3845,3648,906,591,584,130,485,438,105,602,614,160,7,2,2,2160,2010,509,2503,514.9335877710149,1059.5488418876455,807.1201258711374,1015.065593542502,1098.5779737383307,1132.5242604775697,514.8108698232109,513.7514692428658,514.8359228263777,514.8709178220344,145,21,27,28.0,1,[],[],[],1
16,10902,7103,3799,3552,2486,815,1065,7103.0,4426,3832,452,655,534,69,762,626,76,534,486,57,0,0,0,2475,2186,250,2192,530.4941261407586,1042.3945943357785,819.4101226106233,1024.5480487879909,1097.6357315615696,1114.4115060374013,531.445712759074,531.8461809814249,530.5116528345942,0.0,144,30,26,22.0,0,[],[],[],1
17,10902,7481,3421,3740,2618,594,1122,7481.0,3501,2765,979,585,463,153,286,241,65,772,623,232,0,1,0,1858,1437,529,3657,509.00900177188254,1074.0495414171296,811.1976343216226,1023.9791683988578,1114.2425764884624,1149.3100936242483,381.80365666917635,381.5245688881045,381.67733229337574,291.82644777795036,151,12,25,33.0,1,[],[],[],1
18,10902,6830,4072,3415,2390,478,1024,,4989,2537,1010,1102,595,233,486,234,90,793,396,140,1,2,0,2607,1310,547,2366,494.5144511917957,1024.0851966201733,775.0392124649564,972.5768276214723,1056.464022818499,,417.05331426176673,416.44686390071087,417.39829387658386,338.1001390388875,138,17,39,27.0,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x0000022BE7FE4550>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE7FE4B10>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE7FE41D0>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE7FE5A50>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE7FE7390>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE858FAD0>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE858E650>]",397
19,10902,7737,3165,3868,2708,573,1161,7737.0,3343,3833,954,452,548,127,473,562,130,344,400,107,8,12,2,2066,2311,588,2772,491.98613857109456,1061.7302003887198,803.5468625616533,1021.1157852638167,1100.5919983209685,1139.8221682785277,399.6964457260814,400.1046993679641,399.25076066268724,391.2540597266508,157,24,23,18.0,1,[],[],[],1
20,10902,8173,2729,4086,2861,699,1226,8173.0,3846,3352,816,0,0,0,422,353,105,899,751,184,12,3,0,2513,2245,527,2888,474.226969537879,1063.3544877708953,807.0882246655223,1035.4710580393296,1111.0397818475772,1146.05388530992,323.32277839612004,0.0,323.50824362490306,293.392550592247,165,18,0,37.0,1,[],[],[],1
21,10902,8047,2855,4024,2816,759,1207,8047.0,4154,4014,642,675,631,88,228,206,32,460,455,74,3,3,0,2788,2719,448,2092,444.29625296093946,1020.5756700587003,769.3471497242006,997.2599005262186,1071.7290908709965,1101.8103160988462,367.74705986293316,367.57272832003133,367.7457804031278,300.86575929733243,163,10,28,20.0,1,[],[],[],1
22,10902,6785,4117,3392,2375,532,1018,6785.0,3329,3144,1051,702,691,214,462,430,143,650,598,207,10,9,1,1505,1416,486,3378,550.8971128870927,1085.48085003259,826.9824742851558,1019.6074526854433,1121.9860477739553,1154.2706448931701,550.6609257947257,553.2748030793817,551.1905811600095,419.277852844543,137,21,33,30.0,1,[],[],[],1
23,10902,7083,3819,3542,2479,451,1062,7083.0,4619,3333,1033,498,398,104,772,515,168,716,480,150,13,5,0,2620,1935,611,1917,510.5152284710515,1040.3405383621541,798.5277083096627,993.8965082002895,1071.2386301265765,1111.7010686008734,508.0852244666351,507.24069857181547,508.58106922636006,369.7113728190244,143,30,20,27.0,1,[],[],[],1
24,10902,7011,3891,3506,2454,561,1052,7011.0,4161,2937,946,770,523,198,387,292,83,845,594,170,21,3,5,2138,1525,490,2858,526.6464173477596,1067.670189721238,812.5390049852397,1016.8219106668704,1104.769384897318,1137.5146428876976,433.5773175063545,435.4019796897229,435.932473959212,409.8452765107055,143,16,30,33.0,1,[],[],[],1
25,10902,6687,4215,3344,2340,708,1003,6687.0,4307,3082,616,664,486,88,585,384,83,1032,738,149,0,5,1,2026,1469,295,2897,559.8129457196687,1054.984106313848,834.7270306952375,1022.032813153111,1103.086733467992,1122.5989789805076,564.2834385098475,564.1089029481764,563.8717800749096,438.3017284566521,135,22,25,39.0,1,[],[],[],1
26,10902,6417,4485,3208,2246,570,963,,3423,3186,949,543,509,169,801,771,209,669,629,176,4,3,2,1406,1274,393,3344,636.1925806061436,,893.5986667367941,1073.977478224291,,,635.8788454423077,635.5807707069016,634.0408886003262,440.95073614312463,130,36,25,30.0,1,[],[],"[<Dual_sim_SC.TLMD_Pallet object at 0x0000022BE89D6450>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE8B18CD0>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE8B18B50>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE8B1AA90>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE8B1B8D0>, <Dual_sim_SC.TLMD_Pallet object at 0x0000022BE8B19A10>]",963
27,10902,7191,3711,3596,2517,636,1079,7191.0,4146,2895,856,713,436,154,421,306,90,789,632,170,0,0,0,2223,1521,442,3005,532.6947011384353,1067.215621539945,823.135200519741,1021.4867121614906,1109.7610760049618,1139.0330995753143,430.8528028785452,430.8938002132576,430.72935330054344,0.0,145,17,27,32.0,0,[],[],[],1
28,10902,7407,3495,3704,2592,533,1111,7407.0,4347,2972,978,755,515,169,657,443,140,417,290,89,8,10,2,2510,1714,578,2605,468.3079566711664,1028.1510625674314,773.3508017941289,984.9239727436138,1064.6389889526736,1103.3969149031118,386.4569279262017,385.59449629692233,386.4394018053621,370.4406613810046,150,25,29,16.0,1,[],[],[],1
29,10902,7316,3586,3658,2561,767,1097,7316.0,2893,3791,630,875,1098,194,0,0,0,577,735,106,1,0,0,1440,1958,330,3588,550.4187896352734,1084.9777909720003,846.8836187429919,1056.0479835088615,1137.5861537174037,1159.7328424137252,0.0,549.6909656358532,549.4420915308863,180.38746559775308,148,0,44,29.0,1,[],[],[],1
30,10902,6176,4726,3088,2162,553,926,6176.0,3160,3945,880,728,925,180,448,569,124,694,855,203,0,0,0,1290,1596,373,2917,600.7338113104322,1084.383646504766,855.5960040481007,1026.7606534793326,1122.3240017587827,1147.1631432235856,503.3531144396091,503.6343623632298,503.70994397747694,0.0,125,23,37,36.0,0,[],[],[],1
31,10902,7173,3729,3586,2511,479,1076,7173.0,4306,3245,1019,738,609,166,259,206,61,839,641,193,9,6,2,2461,1783,597,2332,483.24876012988784,1037.4208949471636,774.4151428447007,973.9708184254716,1070.2614945909795,1110.0708143390655,408.7825664371855,409.9886021052114,410.39302534212885,399.48923284816624,145,11,31,34.0,1,[],[],[],1
