,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7823,3079,3912,2738,758,1173,7823.0,5033,3540,645,436,286,58,550,367,85,714,487,85,5,4,2,3328,2396,415,1684,395.003770854588,1000.2163040807609,643.5680565688828,826.3680565689152,876.9680565689267,1033.780589795053,360.34053381863816,360.49053381863826,360.4572004853049,360.0184617465661,123,21,16,26,1,[],[],[],1
1,10902,6926,3976,3463,2424,772,1039,6926.0,3727,3556,547,1100,1086,157,435,430,71,322,315,52,6,2,0,1864,1723,267,3072,502.8120588947655,1017.3400655465692,730.57634460908,892.1763446091168,1018.5763446091285,1040.904351260859,461.6177679746788,462.0177679746788,461.97317338008423,303.4096598665659,108,19,47,14,1,[],[],[],3
2,10902,6856,4046,3428,2400,748,1028,,4037,3554,578,576,527,80,748,655,104,631,609,114,0,2,0,2082,1761,280,2733,483.8939140489987,977.8131804121858,707.6581997633077,867.6581997633441,1009.4581997633554,,448.5662897955736,448.58295646224025,448.7108843901682,419.0216952009781,106,31,24,28,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad3f22ab0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad3f22b70>]",150
3,10902,7033,3869,3516,2462,586,1055,7033.0,3649,2557,1006,732,511,188,551,421,156,643,448,183,17,9,10,1706,1168,469,3690,477.1692414987318,1002.4863318372877,706.3335272130412,870.5335272130785,1026.5335272130874,1057.7335272130945,426.0082839119878,426.07495057865447,426.3970226507265,425.61954517324904,110,23,29,26,1,[],[],[],3
4,10902,7974,2928,3987,2791,542,1196,7974.0,3686,4365,952,451,529,121,289,294,73,497,570,104,0,0,0,2449,2972,654,1899,402.00019474367997,998.042610077597,656.3644804579777,842.36448045802,1015.3644804580282,1058.9644804580382,373.86089972856934,375.6505188931908,375.43252135019105,0.0,124,14,23,24,0,[],[],[],3
5,10902,6777,4125,3388,2372,604,1017,6777.0,3352,3473,909,543,578,152,390,363,99,861,882,244,6,6,1,1552,1644,413,3168,499.3216869403191,984.7896689946919,721.6859726546314,879.8859726546674,920.0859726546765,1018.1539547089837,458.9710897139276,460.55937800221596,460.931450074288,394.05622484906075,106,18,26,40,1,[],[],[],2
6,10902,7848,3054,3924,2747,694,1177,,3549,2893,844,195,178,56,737,588,168,541,453,137,0,1,0,2076,1673,483,3616,427.20377085455874,1022.5322313265237,679.3680565688616,862.3680565689032,1059.5680565689138,,369.71080901755016,369.5067344884744,369.373401155141,366.37297117971224,123,30,9,23,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad267a330>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad26796d0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad2678b00>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad267b6e0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad267ac00>]",353
7,10902,7362,3540,3681,2577,682,1104,7362.0,3927,3583,735,428,395,95,455,421,63,806,703,154,9,10,1,2229,2054,422,2657,412.00320072005894,968.9805464575766,646.967486434355,818.7674864343941,864.1674864344044,1002.9448321718686,379.41069112674734,378.5665469826032,379.86609653215277,340.0363668024218,114,19,19,34,1,[],[],[],2
8,10902,6586,4316,3293,2305,355,988,6586.0,3996,2623,1383,874,564,305,465,326,160,787,545,285,4,1,0,1866,1187,633,2900,497.205443016512,993.6493679185123,713.1697287308228,866.9697287308578,1017.5697287308632,1059.7697287308729,459.6165575018281,459.194485429756,458.5282692135398,404.51475570002464,103,20,35,33,1,[],[],[],1
9,10902,7337,3565,3668,2568,618,1101,,3606,4769,787,543,752,131,333,418,76,367,456,64,181,211,33,2182,2932,483,1740,453.61380308766746,1027.600578469911,690.9780888019733,862.1780888020122,1065.3780888020217,,434.6825547556044,433.9717439447936,434.7992214222711,433.8550772781268,114,17,29,18,9,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad231edb0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad231ee70>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad231ef30>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x7c3ad231eff0>]",288
10,10902,6719,4183,3360,2352,575,1008,6719.0,3886,2905,922,903,684,212,863,648,193,337,251,83,4,3,2,1779,1319,432,3189,513.7705862601737,1021.7272203428686,735.5348719744895,892.3348719745252,930.7348719745339,1056.2915060571609,475.0303493941429,475.94116020495375,471.8204394842329,400.0803493941406,105,35,36,14,1,[],[],[],3
