,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7397,3505,3698,2589,609,1110,,3796,3491,903,486,466,135,400,403,102,710,629,165,3,6,0,2197,1987,501,2712,427.04939552398383,,664.0136812382831,836.6136812383223,953.743977239162,,391.84969919848623,391.738437937225,392.3533232771103,348.7821316309174,115,19,22,31,1,[],[],[],393
1,10902,7556,3346,3778,2645,497,1133,7556.0,3184,2288,1240,540,372,213,455,320,160,618,437,231,0,0,0,1571,1159,636,4190,436.7704375212167,,680.1347232355203,856.5347232355604,889.5347232355679,1037.861344754643,365.09229717575994,364.7368917703545,365.0589638424266,0.0,118,19,23,26,0,[],[],[],1
2,10902,7735,3167,3868,2707,605,1160,7735.0,3537,3248,909,761,700,175,191,167,42,494,492,135,4,4,2,2087,1885,555,3208,420.4037708545649,,668.3680565688659,848.968056568907,889.1680565689161,1014.5256097924406,361.12943684684035,361.56817558557907,360.85736477476826,353.54340081080403,120,8,33,23,1,[],[],[],3
3,10902,6621,4281,3310,2317,644,993,6621.0,3864,2841,786,948,659,189,460,335,92,804,634,152,4,1,3,1648,1212,350,3411,573.1847227837628,,796.7490084980927,951.1490084981278,994.1490084981376,1032.5384303351188,530.3724138456633,530.3557471789967,529.5282697015192,407.5512426744885,103,18,36,32,1,[],[],[],2
4,10902,7498,3404,3749,2624,596,1125,7498.0,4800,3613,827,684,541,115,349,280,61,714,527,121,7,4,1,3046,2261,529,1662,445.13269443322537,,687.2969801475305,862.0969801475702,901.8969801475793,1024.1752296797772,428.16047558518943,427.77173684645066,427.0109260356399,427.7384035131173,117,14,27,28,1,[],[],[],2
5,10902,7228,3674,3614,2530,648,1084,7228.0,3867,4295,766,434,485,90,522,598,118,624,680,122,0,1,0,2287,2531,436,1974,459.33131998726896,,693.4956057015748,862.0956057016132,905.295605701623,1021.8964902478152,436.0428849230214,436.82036240049894,436.83162366176015,372.68297501310957,112,25,21,29,1,[],[],[],1
6,10902,6746,4156,3373,2361,641,1012,6746.0,4042,2461,859,762,468,180,614,377,127,870,545,178,19,13,3,1777,1058,371,3540,475.74820301965633,,695.1124887339626,852.5124887339983,895.3124887340081,1016.912516567537,427.47598417164886,428.30346164912635,427.3759841716488,425.0768850725497,105,23,29,32,1,[],[],[],1
7,10902,8367,2535,4184,2928,536,1255,8367.0,3266,3663,1062,504,587,179,0,0,0,522,574,164,3,2,0,2237,2500,719,2911,415.4537708545694,,683.8180565688732,879.0180565689176,914.8180565689257,1008.1484539057159,0.0,355.3462173408431,355.32414526877113,322.79711824174314,131,0,26,26,1,[],[],[],2
8,10902,7935,2967,3968,2777,627,1190,,4283,2577,885,687,426,136,953,558,184,0,0,0,14,7,2,2629,1586,563,3157,419.5537708545657,,673.9180565688672,859.1180565689093,907.1277970615462,,338.13533903797816,338.30200570464496,0.0,326.86732101995983,124,34,25,0,1,[],[],[],418
9,10902,6518,4384,3259,2281,577,978,6518.0,3620,3874,829,818,813,189,425,515,98,680,690,141,8,7,0,1689,1849,401,2579,473.8030178131045,,685.567303527409,837.5673035274435,876.1673035274523,1055.0553585514108,441.22539355967695,440.54251067679405,441.2087268930103,338.6911593254396,103,21,37,31,1,[],[],[],2
10,10902,7465,3437,3732,2613,779,1120,,3061,3133,733,462,455,107,408,459,117,634,624,168,2,1,0,1555,1594,341,3975,470.8560308927934,,713.820316607104,888.0203166071436,940.0203166071555,,412.1428005787811,412.4982059841865,412.2540618400423,289.7270348130116,117,20,21,29,1,[],[],[],102
11,10902,7208,3694,3604,2523,776,1081,7208.0,2408,3071,764,528,632,179,444,608,130,438,585,150,0,0,0,998,1246,305,4659,476.60025342465667,,711.7645391389674,879.9645391390056,931.5645391390174,1005.7010522218297,409.33929583792735,409.35596250459406,408.90055709918863,0.0,112,24,27,24,0,[],[],[],1
12,10902,5892,5010,2946,2062,349,884,5892.0,4150,2850,1310,426,256,134,549,380,145,1489,1126,496,7,2,0,1679,1086,535,2592,539.7340484337273,,735.8983341480427,873.498334148074,896.6983341480793,1007.5280222356882,506.77849625237195,506.82849625237196,506.9397575136332,441.57489264876637,92,22,17,63,1,[],[],[],3
13,10902,7427,3475,3714,2599,530,1114,7427.0,2932,3070,1118,527,533,171,574,601,198,357,340,164,0,9,1,1474,1587,584,3782,448.40031187334154,,688.564597587647,861.7645975876864,897.1645975876944,1033.6405208703086,398.5605254577702,398.6438587911035,396.17809302533766,388.9641290613735,116,28,25,18,1,[],[],[],2
14,10902,6727,4175,3364,2354,571,1009,6727.0,3945,2689,989,557,439,143,546,359,118,1023,695,290,2,3,0,1817,1193,438,3279,476.7756281890142,,695.9399139033213,852.739913903357,890.9399139033657,1008.17188552858,429.6957312083245,430.22906454165786,430.55654201913535,423.6479834605766,105,21,23,41,1,[],[],[],1
15,10902,7387,3515,3694,2585,703,1108,,3578,3086,772,501,450,84,649,595,155,527,416,128,2,8,0,1899,1617,405,3466,451.8176168341765,,690.5819025484817,862.9819025485209,909.7819025485315,,404.1088910246618,404.75844057421136,403.55889102466176,398.74402615979676,115,28,21,22,1,[],[],[],213
16,10902,6931,3971,3466,2426,738,1040,6931.0,3938,2526,711,650,405,129,806,536,145,722,430,135,6,6,1,1754,1149,301,3727,510.9143950751986,,739.4786807895151,901.2786807895519,950.4786807895631,982.3735223059141,462.8520861371039,462.41334739836515,462.05794199295974,418.7128969479134,108,30,24,26,1,[],[],[],3
