Linehaul,TLMD,NC,TFC,Total,Station_1_1_TM,Station_1_2_TM,Station_1_3_TM,Station_1_4_TM,Station_1_5_TM,Station_1_6_TM,Station_1_7_TM,Station_1_8_TM,Station_1_9_TM,Station_1_10_TM,Station_1_11_TM,Station_1_12_TM,Station_1_13_TM,Station_1_14_TM,Station_1_15_TM,Station_1_16_TM,Station_1_17_TM,Station_1_18_TM,Station_1_19_TM,Station_2_1_TM,Station_2_2_TM,Station_2_3_TM,Station_2_4_TM,Station_2_5_TM,Station_2_6_TM,Station_2_7_TM,Station_2_8_TM,Station_2_9_TM,Station_3_1_TM,Station_3_2_TM,Station_3_3_TM,Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours,Productivity,Total HC
2110,1102,1008,3418,5528,1,4,1,1,1,0,0,0,2,2,1,3,2,1,3,2,1,10,23,1,2,7,2,6,21,2,4,14,20,20,20,5.218320611,1.017261905,5.218320611,5.218320611,5.218320611,0,0,0,0.33705,0.20223,0.26964,0.200666667,0.1806,0.2408,0.466666667,0.42,0.56,5.218320611,1.017261905,0.93707483,0.93707483,0.93707483,0.187414966,0.187414966,0.187414966,0.187414966,0.187414966,0.187414966,0.062613636,0.037568182,0.025045455,43.55040173,50
3384,1504,1880,11819,15203,1,3,1,1,2,0,0,0,2,1,1,2,1,1,1,2,2,22,17,2,4,15,1,4,14,2,4,14,20,20,20,5,4.823412698,5,5,5,0,0,0,0.628625,0.75435,0.5029,0.561388889,0.673666667,0.449111111,2.611111111,0.783333333,0.522222222,5,4.823412698,0.626666667,0.626666667,0.626666667,0.501333333,0.501333333,0.501333333,0.255782313,0.255782313,0.255782313,0.085454545,0.051272727,0.034181818,55.75610485,50
10623,7980,2643,5126,15749,2,3,2,3,2,0,0,0,2,1,1,2,1,1,2,2,2,17,16,2,5,18,2,4,14,1,3,11,21,20,19,6.438181818,2.212486291,6.438181818,6.438181818,6.438181818,0,0,0,0.883753125,1.06050375,0.7070025,0.789229167,0.947075,0.631383333,1.835416667,1.10125,0.734166667,6.438181818,2.212486291,2.66,2.66,2.66,2.035714286,2.035714286,2.035714286,1.773333333,1.773333333,1.773333333,0.431818182,0.272045455,0.190909091,41.95099572,50
4495,3170,1325,13891,18386,1,3,1,1,1,0,0,0,2,1,1,2,1,1,2,2,2,22,17,2,4,14,1,3,11,1,2,7,12,20,12,5.723193855,5.521065183,5.723193855,5.723193855,5.723193855,0,0,0,0.443046875,0.53165625,0.3544375,0.395659722,0.474791667,0.316527778,0.920138889,0.552083333,0.368055556,5.723193855,5.521065183,1.347789116,1.347789116,1.347789116,1.056666667,1.056666667,1.056666667,1.078231293,1.078231293,1.078231293,0.300189394,0.108068182,0.120075758,56.21729693,50
13232,5503,7729,1955,15187,3,3,2,3,5,0,0,0,2,1,1,2,1,1,2,1,2,21,10,1,3,10,2,6,22,1,3,10,20,20,20,5.513333333,1.384896825,5.513333333,5.513333333,5.513333333,0,0,0,2.584384375,3.10126125,2.0675075,2.307965278,2.769558333,1.846372222,5.367361111,6.440833333,2.146944444,5.513333333,1.384896825,3.275595238,3.275595238,3.275595238,0.917166667,0.917166667,0.917166667,1.310238095,1.310238095,1.310238095,0.312670455,0.187602273,0.125068182,43.30243341,50
14394,2508,11886,172,14566,3,3,2,3,7,0,0,0,2,1,2,3,2,1,4,1,2,18,3,2,5,18,1,3,11,1,4,11,21,19,19,6.036430622,0.452732297,6.036430622,6.036430622,6.036430622,0,0,0,3.97438125,4.7692575,1.5897525,2.366194444,2.129575,2.839433333,4.127083333,9.905,3.301666667,6.036430622,0.452732297,0.836,0.836,0.836,0.836,0.836,0.836,0.557333333,0.557333333,0.557333333,0.135714286,0.09,0.06,46.5237657,50
8521,2793,5728,1952,10473,2,3,2,2,4,0,0,0,2,2,1,3,2,1,3,2,2,14,15,1,3,11,2,4,14,1,3,10,18,17,20,5.325625,0.891830853,5.325625,5.325625,5.325625,0,0,0,1.9153,1.14918,1.53224,1.140296296,1.026266667,1.368355556,2.651851852,2.386666667,1.591111111,5.325625,0.891830853,1.551666667,1.551666667,1.551666667,0.7125,0.7125,0.7125,0.665,0.665,0.665,0.176325758,0.112018717,0.063477273,46.04229451,50
1888,944,944,4943,6831,1,4,1,1,1,0,0,0,2,2,1,3,3,1,1,2,2,12,23,1,2,7,1,3,10,2,6,21,20,20,20,5.197686646,1.471130952,5.197686646,5.197686646,5.197686646,0,0,0,0.31565,0.18939,0.25252,0.187925926,0.112755556,0.225511111,1.311111111,0.393333333,0.262222222,5.197686646,1.471130952,0.802721088,0.802721088,0.802721088,0.337142857,0.337142857,0.337142857,0.107029478,0.107029478,0.107029478,0.053636364,0.032181818,0.021454545,46.82217208,50
5847,2652,3195,8803,14650,2,3,1,2,2,0,0,0,1,1,1,2,1,1,2,1,1,22,17,2,4,14,2,4,14,2,4,14,20,20,20,5.679150718,3.619331767,5.679150718,5.679150718,5.679150718,0,0,0,2.13665625,1.28199375,0.8546625,0.9540625,1.144875,0.76325,2.21875,2.6625,1.775,5.679150718,3.619331767,1.12755102,1.12755102,1.12755102,0.676530612,0.676530612,0.676530612,0.451020408,0.451020408,0.451020408,0.150681818,0.090409091,0.060272727,48.00510412,50
13034,7071,5963,414,13448,3,3,2,3,4,0,0,0,2,2,1,3,2,1,3,2,1,18,7,2,6,21,1,3,11,1,3,11,21,19,20,5.430833333,0.4073125,5.430833333,5.430833333,5.430833333,0,0,0,1.993878125,1.196326875,1.5951025,1.187078704,1.068370833,1.424494444,2.760648148,2.484583333,3.312777778,5.430833333,0.4073125,2.004251701,2.004251701,2.004251701,2.357,2.357,2.357,1.571333333,1.571333333,1.571333333,0.38262987,0.253744019,0.160704545,40.53303564,50
