Linehaul,TLMD,NC,TFC,Total,Station_1_1_TM,Station_1_2_TM,Station_1_3_TM,Station_1_4_TM,Station_1_5_TM,Station_1_6_TM,Station_1_7_TM,Station_1_8_TM,Station_1_9_TM,Station_1_10_TM,Station_1_11_TM,Station_1_12_TM,Station_1_13_TM,Station_1_14_TM,Station_1_15_TM,Station_1_16_TM,Station_1_17_TM,Station_1_18_TM,Station_1_19_TM,Station_2_1_TM,Station_2_2_TM,Station_2_3_TM,Station_2_4_TM,Station_2_5_TM,Station_2_6_TM,Station_2_7_TM,Station_2_8_TM,Station_2_9_TM,Station_3_1_TM,Station_3_2_TM,Station_3_3_TM,Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours,Productivity,Total HC
2110,1102,1008,3418,5528,1,4,1,1,1,0,0,0,3,2,2,4,2,2,2,3,3,10,23,2,4,14,2,4,15,1,3,11,22,22,21,5.218320611,1.017261905,5.218320611,5.218320611,5.218320611,0,0,0,0.2247,0.20223,0.13482,0.1505,0.1806,0.1204,0.7,0.28,0.186666667,5.218320611,1.017261905,0.468537415,0.468537415,0.468537415,0.2755,0.2755,0.2755,0.244888889,0.244888889,0.244888889,0.056921488,0.034152893,0.023852814,43.45608336,65
5526,1589,3937,12589,18115,2,3,1,2,3,0,0,0,1,1,1,2,1,1,1,1,1,27,17,4,5,18,2,4,16,1,3,12,32,17,16,5.374686406,5.003577107,5.374686406,5.374686406,5.374686406,0,0,0,2.63286875,1.57972125,1.0531475,1.175631944,1.410758333,0.940505556,5.468055556,3.280833333,2.187222222,5.374686406,5.003577107,0.529666667,0.529666667,0.529666667,0.39725,0.39725,0.39725,0.353111111,0.353111111,0.353111111,0.056427557,0.063729947,0.045142045,53.06223364,65
3384,1504,1880,11819,15203,1,3,1,1,2,0,0,0,2,3,1,2,2,1,2,2,2,22,17,2,5,17,2,4,14,2,4,15,22,22,21,5,4.823412698,5,5,5,0,0,0,0.628625,0.25145,0.5029,0.561388889,0.336833333,0.449111111,1.305555556,0.783333333,0.522222222,5,4.823412698,0.526610644,0.526610644,0.526610644,0.383673469,0.383673469,0.383673469,0.250666667,0.250666667,0.250666667,0.07768595,0.04661157,0.032554113,56.21479075,65
10623,7980,2643,5126,15749,2,4,2,3,2,0,0,0,1,2,2,2,2,2,1,1,1,17,21,2,6,21,2,4,14,1,3,10,32,17,16,6.438181818,1.659364719,6.438181818,6.438181818,6.438181818,0,0,0,1.76750625,0.530251875,0.35350125,0.789229167,0.4735375,0.315691667,3.670833333,2.2025,1.468333333,6.438181818,1.659364719,2.261904762,2.261904762,2.261904762,2.035714286,2.035714286,2.035714286,1.9,1.9,1.9,0.283380682,0.320053476,0.226704545,42.11454333,65
4495,3170,1325,13891,18386,1,3,1,1,1,0,0,0,2,3,3,2,3,1,1,2,2,22,17,2,4,15,2,4,15,2,5,16,22,22,21,5.723193855,5.521065183,5.723193855,5.723193855,5.723193855,0,0,0,0.443046875,0.17721875,0.118145833,0.395659722,0.158263889,0.316527778,1.840277778,0.552083333,0.368055556,5.723193855,5.521065183,1.320833333,1.320833333,1.320833333,0.7925,0.7925,0.7925,0.47172619,0.47172619,0.47172619,0.163739669,0.098243802,0.068614719,55.93652903,65
13232,5503,7729,1955,15187,3,3,2,3,5,0,0,0,2,2,1,2,1,1,3,2,2,20,13,2,6,21,1,2,7,1,3,10,22,22,21,5.513333333,1.061097884,5.513333333,5.513333333,5.513333333,0,0,0,2.584384375,1.550630625,2.0675075,2.307965278,2.769558333,1.846372222,3.578240741,3.220416667,2.146944444,5.513333333,1.061097884,1.559807256,1.559807256,1.559807256,2.807653061,2.807653061,2.807653061,1.310238095,1.310238095,1.310238095,0.284245868,0.170547521,0.119112554,44.13318103,65
14394,2508,11886,172,14566,3,3,2,3,7,0,0,0,6,1,1,2,1,1,3,1,2,17,12,2,6,22,1,3,10,1,4,11,16,16,26,6.036430622,0.098211768,6.036430622,6.036430622,6.036430622,0,0,0,1.32479375,4.7692575,3.179505,3.549291667,4.25915,2.839433333,5.502777778,9.905,3.301666667,6.036430622,0.098211768,0.696666667,0.696666667,0.696666667,0.895714286,0.895714286,0.895714286,0.557333333,0.557333333,0.557333333,0.178125,0.106875,0.043846154,47.63124824,65
6146,1977,4169,13938,20084,2,3,1,2,3,0,0,0,1,1,1,2,1,1,1,1,1,27,17,2,4,14,2,4,15,2,5,16,22,22,21,5.950621902,5.539745628,5.950621902,5.950621902,5.950621902,0,0,0,2.78801875,1.67281125,1.1152075,1.244909722,1.493891667,0.995927778,5.790277778,3.474166667,2.316111111,5.950621902,5.539745628,0.840561224,0.840561224,0.840561224,0.49425,0.49425,0.49425,0.294196429,0.294196429,0.294196429,0.102117769,0.061270661,0.042792208,52.90092661,65
5714,4076,1638,14777,20491,2,3,1,2,1,0,0,0,1,1,1,2,1,1,1,1,1,28,17,1,3,10,2,4,15,2,6,21,15,15,19,5.934439794,5.873211447,5.934439794,5.934439794,5.934439794,0,0,0,1.0954125,0.6572475,0.438165,0.489125,0.58695,0.3913,2.275,1.365,0.91,5.934439794,5.873211447,2.426190476,2.426190476,2.426190476,1.019,1.019,1.019,0.462131519,0.462131519,0.462131519,0.308787879,0.185272727,0.097511962,50.47496571,65
8521,2793,5728,1952,10473,2,3,2,2,4,0,0,0,1,1,2,6,5,1,5,1,1,14,15,2,5,18,2,6,19,1,3,8,22,22,21,5.325625,0.891830853,5.325625,5.325625,5.325625,0,0,0,3.8306,2.29836,0.76612,0.570148148,0.410506667,1.368355556,1.591111111,4.773333333,3.182222222,5.325625,0.891830853,0.931,0.931,0.931,0.525,0.525,0.525,0.83125,0.83125,0.83125,0.144266529,0.086559917,0.060454545,45.92317859,65
