,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,8300,5743,2557,2872,2010,476,861,5743,2774,1995,708,19,15,5,580,395,143,693,520,175,8,4,0,1474,1061,385,2823,402.464687,,360,598.8039727,778.2039727,825.8039727,1024.042776,386.295516,386.7259214,386.895516,341.395516,90,23,1,28,1,[],[],[],2
1,8300,5731,2569,2866,2006,535,860,5731,2929,2406,538,470,357,73,459,376,77,370,323,64,0,0,0,1630,1350,324,2427,434.2929374,,360,635.8322231,823.8322231,877.2322231,1010.76654,421.7421235,421.7921235,422.1225289,0,90,19,18,16,0,[],[],[],2
2,8300,5876,2424,2938,2057,559,881,5876,3578,2023,563,642,397,104,454,239,81,298,151,55,0,2,1,2184,1234,322,2136,415.3186196,,360,618.9150482,809.8579053,865.6579053,1041.971748,1045.695546,412.999817,412.6444116,316.0079251,92,16,23,11,1,[],[],[],1
3,8300,4911,3389,2456,1719,415,737,,3182,1911,761,274,167,72,264,162,63,1276,789,305,8,9,0,1360,784,321,2446,497.5545746,,360,685.4938604,857.2938604,898.8938604,,485.2403984,485.6012092,485.2458038,482.7133714,77,10,11,48,1,[],[],[],285
4,8300,4782,3518,2391,1674,348,717,4782,3569,3020,695,586,494,116,825,700,157,292,289,53,3,3,0,1863,1534,369,1016,504.723114,,360,691.0623997,858.4623997,893.2623997,1097.080142,508.7143696,508.0535588,506.8069371,462.1177479,75,34,24,13,1,[],[],[],1
5,8300,4992,3308,2496,1747,318,749,4992,2903,2328,933,697,626,239,479,326,148,387,289,115,2,0,0,1338,1087,431,2136,454.3186196,,360,630.1436196,793.4579053,825.2579053,975.2200244,444.7804426,445.3054426,445.4662534,162.6432805,78,20,32,16,1,[],[],[],2
6,8300,5252,3048,2626,1838,404,788,,2775,2322,724,607,549,146,452,344,86,396,352,106,6,2,2,1314,1075,384,2479,483.8322632,,360,678.771549,862.571549,902.971549,,478.2707536,,477.9653481,417.1795373,83,18,,18,1,[],[],[],354
7,8300,5856,2444,2928,2050,482,878,5856,2182,2006,775,517,445,166,260,234,92,310,287,116,5,7,5,1090,1033,396,3337,394.7311396,,360,594.6704254,776.0704254,824.2704254,1046.819776,359.933762,359.958762,1052.165195,353.0168701,92,12,23,15,1,[],[],[],1
8,8300,4944,3356,2472,1730,528,742,,2589,2215,578,341,310,72,608,507,146,672,548,145,1,5,1,967,845,214,2918,507.4165329,,360,701.9558186,874.9558186,927.7558186,,496.7345713,,496.3791659,441.1690308,78,26,,28,1,[],[],[],176
9,8300,5406,2894,2703,1892,431,811,5406,3284,2953,646,316,310,71,464,397,88,601,537,107,1,2,0,1902,1707,380,1417,433.8394864,,360,622.2073435,795.7787721,838.9787721,1032.659938,429.7923053,430.5977107,430.6281161,372.5301431,85,19,14,25,1,[],[],[],2
10,8300,5321,2979,2660,1862,400,798,5321,3108,2341,782,731,563,188,230,174,73,524,364,122,4,6,0,1619,1234,399,2069,435.6444623,,360,620.983748,790.583748,830.583748,1017.018456,426.8263195,427.7067249,426.7513195,420.314833,83,10,30,21,1,[],[],[],2
11,8300,5390,2910,2695,1886,475,808,5390,3212,2364,642,688,536,141,353,239,76,444,334,91,4,4,0,1723,1251,334,2082,419.7792937,,360,605.0042937,773.5185795,821.1185795,993.901271,410.6087797,411.0891851,410.2229689,378.1013472,85,14,28,18,1,[],[],[],2
12,8300,5388,2912,2694,1886,444,808,5388,3625,2412,650,633,457,122,634,427,114,260,202,49,6,7,1,2092,1319,364,1613,454.9253612,,360,646.5789326,827.6646469,872.0646469,1006.664504,453.4872507,1011.598849,450.3940074,448.6473858,85,24,25,11,1,[],[],[],2
13,8300,5262,3038,2631,1842,476,789,5262,3521,3204,539,535,457,87,488,492,77,442,397,62,0,1,0,2056,1857,313,1036,463.8659711,,360,652.2338283,831.0052568,878.6052568,1005.068782,466.4682258,466.232415,466.5182258,309.2459285,83,22,22,19,1,[],[],[],2
14,8300,5647,2653,2824,1976,597,847,5647,3589,2755,426,516,386,64,519,407,70,371,267,42,4,7,0,2179,1688,250,1530,434.9895666,,360,633.2717095,817.3288523,876.9288523,1002.269314,431.9237818,432.3041872,431.9683764,418.9008088,89,20,20,14,1,[],[],[],1
15,8300,5227,3073,2614,1829,436,784,5227,2837,2777,692,366,335,90,591,541,146,434,453,107,4,5,1,1442,1443,348,1994,468.8354735,,360,656.8890449,837.9747592,881.5747592,983.6558019,467.890841,467.1550302,987.5055443,422.865841,83,26,16,20,1,[],[],[],2
16,8300,4840,3460,2420,1694,393,726,4840,3637,2424,704,508,350,101,671,457,150,655,446,120,1,1,0,1802,1170,333,1535,498.1163724,,360,682.4556581,851.8556581,891.0556581,1002.928175,495.5328211,495.4882265,496.2740374,383.5463347,77,26,20,25,1,[],[],[],2
17,8300,5523,2777,2762,1933,513,828,5523,2559,2348,608,280,238,65,500,479,109,522,460,119,5,0,0,1252,1171,315,2785,436.0601926,,360,629.5709069,810.3994783,861.5994783,1016.924962,420.6569338,419.6353122,420.3015284,273.1893662,86,22,12,23,1,[],[],[],1
18,8300,5603,2697,2802,1961,424,840,5603,3393,2486,703,376,270,86,572,404,106,448,331,95,2,7,0,1995,1474,416,1718,434.0040128,,360,630.2290128,812.5432986,854.9432986,986.4693458,429.8552925,429.6427004,429.5052925,377.868806,88,22,15,18,1,[],[],[],1
