,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,8300,5700,2600,2850,1995,368,855,5700.0,2528,2042,919,404,320,143,334,280,130,466,359,159,1,4,0,1323,1079,487,2811,398.329855537719,1018.7244402205059,360.0,593.0691412520167,771.5227126806209,808.3227126806293,1073.2637259348028,381.54427848811895,381.49427848811894,381.6638730827135,351.569278488118,89,15,18,20,1,[],[],[],1
1,8300,6003,2297,3002,2101,495,900,6003.0,3248,1921,680,489,333,123,497,292,104,258,152,48,1,0,0,2003,1144,405,2451,385.5626003210258,982.6797928288413,360.0,590.5018860353222,779.3554574639302,828.7554574639414,1029.0190785431364,328.04027833890757,327.831678830307,324.48843558706363,180.7835215821464,94,18,19,10,1,[],[],[],1
2,8300,5720,2580,2860,2002,546,858,5720.0,3178,2259,558,471,335,76,351,270,67,546,352,102,6,3,1,1804,1299,312,2305,429.0714285714272,987.4080488644188,360.0,629.0678571428695,820.750000000058,875.3500000000704,1024.3473345787115,906.6757106202305,420.3890228822939,420.7694282876993,411.0896985579693,89,14,18,20,1,[],[],[],2
3,8300,5892,2408,2946,2062,578,884,,3010,2627,506,439,390,77,210,204,32,490,460,91,7,8,0,1864,1565,306,2157,403.52487961476595,1016.0964870707417,360.0,605.3498796147798,796.5463081862463,1074.1463081862596,,392.77734738661565,395.2293744136427,395.59018522445353,369.5942392785068,92,9,19,21,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x000002648FC12710>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x000002648FC12CD0>]",176
4,8300,5871,2429,2936,2055,546,881,5871.0,3187,1776,589,535,301,105,329,186,61,527,292,85,3,1,4,1793,996,334,2748,401.6556982343483,988.4952599659656,360.0,602.4235553772193,792.9914125201146,847.591412520127,1027.634545680259,392.77348234004046,923.8359822780017,393.2538877454459,361.1268607184179,92,12,19,19,1,[],[],[],2
5,8300,4442,3858,2221,1555,358,666,4442.0,3143,2901,729,871,834,205,398,364,91,518,444,125,4,4,0,1352,1255,308,1527,523.9895666131612,997.964441617658,360.0,703.3288523274692,858.9288523275046,894.7288523275128,1034.5037273319508,520.375903653119,522.4279306801462,522.1671198693354,516.3968495990649,70,18,39,22,1,[],[],[],2
6,8300,5846,2454,2923,2046,320,877,5846.0,4347,2138,813,722,356,108,435,212,83,306,164,64,3,0,1,2881,1406,557,1002,454.5882825040122,1026.931243052321,360.0,665.7239967897526,870.3239967897991,902.3239967898064,1088.4705287666195,463.6045112055355,960.0200567094502,464.7957274217518,250.2112679622858,91,15,24,11,1,[],[],[],1
7,8300,5545,2755,2772,1941,409,832,5545.0,2848,2182,783,540,373,129,152,122,39,690,517,192,0,1,0,1466,1169,423,2487,414.9590690208653,1020.9280073690842,360.0,605.1840690208796,784.1804975923434,825.0662118780672,1069.0672930833798,402.23782559733087,401.45742019192545,401.4324201919255,381.8729607324654,86,7,21,28,1,[],[],[],1
8,8300,5675,2625,2838,1986,483,851,5675.0,2528,2341,657,591,543,146,136,117,27,478,457,116,8,6,0,1315,1218,368,2774,438.9253611556966,1032.1223762237503,360.0,638.9217897271386,831.4325040129013,1049.518218298627,1086.3182182986354,423.09194557751994,422.87235098292535,423.60816179373614,403.5378915234653,89,6,26,22,1,[],[],[],2
9,8300,4329,3971,2164,1515,387,649,4329.0,2778,2609,736,203,204,71,505,419,125,1101,1063,277,2,1,0,967,922,263,2177,559.7311396468687,1043.7246950247131,360.0,755.8704253611887,907.4704253612232,1074.070425361232,1100.270425361238,549.0094075019365,550.5560291235581,550.2952183127472,376.2817047992285,68,21,10,49,1,[],[],[],2
