,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,8300,5700,2600,2850,1995,368,855,5700.0,2528,2042,919,404,320,143,334,280,130,466,359,159,1,4,0,1323,1079,487,2811,394.26608019491357,,360.0,589.1249765676187,757.7770014992593,795.0243541377239,1033.6252815956075,377.91389382335143,377.71976353073643,378.23756412954873,343.399279978036,89,15.0,18.0,20.0,1,[],[],[],1
1,8300,6003,2297,3002,2101,495,900,6003.0,3248,1921,680,489,333,123,497,292,104,258,152,48,1,0,0,2003,1144,405,2451,385.4416377707258,,360.0,590.7391656539304,773.4903809796181,823.2681918523081,996.7518982305531,328.2751577536171,328.55566827769957,328.3879626308509,192.2066395994375,94,18.0,19.0,10.0,1,[],[],[],1
2,8300,5720,2580,2860,2002,546,858,5720.0,3178,2259,558,471,335,76,351,270,67,546,352,102,6,3,1,1804,1299,312,2305,427.34458490600053,,360.0,625.7122729946974,820.3984844838141,874.3231932848081,1008.0364533940095,1012.1973885375273,419.7429226777133,420.01841343134294,410.21542050873654,89,14.0,18.0,20.0,1,[],[],[],1
3,8300,5892,2408,2946,2062,578,884,,3010,2627,506,439,390,77,210,204,32,490,460,91,7,8,0,1864,1565,306,2157,403.4789178857874,,360.0,607.3648005271519,799.4097761806103,984.9938131613396,,393.0575388275263,395.8088201593747,396.01651907591577,377.4158619735217,92,9.0,19.0,21.0,1,[],[],[],180
4,8300,5871,2429,2936,2055,546,881,5871.0,3187,1776,589,535,301,105,329,186,61,527,292,85,3,1,4,1793,996,334,2748,406.58153067387104,,360.0,608.2295547110535,794.3686783577447,848.6651540038914,1003.4971057372362,397.78454601884,1006.1656845546606,398.2989671024983,347.6070416364696,92,12.0,19.0,19.0,1,[],[],[],1
5,8300,4442,3858,2221,1555,358,666,4442.0,3143,2901,729,871,834,205,398,364,91,518,444,125,4,4,0,1352,1255,308,1527,523.9076628548629,,360.0,709.2789207062359,864.05404749907,899.9358691640097,1013.7582320871202,520.1715922695857,522.3610641580051,521.9782200432962,516.4449085121387,70,18.0,39.0,22.0,1,[],[],[],1
6,8300,5846,2454,2923,2046,320,877,5846.0,4347,2138,813,722,356,108,435,212,83,306,164,64,3,0,1,2881,1406,557,1002,454.5082937559225,,360.0,665.7447499913761,867.3442382641592,899.3660356257287,1047.4199910039817,464.10054744618515,1050.0574180766168,464.91933020179044,254.11874037715128,91,15.0,24.0,11.0,1,[],[],[],1
7,8300,5545,2755,2772,1941,409,832,5545.0,2848,2182,783,540,373,129,152,122,39,690,517,192,0,1,0,1466,1169,423,2487,413.04306870049834,,360.0,603.1142070180754,772.5357325612429,812.8415312265147,1032.5410698133019,399.4115271446697,401.38423181981267,400.5963071926992,389.02047273686577,86,7.0,21.0,28.0,1,[],[],[],1
8,8300,5675,2625,2838,1986,483,851,5675.0,2528,2341,657,591,543,146,136,117,27,478,457,116,8,6,0,1315,1218,368,2774,438.96390673054594,,360.0,638.2634655665429,823.6084363503755,871.5443297305352,1044.5089454440295,422.9842533556738,422.3915638912655,423.44830956487925,400.6783491839339,89,6.0,26.0,22.0,1,[],[],[],1
9,8300,4329,3971,2164,1515,387,649,4329.0,2778,2609,736,203,204,71,505,419,125,1101,1063,277,2,1,0,967,922,263,2177,557.7630792597905,,360.0,752.4614940900581,904.0010832753933,942.5107980843168,1058.368162005986,549.0379919280576,546.7701471534244,547.9547761938217,370.51414140535286,68,21.0,10.0,49.0,1,[],[],[],1
10,8300,5660,2640,2830,1981,536,849,,3165,2088,607,840,548,176,81,62,13,470,333,103,5,7,2,1769,1138,313,2440,425.55963479643896,,360.0,621.4818026055301,804.9025854712529,858.0218931763984,,413.6151174314085,414.56666169261916,,408.8774318041139,89,4.0,32.0,,1,[],[],[],265
11,8300,5967,2333,2984,2088,646,895,5967.0,2887,2637,422,276,251,42,327,280,54,521,501,76,1,3,1,1762,1602,249,2354,393.6930981967913,,360.0,597.6684069209189,778.0678495733823,842.6586130911955,1015.2543022708577,387.00325063930956,1018.6383268495263,389.11439166187085,354.1575335310304,93,14.0,12.0,22.0,1,[],[],[],1
12,8300,4899,3401,2450,1715,269,735,4899.0,3185,2868,946,709,608,205,390,351,121,459,400,155,3,0,0,1624,1509,465,1301,479.6385396032579,,360.0,664.0648716654878,834.7762728419832,861.3921593640075,1017.6332902029952,479.8916295314431,479.50190387107153,479.8555237635698,234.1324189376179,77,18.0,31.0,21.0,1,[],[],[],1
13,8300,5165,3135,2582,1808,230,775,5165.0,3216,2964,990,567,526,168,467,417,148,331,356,128,13,13,1,1838,1652,545,1130,439.86047494502594,,360.0,620.9057980895441,790.6581445747959,813.7483100407264,1039.9714004147313,447.764310323601,446.1401521386647,1042.5920176018083,426.98880852409195,80,21.0,26.0,17.0,1,[],[],[],1
14,8300,5062,3238,2531,1772,399,759,5062.0,3679,2093,711,781,405,149,567,319,99,513,290,101,11,1,2,1807,1078,360,1817,453.8403697732975,,360.0,640.636867354515,817.2591317981006,856.8165542653232,1012.7937304828358,1015.0801878385018,450.01284029681244,450.04461017787014,443.2667767138057,79,20.0,27.0,19.0,1,[],[],[],1
15,8300,5710,2590,2855,1998,534,856,5710.0,3535,2360,561,674,488,131,428,276,71,295,185,36,6,0,0,2132,1411,323,1844,410.1342784573821,,360.0,607.9823177276983,781.8719334249906,835.8323803715882,981.1100077041708,403.3582625763591,405.8274116236611,403.72783311216784,225.78244563433861,89,16.0,26.0,11.0,1,[],[],[],1
