,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,8300,5700,2600,2850,1995,368,855,5700.0,2528,2042,919,404,320,143,334,280,130,466,359,159,1,4,0,1323,1079,487,2811,398.2803957698352,1016.0758965877646,360.0,596.7694179376687,780.7195499871534,817.9099763284494,1068.4034910416444,381.18271707648887,381.6724714456219,381.5339453330116,351.366617392162,89,15,18,20,1,[],[],[],1
1,8300,6003,2297,3002,2101,495,900,6003.0,3248,1921,680,489,333,123,497,292,104,258,152,48,1,0,0,2003,1144,405,2451,386.0968068952078,981.1916796796526,360.0,591.0127208382527,782.176887865006,831.4337770762346,1026.9778357672471,327.6742685387416,327.35882716839075,324.14399440442395,179.46909445755634,94,18,19,10,1,[],[],[],1
2,8300,5720,2580,2860,2002,546,858,5720.0,3178,2259,558,471,335,76,351,270,67,546,352,102,6,3,1,1804,1299,312,2305,425.966636916981,985.8898183970181,360.0,626.4202259986668,816.8052964317933,871.2479211466276,1021.9756055185742,906.10428261827,418.56090256131876,418.3457307203954,408.94918047511686,89,14,18,20,1,[],[],[],1
3,8300,5892,2408,2946,2062,578,884,,3010,2627,506,439,390,77,210,204,32,490,460,91,7,8,0,1864,1565,306,2157,402.5457318532353,1015.2424433057552,360.0,603.7590245327973,796.0689291065147,1074.114057070939,,391.5886256051158,394.29435365424507,394.1095317657872,365.6709805497197,92,9,19,21,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x00000264930A9DD0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x00000264930A8C50>]",176
4,8300,5871,2429,2936,2055,546,881,5871.0,3187,1776,589,535,301,105,329,186,61,527,292,85,3,1,4,1793,996,334,2748,410.71247853393027,991.2383266013063,360.0,610.9479559861375,803.1859484740538,857.974409534143,1030.6113885739867,402.00080527058554,925.4703017003899,402.8360774056515,341.1709688890078,92,12,19,19,1,[],[],[],1
5,8300,4442,3858,2221,1555,358,666,4442.0,3143,2901,729,871,834,205,398,364,91,518,444,125,4,4,0,1352,1255,308,1527,523.0451163439568,993.1994086986884,360.0,706.3647550369463,861.2787630088085,897.3042140946452,1030.4315324581246,518.4885661154613,520.877993829326,520.2129971106114,514.8429142877399,70,18,39,22,1,[],[],[],1
6,8300,5846,2454,2923,2046,320,877,5846.0,4347,2138,813,722,356,108,435,212,83,306,164,64,3,0,1,2881,1406,557,1002,454.5964437823292,1027.707582916774,360.0,666.0874726912497,870.7255652786043,902.6099700308387,1088.9465773834536,463.7958789100725,958.567686944887,463.6055749565323,244.7268133093006,91,15,24,11,1,[],[],[],1
7,8300,5545,2755,2772,1941,409,832,5545.0,2848,2182,783,540,373,129,152,122,39,690,517,192,0,1,0,1466,1169,423,2487,411.9479433342811,1018.9604734428955,360.0,602.8532661781663,783.1396527652996,823.6693646323154,1066.3810292142036,398.7506633646753,399.0655449090322,398.9699797902671,364.87778159768203,86,7,21,28,1,[],[],[],1
8,8300,5675,2625,2838,1986,483,851,5675.0,2528,2341,657,591,543,146,136,117,27,478,457,116,8,6,0,1315,1218,368,2774,436.94028792982493,1031.9128862960865,360.0,635.8376126689564,825.4627653546928,1042.1237013053071,1079.0218609851206,420.1596971886973,422.2790446463208,421.64491138608446,391.44641229448143,89,6,26,22,1,[],[],[],1
9,8300,4329,3971,2164,1515,387,649,4329.0,2778,2609,736,203,204,71,505,419,125,1101,1063,277,2,1,0,967,922,263,2177,558.639062695986,1043.0703022616658,360.0,759.7775578298407,909.9688714041613,1076.5179137163825,1102.4248091743414,549.8244319834189,546.4949779387828,550.5133771000756,379.6990273758646,68,21,10,49,1,[],[],[],1
10,8300,5660,2640,2830,1981,536,849,,3165,2088,607,840,548,176,81,62,13,470,333,103,5,7,2,1769,1138,313,2440,427.3622337262091,1015.3085014099278,360.0,622.6854196511247,808.0631640512516,1061.6735366289422,,412.50534426731645,826.0161313230985,431.09775748704703,396.9926826158192,89,4,32,19,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000026496E04A90>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000026496E04D10>]",183
11,8300,5967,2333,2984,2088,646,895,5967.0,2887,2637,422,276,251,42,327,280,54,521,501,76,1,3,1,1762,1602,249,2354,390.5227169901023,1008.9605033253317,360.0,595.560944875739,794.9021437204444,860.6373260498815,1041.0528418419553,955.2139933005111,380.60093394096276,379.60680621090864,375.64681359875885,93,14,12,22,1,[],[],[],1
12,8300,4899,3401,2450,1715,269,735,4899.0,3185,2868,946,709,608,205,390,351,121,459,400,155,3,0,0,1624,1509,465,1301,476.6618927249529,1018.0792523277585,360.0,666.1010361568387,838.0452225615018,864.4403036544871,1070.4155206692685,475.8036460882958,475.1248442414027,476.0753503721449,245.02703300687273,77,18,31,21,1,[],[],[],1
13,8300,5165,3135,2582,1808,230,775,5165.0,3216,2964,990,567,526,168,467,417,148,331,356,128,13,13,1,1838,1652,545,1130,437.9656053188086,1059.6234035524676,360.0,618.5567555888587,786.1952155641035,809.5726536430374,1117.9600100987316,915.5346394110833,446.1731715540022,446.1053999541564,426.55304020943566,80,21,26,17,1,[],[],[],1
14,8300,5062,3238,2531,1772,399,759,5062.0,3679,2093,711,781,405,149,567,319,99,513,290,101,11,1,2,1807,1078,360,1817,452.0542523465659,1001.2639160211139,360.0,632.9034548015259,802.400348116174,1006.7498849237321,1043.4081979989394,847.5571551897825,452.21936026078674,452.5937199577673,434.09392914927673,79,20,27,19,1,[],[],[],1
15,8300,5710,2590,2855,1998,534,856,5710.0,3535,2360,561,674,488,131,428,276,71,295,185,36,6,0,0,2132,1411,323,1844,413.49171913494234,967.9701055595837,360.0,608.80068089992,793.6510640423352,846.9571919612401,1007.6422945616994,405.5647842477287,406.9200754926408,406.1524953194761,221.22217823839475,89,16,26,11,1,[],[],[],1
16,8300,5830,2470,2915,2040,422,874,5830.0,3534,2795,680,756,655,142,0,0,0,455,368,82,6,3,3,2317,1769,453,1291,377.66412296761587,1012.6170678363817,360.0,575.2705938793034,750.030081042335,792.6758486782006,1061.806257752984,0.0,382.7016363057693,378.02720200561345,371.2467836156749,91,0,32,19,1,[],[],[],1
17,8300,5300,3000,2650,1855,593,795,5300.0,1922,1641,665,481,383,152,278,241,103,597,550,208,0,7,0,566,460,202,4072,459.4144107523262,1000.5654935129699,360.0,667.3795731807885,853.4531153812087,911.7827144567337,1026.9172733112857,429.5142378442344,428.7267920483921,429.1222847188671,371.3615900191308,83,13,21,28,1,[],[],[],1
