,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,9000,5803,3197,2902,2031,561,870,,3275,2510,587,653,463,88,637,482,116,380,292,72,11,1,2,1594,1272,309,2628,493.4219702709036,1019.337021676797,360.0,724.6406547096828,927.8116467388659,1075.3591458174226,,487.38114543219456,485.4891263097679,940.1982571533352,404.5107884681702,91,25,25.0,15,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A556C4E50>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A556C4610>]",179
1,9000,5212,3788,2606,1824,509,782,,3559,2926,600,837,679,156,293,235,44,771,628,127,11,7,0,1647,1377,273,1915,547.9809757404042,986.8429628726623,360.0,778.549949186352,961.4331462234186,1037.8831567052434,,540.369946789487,541.4987342574004,540.9885225429922,446.5514740490311,83,12,34.0,31,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A56828410>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A5682A790>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A5682AFD0>]",208
2,9000,6096,2904,3048,2134,620,914,,2256,2044,703,439,427,145,510,474,158,318,297,103,15,15,3,974,831,294,3997,451.59928169622555,1040.2313421277258,360.0,671.6672836971198,884.6342399909176,1102.5778025852524,,889.7923960513045,431.02657836927176,429.1923881167006,396.1881574981063,95,23,21.0,15,1,[],[],[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A5766CC90>],99
3,9000,6421,2579,3210,2247,696,963,6421.0,3738,2498,435,195,120,29,623,411,77,640,407,59,10,6,2,2270,1554,268,2329,407.2985472654001,1001.1696147309573,360.0,631.0520223944767,841.4730511611688,910.9720852881163,1033.780560418204,400.30167263970856,397.9940323731814,923.2751102771244,389.6049774567839,100,23,7.0,23,1,[],[],[],1
4,9000,6417,2583,3208,2246,601,963,6417.0,3333,2654,618,611,463,120,354,284,63,346,264,70,4,1,3,2018,1642,362,2395,416.03100365053206,1021.0205020100493,360.0,641.0996174503235,850.9161515010253,1047.0114132061976,1082.9529260047264,411.0095974471692,895.903907580707,410.42982637265817,352.8725968132461,100,15,24.0,14,1,[],[],[],1
5,9000,5643,3357,2822,1975,561,846,,3223,2789,599,532,424,106,511,441,104,601,531,103,1,2,1,1578,1391,285,2389,513.0515180609085,1026.6964012788962,360.0,749.5075556137539,946.3048205060826,1083.392239842214,,952.6032510326563,509.0693648451518,506.43486212313434,453.59310427368325,89,22,22.0,25,1,[],[],[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A58B4D550>],90
6,9000,6143,2857,3072,2150,522,921,6143.0,4413,2061,699,572,238,71,572,285,104,610,280,125,0,0,0,2659,1258,399,1827,434.0689987244116,999.3164027285377,360.0,651.8800945193625,856.818748811463,1009.7809786914153,1049.77516520283,428.4468610310444,428.6452173176469,428.21365990620444,0.0,97,20,18.0,21,0,[],[],[],1
7,9000,5372,3628,2686,1880,631,806,,3461,1891,467,758,422,122,602,295,67,787,450,102,16,6,1,1298,718,175,3181,556.2146872743933,1057.3345539626396,360.0,806.567235646703,994.1547836949272,1121.353344640682,,542.9709741370424,997.5539830149653,542.6906672706119,491.52955391411143,84,20,27.0,27,1,[],[],[],45
8,9000,5784,3216,2892,2024,375,868,5784.0,3243,2168,976,534,336,158,644,447,198,460,298,125,8,6,2,1597,1081,493,2613,446.36957860972353,1028.091817078499,360.0,652.410873242568,840.8287800055602,878.2447870624072,1083.7298343074388,932.1250845744779,437.5408091435643,440.50189861810674,386.9650970946541,91,26,21.0,18,1,[],[],[],1
9,9000,5956,3044,2978,2085,398,893,5956.0,3716,2277,886,838,544,189,341,200,88,452,270,113,4,4,1,2081,1259,495,2121,429.19953585406813,1045.3304777269946,360.0,638.6053730391104,829.5225099706927,869.7420042047149,1101.0271987139467,427.15588590674184,427.1224288140164,936.6037207277702,392.25532064790775,93,13,32.0,17,1,[],[],[],1
10,9000,5829,3171,2914,2040,411,874,5829.0,3719,2574,819,383,277,71,643,422,130,656,423,154,7,5,0,2030,1447,464,1888,446.7516713690921,1025.1329846806586,360.0,655.1771502551378,852.4098148994104,893.1593510251806,1077.316437832989,440.23425457944575,440.65899932866495,439.3999787490179,431.4982363410703,91,24,15.0,25,1,[],[],[],1
11,9000,5830,3170,2915,2040,507,874,,2833,3221,709,419,451,107,410,518,109,484,539,124,2,6,1,1518,1707,368,2237,477.36084141980643,993.4984164808105,360.0,704.5436637652577,908.4577374468623,1044.971506758953,,470.1192924840305,468.07894432369534,922.218367681679,463.7894492147821,91,21,20.0,23,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A59833D50>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A59832ED0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A598327D0>]",238
