,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,9500,6383,3117,3192,2234,540,957,,3946,2494,722,296,186,45,776,480,141,651,417,119,3,3,0,2220,1408,417,2338,465.41252006420405,1004.2523070950647,360.0,706.9768057785135,930.3768057785643,1058.1768057785766,,455.38293781679033,454.19712700597955,453.7167216005741,419.2072621411136,100,28,11,24,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A25D3DF90>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A25D3D810>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A25D3CB90>]",222
1,9500,5903,3597,2952,2066,499,885,,3298,3440,752,555,558,135,530,558,109,517,509,121,1,3,1,1695,1812,386,2010,529.9783306581047,1076.9263337474304,360.0,787.5426163724323,994.1426163724793,1126.9426163724906,,998.7002860705304,529.1743155101003,528.3135046992895,450.83107226685473,92,24,25,23,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A25E66C50>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A25E641D0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A25E67750>]",256
2,9500,6560,2940,3280,2296,722,984,,3171,3321,451,574,587,79,444,457,62,343,340,47,1,5,1,1809,1932,262,2557,457.641252006419,1019.1772387635448,360.0,703.0055377207275,932.6055377207797,1091.605537720796,,450.7602827575847,451.1156881629901,944.8892572115025,417.82244491974586,103,20,25,15,1,[],[],[],2
3,9500,6501,2999,3250,2275,542,975,,4212,2646,718,297,196,54,766,486,127,583,375,102,8,4,1,2558,1585,434,1924,485.09791332263126,1022.7758611020585,360.0,744.8621990369494,972.4621990370011,1077.4621990370135,,976.1572458576017,479.1502020221763,482.1434452654196,473.8549317519059,101,28,11,22,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A28A0E410>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A26142DD0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A26140A90>]",239
4,9500,6059,3441,3030,2121,505,909,,4808,2509,687,781,413,107,641,309,78,643,358,95,9,3,4,2734,1426,403,1496,505.7118780096299,1024.9423067111823,360.0,756.0761637239505,968.0761637239987,1075.4761637240101,,973.1122049802339,509.19206513037705,509.6474705357825,437.4603083736181,94,21,27,22,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2A7D2FD0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2A7D25D0>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2A7D3350>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2A7D0490>]",273
5,9500,5697,3803,2848,1994,346,855,5697.0,4664,2635,955,692,387,148,901,502,180,555,299,114,14,7,4,2502,1440,509,1246,535.0866773675755,1075.0238011863446,360.0,784.6509630819022,984.0509630819475,1109.6509630819555,1160.450963081967,537.8241816296401,987.3556159173011,538.2045870350455,529.6660735215318,89,32,25,20,1,[],[],[],2
6,9500,5627,3873,2814,1969,454,844,,3209,3537,833,750,801,219,327,353,75,582,616,149,1,0,0,1549,1767,390,1921,550.0979133226313,1059.2506560887755,360.0,806.2621990369631,1003.2621990370079,1104.4621990370183,,540.6556492066804,543.7792978553291,543.8292978553292,294.0745681255919,88,16,36,27,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2BAAAA10>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2BDA0990>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2BDA2550>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2BDA1950>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A25FE9050>]",390
7,9500,5625,3875,2812,1969,680,844,,2742,2628,498,510,486,89,269,263,51,1054,954,194,3,2,0,906,923,164,3632,538.8242375601905,1026.1048847015406,360.0,787.3885232745179,984.1885232745626,1094.1885232745783,,513.6565158190951,514.9227320353115,514.5369212245006,376.1990833866586,88,12,22,45,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2CF0F350>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2D0E4850>]",164
8,9500,6368,3132,3184,2229,463,955,,3902,2636,832,280,204,62,770,554,158,582,395,118,2,5,2,2268,1478,492,2130,469.25521669341765,1008.1575330980945,360.0,712.4195024077284,935.4195024077791,1054.6195024077897,,470.626561805375,463.3542645080775,939.3916205563396,391.87791315672393,99,30,11,22,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2DEF5450>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2DEF7090>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2DEF6D10>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2DEF6C10>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2DEF4FD0>]",362
9,9500,6354,3146,3177,2224,526,953,,3608,2786,795,711,509,160,529,378,115,363,285,93,2,1,0,2003,1613,427,2311,480.14285714285575,1006.0449639824836,360.0,730.1071428571707,952.5071428572213,1059.1071428572334,,468.53003654640315,468.890847357214,468.990847357214,385.73273924910336,99,21,28,15,1,[],[],"[<Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2F6C4490>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2F6C6310>, <Dual_sim_SC_Change_1_variability_tuned_combined.TLMD_Pallet object at 0x0000021A2F6C7B10>]",232
