,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,9500,6383,3117,3192,2234,540,957,,3946,2494,722,296,186,45,776,480,141,651,417,119,3,3,0,2220,1408,417,2338,465.41252006420405,,360.0,706.9768057785135,930.3768057785643,984.3768057785766,,455.38293781679033,454.19712700597955,453.7167216005741,419.2072621411136,100,28.0,11.0,24.0,1,[],[],[],270
1,9500,5903,3597,2952,2066,499,885,,3298,3440,752,555,558,135,530,558,109,517,509,121,1,3,1,1695,1812,386,2010,529.9783306581047,,360.0,787.5426163724323,994.1426163724793,1043.9426163724906,,,529.1743155101003,528.3135046992895,450.83107226685473,92,,25.0,23.0,1,[],[],[],345
2,9500,6560,2940,3280,2296,722,984,,3171,3321,451,574,587,79,444,457,62,343,340,47,1,5,1,1809,1932,262,2557,457.641252006419,,360.0,703.0055377207275,932.6055377207797,1004.8055377207961,,450.7602827575847,451.1156881629901,,417.82244491974586,103,20.0,25.0,,1,[],[],[],26
3,9500,6501,2999,3250,2275,542,975,,4212,2646,718,297,196,54,766,486,127,583,375,102,8,4,1,2558,1585,434,1924,485.09791332263126,,360.0,744.8621990369494,972.4621990370011,1026.6621990370136,,,479.1502020221763,482.1434452654196,473.8549317519059,101,,11.0,22.0,1,[],[],[],290
4,9500,6059,3441,3030,2121,505,909,,4808,2509,687,781,413,107,641,309,78,643,358,95,9,3,4,2734,1426,403,1496,505.7118780096299,,360.0,756.0761637239505,968.0761637239987,1018.6761637240102,,,509.19206513037705,509.6474705357825,437.4603083736181,94,,27.0,22.0,1,[],[],[],317
5,9500,5697,3803,2848,1994,346,855,5697.0,4664,2635,955,692,387,148,901,502,180,555,299,114,14,7,4,2502,1440,509,1246,535.0866773675755,,360.0,784.6509630819022,984.0509630819475,1018.6509630819554,1079.0372234989097,537.8241816296401,1082.305615917301,538.2045870350455,529.6660735215318,89,32.0,25.0,20.0,1,[],[],[],2
6,9500,5627,3873,2814,1969,454,844,,3209,3537,833,750,801,219,327,353,75,582,616,149,1,0,0,1549,1767,390,1921,550.0979133226313,,360.0,806.2621990369631,1003.2621990370079,1048.6621990370184,,540.6556492066804,543.7792978553291,543.8292978553292,294.0745681255919,88,16.0,36.0,27.0,1,[],[],[],354
7,9500,5625,3875,2812,1969,680,844,,2742,2628,498,510,486,89,269,263,51,1054,954,194,3,2,0,906,923,164,3632,538.8242375601905,,360.0,787.3885232745179,984.1885232745626,1052.188523274578,,513.6565158190951,514.9227320353115,514.5369212245006,376.1990833866586,88,12.0,22.0,45.0,1,[],[],[],37
8,9500,6368,3132,3184,2229,463,955,,3902,2636,832,280,204,62,770,554,158,582,395,118,2,5,2,2268,1478,492,2130,469.25521669341765,,360.0,712.4195024077284,935.4195024077791,981.6195024077896,,470.626561805375,463.3542645080775,,391.87791315672393,99,30.0,11.0,,1,[],[],[],395
9,9500,6354,3146,3177,2224,526,953,,3608,2786,795,711,509,160,529,378,115,363,285,93,2,1,0,2003,1613,427,2311,480.14285714285575,,360.0,730.1071428571707,952.5071428572213,1005.1071428572333,,468.53003654640315,468.890847357214,468.990847357214,385.73273924910336,99,21.0,28.0,15.0,1,[],[],[],331
