,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,8300,6069,2231,3034,2124,650,910,6069.0,2021,2698,459,344,507,79,208,278,41,295,390,78,4,7,0,1170,1516,261,3122,382.4919743178119,1023.5883217288941,360.0,522.6312600320981,784.7741171749497,837.9419743178169,1055.527607443186,322.90703771348865,322.9570377134886,322.7570377134888,298.7092490157138,94,11,19,16,1,[],[],[],1
1,8300,5732,2568,2866,2006,472,860,5732.0,3139,2848,664,539,529,125,209,186,45,410,413,106,3,3,0,1978,1717,388,1649,371.92054574638576,1034.4631029228337,360.0,505.4312600321013,584.9419743178106,783.688402889238,1079.0023886371284,315.32200556899693,315.50241097440255,315.4524109744026,300.791354463358,90,9,24,19,1,[],[],[],2
2,8300,5574,2726,2787,1951,383,836,5574.0,2471,2363,875,235,223,88,380,364,120,536,561,214,3,2,0,1317,1213,453,2591,378.7062600320985,1006.4189468946959,360.0,509.0455457463854,586.5026886035232,781.7026886035222,1057.558232608992,299.4271572592027,299.54337347541997,299.7771572592024,276.14963883170225,87,18,11,27,1,[],[],[],1
3,8300,5369,2931,2684,1879,501,805,5369.0,2688,2455,583,435,388,76,435,412,102,499,479,100,5,0,0,1314,1176,305,2574,378.5634028892414,1044.9541229858924,360.0,504.9312600320997,579.4169743178095,599.2419743178081,1081.2934087001852,304.61931094076334,304.2389055353579,304.29431094076364,150.3780265964285,84,19,18,22,1,[],[],[],1
4,8300,5837,2463,2918,2043,443,876,5837.0,2808,1998,788,472,323,141,342,292,110,384,281,104,8,6,0,1602,1096,433,2706,379.4919743178126,1013.7448622904393,360.0,515.1455457463851,596.0848314606652,798.7169743178066,1062.884148004735,299.3274866540215,299.1524866540217,299.4328920594272,298.24167584321094,91,15,19,16,1,[],[],[],1
5,8300,4995,3305,2498,1748,378,749,4995.0,2635,2292,862,483,415,172,125,119,52,886,786,267,0,0,0,1141,972,371,2511,378.13483146067006,1002.3003641239627,360.0,497.0455457463854,566.3312600320961,581.3312600320951,1045.239649838257,329.7536440316481,330.2840494370534,330.2590494370534,0.0,78,6,22,39,0,[],[],[],1
6,8300,5623,2677,2812,1968,360,843,,2605,2885,845,535,563,179,0,0,0,574,632,182,4,7,1,1492,1683,483,1965,374.2062600320995,1046.351097030324,360.0,521.5705457463853,854.3455457464019,1055.6903827446106,,0.0,319.94342077444145,319.8684207744415,317.3359883420091,88,0,26,28,1,[],[],"[<Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9D8B7D10>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DAA1430>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DF6F8C0>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DF6E990>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DB86210>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DB84590>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DB87DD0>]",483
7,8300,6034,2266,3017,2112,565,905,6034.0,3542,1986,544,585,337,91,509,266,77,237,121,34,4,3,2,2207,1259,340,2228,376.06340288924196,1018.6430689615128,360.0,515.513402889243,599.2848314606658,814.5991171749491,1058.3823546758063,322.73801565799374,322.5826102525881,321.87720484718295,302.6810132009978,94,18,21,8,1,[],[],[],2
8,8300,5705,2595,2852,1997,369,856,,3159,2831,803,438,418,126,514,414,131,266,225,58,4,0,1,1937,1774,487,1507,370.920545746386,1003.0035223420123,360.0,517.0026886035287,844.859831460686,1013.1428080562989,,355.6565102769348,355.54029406071754,355.3261048715293,156.07322619498152,89,22,20,11,1,[],[],"[<Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9E4C36B0>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9E4C10A0>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DD99FA0>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DD9B830>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DD98350>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DD9BCE0>, <Current_Fluid_TFC_Simulation.TLMD_Pallet object at 0x000001FC9DD9BA40>]",487
9,8300,5587,2713,2794,1955,452,838,5587.0,3916,2849,611,594,415,98,318,255,55,517,378,72,8,3,0,2479,1798,386,924,366.7776886035298,1022.4144766790102,360.0,497.43126003210244,574.9741171749554,592.856260032097,1066.753762393305,337.0905575920275,337.04055759202754,337.0655575920275,305.136012137506,87,13,23,20,1,[],[],[],2
