,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,LINEHAUL_TFC_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PACKAGES_TLMD
0,8300,5435,2865,2718,1902,368,447,5435.0,3707,2409,765,576,314,107,587,385,140,404,271,71,5,5,0,2135,1434,447,1419,421.67976153060187,1042.546964049732,360.0,547.5253902065047,817.3253902064986,846.5861044922109,1082.686249764021,314.34161849685574,313.8666184968562,313.9666184968561,302.0109673912148,85,23,20,15,1,2
1,8300,6085,2215,3042,2130,641,272,6085.0,3184,2447,449,173,144,19,353,257,58,643,460,99,3,5,1,2012,1581,272,2220,467.24112516696675,1009.9101912244013,360.0,592.6054108812474,925.7768394526655,1052.8339823098102,1074.2625537383835,318.908337473073,318.1725266622621,318.8617158514499,306.40403771878016,95,14,7,25,1,4
2,8300,5267,3033,2634,1843,459,331,,2466,2724,667,521,563,140,454,520,121,308,318,71,7,6,4,1176,1317,331,2443,,,360.0,,,,,313.66180314682225,313.6118031468223,313.56180314682234,309.9881544981735,84,22,25,14,1,ERROR
3,8300,5127,3173,2564,1794,296,473,5127.0,3039,2818,877,332,296,85,427,421,136,669,619,182,4,1,1,1607,1481,473,1566,442.8524888033315,1038.3811239580878,360.0,549.4203459461868,812.277488803324,1054.9917745176112,1092.1596316604719,330.3631113423838,330.6381113423835,330.58811134238357,317.2088115880915,81,20,15,30,1,2
4,8300,5381,2919,2690,1883,451,357,5381.0,3603,2737,605,429,310,72,361,290,54,705,562,121,8,6,1,2100,1569,357,1355,420.854761530602,1002.3316650912323,360.0,546.570365724379,813.7132228672302,849.4275085815135,1035.3280936626606,316.7725013506524,316.6725013506525,316.8779067560581,303.7594178125774,84,15,17,28,1,2
5,8300,5068,3232,2534,1774,426,334,5068.0,3036,2904,681,486,500,128,566,556,111,413,363,108,0,1,0,1571,1484,334,1679,447.04942445195235,1030.1387866372334,360.0,552.3887101662359,816.4994244519446,850.7601387376565,1061.506643780093,332.1399923685591,332.08999236855914,332.1149923685591,244.83737292820265,80,25,23,18,1,1
6,8300,5959,2341,2980,2086,343,550,5959.0,3436,2715,854,402,310,91,356,237,82,440,287,131,4,1,0,2234,1880,550,1295,417.7659719493968,1030.7255639807772,360.0,554.7624005208233,846.0159719493871,873.1588290922424,1079.2362782664957,332.065402123819,331.8849967184134,332.1849967184131,276.3463603548122,94,14,17,18,1,1
7,8300,5886,2414,2943,2060,515,368,,2725,2870,613,357,347,90,300,323,69,400,425,84,11,6,2,1657,1769,368,2092,,,360.0,,,,,334.0238671407664,333.9238671407665,334.1238671407663,331.36846173536304,92,14,16,19,1,ERROR
8,8300,5589,2711,2794,1956,338,501,5589.0,3348,2616,853,298,252,79,496,358,124,515,434,149,2,4,0,2037,1568,501,1483,440.1570342578745,1026.5826438458553,360.0,555.8106056864436,837.9784628292938,865.0963199721491,1071.007643845859,331.67680770909556,331.1214023036903,331.6518077090956,319.12791336020854,88,20,13,22,1,2
9,8300,5370,2930,2685,1879,436,370,5370.0,2880,2297,739,606,486,151,521,424,143,287,227,74,5,5,1,1461,1155,370,2384,471.9933978942392,1042.8487617920682,360.0,583.3612550370918,886.4933978942263,921.4683978942239,1077.073761792071,307.78880830884805,307.9192137142537,307.838808308848,292.4750490950941,84,22,25,12,1,1
