Pallet,num_packages,earliest_arrival,packages,linehaul
1,49,59.29253890275633,"[('PKG000001', 'TLMD', '1'), ('PKG000002', 'USPS', 'USPS'), ('PKG000003', 'TLMD', '3AB'), ('PKG000004', 'TLMD', '3AB'), ('PKG000005', 'USPS', 'USPS'), ('PKG000006', 'FDEG', 'FDEG'), ('PKG000007', 'USPS', 'USPS'), ('PKG000008', 'UPSN', 'UPSN'), ('PKG000009', 'TLMD', '2'), ('PKG000010', 'UPSN', 'UPSN'), ('PKG000011', 'TLMD', '1'), ('PKG000012', 'TLMD', '1'), ('PKG000013', 'TLMD', '1'), ('PKG000014', 'USPS', 'USPS'), ('PKG000015', 'USPS', 'USPS'), ('PKG000016', 'TLMD', '2'), ('PKG000017', 'UPSN', 'UPSN'), ('PKG000018', 'TLMD', '3AB'), ('PKG000019', 'TLMD', '1'), ('PKG000020', 'TLMD', '2'), ('PKG000021', 'UPSN', 'UPSN'), ('PKG000022', 'TLMD', '1'), ('PKG000023', 'USPS', 'USPS'), ('PKG000024', 'UPSN', 'UPSN'), ('PKG000025', 'TLMD', '2'), ('PKG000026', 'USPS', 'USPS'), ('PKG000027', 'UPSN', 'UPSN'), ('PKG000028', 'USPS', 'USPS'), ('PKG000029', 'TLMD', '1'), ('PKG000030', 'TLMD', '1'), ('PKG000031', 'USPS', 'USPS'), ('PKG000032', 'TLMD', '3AB'), ('PKG000033', 'USPS', 'USPS'), ('PKG000034', 'TLMD', '2'), ('PKG000035', 'TLMD', '2'), ('PKG000036', 'UPSN', 'UPSN'), ('PKG000037', 'UPSN', 'UPSN'), ('PKG000038', 'TLMD', '1'), ('PKG000039', 'TLMD', '1'), ('PKG000040', 'USPS', 'USPS'), ('PKG000041', 'TLMD', '1'), ('PKG000042', 'TLMD', '1'), ('PKG000043', 'UPSN', 'UPSN'), ('PKG000044', 'TLMD', '1'), ('PKG000045', 'USPS', 'USPS'), ('PKG000046', 'FDEG', 'FDEG'), ('PKG000047', 'TLMD', '3AB'), ('PKG000048', 'FDEG', 'FDEG'), ('PKG000049', 'TLMD', '1')]",A
2,54,59.29253890275633,"[('PKG000050', 'TLMD', '2'), ('PKG000051', 'TLMD', '2'), ('PKG000052', 'TLMD', '1'), ('PKG000053', 'USPS', 'USPS'), ('PKG000054', 'TLMD', '2'), ('PKG000055', 'USPS', 'USPS'), ('PKG000056', 'UPSN', 'UPSN'), ('PKG000057', 'UPSN', 'UPSN'), ('PKG000058', 'TLMD', '2'), ('PKG000059', 'TLMD', '1'), ('PKG000060', 'TLMD', '3AB'), ('PKG000061', 'USPS', 'USPS'), ('PKG000062', 'TLMD', '2'), ('PKG000063', 'TLMD', '1'), ('PKG000064', 'TLMD', '1'), ('PKG000065', 'USPS', 'USPS'), ('PKG000066', 'USPS', 'USPS'), ('PKG000067', 'TLMD', '1'), ('PKG000068', 'USPS', 'USPS'), ('PKG000069', 'USPS', 'USPS'), ('PKG000070', 'UPSN', 'UPSN'), ('PKG000071', 'TLMD', '1'), ('PKG000072', 'TLMD', '2'), ('PKG000073', 'TLMD', '1'), ('PKG000074', 'USPS', 'USPS'), ('PKG000075', 'USPS', 'USPS'), ('PKG000076', 'FDEG', 'FDEG'), ('PKG000077', 'USPS', 'USPS'), ('PKG000078', 'USPS', 'USPS'), ('PKG000079', 'TLMD', '1'), ('PKG000080', 'TLMD', '2'), ('PKG000081', 'TLMD', '2'), ('PKG000082', 'UPSN', 'UPSN'), ('PKG000083', 'TLMD', '1'), ('PKG000084', 'UPSN', 'UPSN'), ('PKG000085', 'TLMD', '1'), ('PKG000086', 'UPSN', 'UPSN'), ('PKG000087', 'FDEG', 'FDEG'), ('PKG000088', 'TLMD', '1'), ('PKG000089', 'FDEG', 'FDEG'), ('PKG000090', 'UPSN', 'UPSN'), ('PKG000091', 'TLMD', '1'), ('PKG000092', 'UPSN', 'UPSN'), ('PKG000093', 'USPS', 'USPS'), ('PKG000094', 'USPS', 'USPS'), ('PKG000095', 'USPS', 'USPS'), ('PKG000096', 'USPS', 'USPS'), ('PKG000097', 'USPS', 'USPS'), ('PKG000098', 'USPS', 'USPS'), ('PKG000099', 'TLMD', '2'), ('PKG000100', 'TLMD', '1'), ('PKG000101', 'UPSN', 'UPSN'), ('PKG000102', 'FDEG', 'FDEG'), ('PKG000103', 'TLMD', '2')]",A
3,42,59.29253890275633,"[('PKG000104', 'TLMD', '2'), ('PKG000105', 'UPSN', 'UPSN'), ('PKG000106', 'TLMD', '2'), ('PKG000107', 'TLMD', '2'), ('PKG000108', 'TLMD', '2'), ('PKG000109', 'USPS', 'USPS'), ('PKG000110', 'TLMD', '2'), ('PKG000111', 'UPSN', 'UPSN'), ('PKG000112', 'FDEG', 'FDEG'), ('PKG000113', 'TLMD', '3AB'), ('PKG000114', 'TLMD', '2'), ('PKG000115', 'USPS', 'USPS'), ('PKG000116', 'USPS', 'USPS'), ('PKG000117', 'USPS', 'USPS'), ('PKG000118', 'TLMD', '1'), ('PKG000119', 'UPSN', 'UPSN'), ('PKG000120', 'TLMD', '1'), ('PKG000121', 'TLMD', '2'), ('PKG000122', 'USPS', 'USPS'), ('PKG000123', 'TLMD', '1'), ('PKG000124', 'USPS', 'USPS'), ('PKG000125', 'TLMD', '2'), ('PKG000126', 'FDEG', 'FDEG'), ('PKG000127', 'USPS', 'USPS'), ('PKG000128', 'UPSN', 'UPSN'), ('PKG000129', 'UPSN', 'UPSN'), ('PKG000130', 'USPS', 'USPS'), ('PKG000131', 'TLMD', '1'), ('PKG000132', 'TLMD', '1'), ('PKG000133', 'USPS', 'USPS'), ('PKG000134', 'USPS', 'USPS'), ('PKG000135', 'USPS', 'USPS'), ('PKG000136', 'TLMD', '1'), ('PKG000137', 'USPS', 'USPS'), ('PKG000138', 'TLMD', '1'), ('PKG000139', 'USPS', 'USPS'), ('PKG000140', 'UPSN', 'UPSN'), ('PKG000141', 'UPSN', 'UPSN'), ('PKG000142', 'TLMD', '1'), ('PKG000143', 'USPS', 'USPS'), ('PKG000144', 'UPSN', 'UPSN'), ('PKG000145', 'TLMD', '1')]",A
4,51,59.29253890275633,"[('PKG000146', 'USPS', 'USPS'), ('PKG000147', 'USPS', 'USPS'), ('PKG000148', 'USPS', 'USPS'), ('PKG000149', 'TLMD', '2'), ('PKG000150', 'TLMD', '1'), ('PKG000151', 'TLMD', '2'), ('PKG000152', 'TLMD', '1'), ('PKG000153', 'TLMD', '1'), ('PKG000154', 'USPS', 'USPS'), ('PKG000155', 'FDEG', 'FDEG'), ('PKG000156', 'TLMD', '1'), ('PKG000157', 'TLMD', '2'), ('PKG000158', 'TLMD', '2'), ('PKG000159', 'TLMD', '2'), ('PKG000160', 'TLMD', '2'), ('PKG000161', 'TLMD', '1'), ('PKG000162', 'USPS', 'USPS'), ('PKG000163', 'USPS', 'USPS'), ('PKG000164', 'TLMD', '1'), ('PKG000165', 'TLMD', '1'), ('PKG000166', 'UPSN', 'UPSN'), ('PKG000167', 'UPSN', 'UPSN'), ('PKG000168', 'USPS', 'USPS'), ('PKG000169', 'USPS', 'USPS'), ('PKG000170', 'TLMD', '1'), ('PKG000171', 'USPS', 'USPS'), ('PKG000172', 'TLMD', '1'), ('PKG000173', 'USPS', 'USPS'), ('PKG000174', 'TLMD', '2'), ('PKG000175', 'UPSN', 'UPSN'), ('PKG000176', 'TLMD', '2'), ('PKG000177', 'USPS', 'USPS'), ('PKG000178', 'FDEG', 'FDEG'), ('PKG000179', 'USPS', 'USPS'), ('PKG000180', 'TLMD', '2'), ('PKG000181', 'USPS', 'USPS'), ('PKG000182', 'TLMD', '1'), ('PKG000183', 'TLMD', '1'), ('PKG000184', 'TLMD', '2'), ('PKG000185', 'UPSN', 'UPSN'), ('PKG000186', 'TLMD', '1'), ('PKG000187', 'TLMD', '1'), ('PKG000188', 'UPSN', 'UPSN'), ('PKG000189', 'USPS', 'USPS'), ('PKG000190', 'TLMD', '1'), ('PKG000191', 'USPS', 'USPS'), ('PKG000192', 'TLMD', '2'), ('PKG000193', 'FDEG', 'FDEG'), ('PKG000194', 'UPSN', 'UPSN'), ('PKG000195', 'UPSN', 'UPSN'), ('PKG000196', 'TLMD', '2')]",A
5,69,109.20019718380655,"[('PKG000197', 'TLMD', '3AB'), ('PKG000198', 'TLMD', '2'), ('PKG000199', 'UPSN', 'UPSN'), ('PKG000200', 'TLMD', '2'), ('PKG000201', 'TLMD', '1'), ('PKG000202', 'UPSN', 'UPSN'), ('PKG000203', 'TLMD', '2'), ('PKG000204', 'TLMD', '1'), ('PKG000205', 'TLMD', '2'), ('PKG000206', 'USPS', 'USPS'), ('PKG000207', 'UPSN', 'UPSN'), ('PKG000208', 'FDEG', 'FDEG'), ('PKG000209', 'USPS', 'USPS'), ('PKG000210', 'TLMD', '1'), ('PKG000211', 'USPS', 'USPS'), ('PKG000212', 'UPSN', 'UPSN'), ('PKG000213', 'TLMD', '1'), ('PKG000214', 'TLMD', '1'), ('PKG000215', 'USPS', 'USPS'), ('PKG000216', 'USPS', 'USPS'), ('PKG000217', 'FDEG', 'FDEG'), ('PKG000218', 'USPS', 'USPS'), ('PKG000219', 'UPSN', 'UPSN'), ('PKG000220', 'UPSN', 'UPSN'), ('PKG000221', 'UPSN', 'UPSN'), ('PKG000222', 'TLMD', '2'), ('PKG000223', 'TLMD', '1'), ('PKG000224', 'TLMD', '1'), ('PKG000225', 'TLMD', '2'), ('PKG000226', 'TLMD', '1'), ('PKG000227', 'TLMD', '2'), ('PKG000228', 'FDE', 'FDE'), ('PKG000229', 'TLMD', '1'), ('PKG000230', 'TLMD', '1'), ('PKG000231', 'USPS', 'USPS'), ('PKG000232', 'TLMD', '1'), ('PKG000233', 'TLMD', '1'), ('PKG000234', 'TLMD', '2'), ('PKG000235', 'TLMD', '3AB'), ('PKG000236', 'TLMD', '1'), ('PKG000237', 'TLMD', '1'), ('PKG000238', 'TLMD', '1'), ('PKG000239', 'TLMD', '2'), ('PKG000240', 'FDEG', 'FDEG'), ('PKG000241', 'TLMD', '2'), ('PKG000242', 'TLMD', '3AB'), ('PKG000243', 'USPS', 'USPS'), ('PKG000244', 'TLMD', '2'), ('PKG000245', 'TLMD', '3AB'), ('PKG000246', 'TLMD', '1'), ('PKG000247', 'TLMD', '1'), ('PKG000248', 'FDEG', 'FDEG'), ('PKG000249', 'TLMD', '1'), ('PKG000250', 'TLMD', '2'), ('PKG000251', 'FDEG', 'FDEG'), ('PKG000252', 'TLMD', '2'), ('PKG000253', 'UPSN', 'UPSN'), ('PKG000254', 'UPSN', 'UPSN'), ('PKG000255', 'TLMD', '1'), ('PKG000256', 'UPSN', 'UPSN'), ('PKG000257', 'TLMD', '1'), ('PKG000258', 'FDEG', 'FDEG'), ('PKG000259', 'TLMD', '2'), ('PKG000260', 'UPSN', 'UPSN'), ('PKG000261', 'TLMD', '2'), ('PKG000262', 'TLMD', '1'), ('PKG000263', 'TLMD', '1'), ('PKG000264', 'USPS', 'USPS'), ('PKG000265', 'TLMD', '2')]",A
6,63,109.20019718380655,"[('PKG000266', 'TLMD', '2'), ('PKG000267', 'UPSN', 'UPSN'), ('PKG000268', 'USPS', 'USPS'), ('PKG000269', 'USPS', 'USPS'), ('PKG000270', 'TLMD', '1'), ('PKG000271', 'UPSN', 'UPSN'), ('PKG000272', 'TLMD', '1'), ('PKG000273', 'TLMD', '2'), ('PKG000274', 'TLMD', '1'), ('PKG000275', 'TLMD', '1'), ('PKG000276', 'USPS', 'USPS'), ('PKG000277', 'UPSN', 'UPSN'), ('PKG000278', 'FDEG', 'FDEG'), ('PKG000279', 'USPS', 'USPS'), ('PKG000280', 'TLMD', '2'), ('PKG000281', 'USPS', 'USPS'), ('PKG000282', 'TLMD', '1'), ('PKG000283', 'TLMD', '2'), ('PKG000284', 'TLMD', '1'), ('PKG000285', 'FDEG', 'FDEG'), ('PKG000286', 'TLMD', '1'), ('PKG000287', 'TLMD', '1'), ('PKG000288', 'TLMD', '2'), ('PKG000289', 'UPSN', 'UPSN'), ('PKG000290', 'USPS', 'USPS'), ('PKG000291', 'TLMD', '2'), ('PKG000292', 'TLMD', '1'), ('PKG000293', 'TLMD', '1'), ('PKG000294', 'TLMD', '1'), ('PKG000295', 'FDEG', 'FDEG'), ('PKG000296', 'USPS', 'USPS'), ('PKG000297', 'UPSN', 'UPSN'), ('PKG000298', 'USPS', 'USPS'), ('PKG000299', 'USPS', 'USPS'), ('PKG000300', 'USPS', 'USPS'), ('PKG000301', 'TLMD', '1'), ('PKG000302', 'USPS', 'USPS'), ('PKG000303', 'UPSN', 'UPSN'), ('PKG000304', 'TLMD', '1'), ('PKG000305', 'TLMD', '1'), ('PKG000306', 'UPSN', 'UPSN'), ('PKG000307', 'UPSN', 'UPSN'), ('PKG000308', 'UPSN', 'UPSN'), ('PKG000309', 'USPS', 'USPS'), ('PKG000310', 'TLMD', '3AB'), ('PKG000311', 'UPSN', 'UPSN'), ('PKG000312', 'TLMD', '1'), ('PKG000313', 'TLMD', '2'), ('PKG000314', 'FDEG', 'FDEG'), ('PKG000315', 'UPSN', 'UPSN'), ('PKG000316', 'UPSN', 'UPSN'), ('PKG000317', 'USPS', 'USPS'), ('PKG000318', 'USPS', 'USPS'), ('PKG000319', 'USPS', 'USPS'), ('PKG000320', 'TLMD', '1'), ('PKG000321', 'TLMD', '2'), ('PKG000322', 'TLMD', '1'), ('PKG000323', 'UPSN', 'UPSN'), ('PKG000324', 'TLMD', '3AB'), ('PKG000325', 'TLMD', '1'), ('PKG000326', 'USPS', 'USPS'), ('PKG000327', 'UPSN', 'UPSN'), ('PKG000328', 'TLMD', '2')]",A
7,62,109.20019718380655,"[('PKG000329', 'TLMD', '1'), ('PKG000330', 'USPS', 'USPS'), ('PKG000331', 'USPS', 'USPS'), ('PKG000332', 'UPSN', 'UPSN'), ('PKG000333', 'TLMD', '2'), ('PKG000334', 'TLMD', '1'), ('PKG000335', 'USPS', 'USPS'), ('PKG000336', 'TLMD', '2'), ('PKG000337', 'USPS', 'USPS'), ('PKG000338', 'TLMD', '2'), ('PKG000339', 'USPS', 'USPS'), ('PKG000340', 'USPS', 'USPS'), ('PKG000341', 'TLMD', '2'), ('PKG000342', 'TLMD', '2'), ('PKG000343', 'TLMD', '1'), ('PKG000344', 'TLMD', '2'), ('PKG000345', 'TLMD', '1'), ('PKG000346', 'FDEG', 'FDEG'), ('PKG000347', 'UPSN', 'UPSN'), ('PKG000348', 'TLMD', '1'), ('PKG000349', 'USPS', 'USPS'), ('PKG000350', 'FDEG', 'FDEG'), ('PKG000351', 'TLMD', '2'), ('PKG000352', 'USPS', 'USPS'), ('PKG000353', 'UPSN', 'UPSN'), ('PKG000354', 'TLMD', '2'), ('PKG000355', 'TLMD', '1'), ('PKG000356', 'TLMD', '1'), ('PKG000357', 'USPS', 'USPS'), ('PKG000358', 'USPS', 'USPS'), ('PKG000359', 'UPSN', 'UPSN'), ('PKG000360', 'USPS', 'USPS'), ('PKG000361', 'USPS', 'USPS'), ('PKG000362', 'USPS', 'USPS'), ('PKG000363', 'TLMD', '2'), ('PKG000364', 'FDEG', 'FDEG'), ('PKG000365', 'TLMD', '1'), ('PKG000366', 'USPS', 'USPS'), ('PKG000367', 'USPS', 'USPS'), ('PKG000368', 'USPS', 'USPS'), ('PKG000369', 'TLMD', '1'), ('PKG000370', 'TLMD', '2'), ('PKG000371', 'TLMD', '1'), ('PKG000372', 'TLMD', '1'), ('PKG000373', 'TLMD', '3AB'), ('PKG000374', 'USPS', 'USPS'), ('PKG000375', 'USPS', 'USPS'), ('PKG000376', 'FDEG', 'FDEG'), ('PKG000377', 'TLMD', '1'), ('PKG000378', 'TLMD', '2'), ('PKG000379', 'USPS', 'USPS'), ('PKG000380', 'TLMD', '3AB'), ('PKG000381', 'UPSN', 'UPSN'), ('PKG000382', 'TLMD', '1'), ('PKG000383', 'TLMD', '2'), ('PKG000384', 'TLMD', '1'), ('PKG000385', 'UPSN', 'UPSN'), ('PKG000386', 'USPS', 'USPS'), ('PKG000387', 'TLMD', '1'), ('PKG000388', 'TLMD', '1'), ('PKG000389', 'TLMD', '1'), ('PKG000390', 'TLMD', '1')]",A
8,54,109.20019718380655,"[('PKG000391', 'UPSN', 'UPSN'), ('PKG000392', 'USPS', 'USPS'), ('PKG000393', 'UPSN', 'UPSN'), ('PKG000394', 'TLMD', '1'), ('PKG000395', 'TLMD', '2'), ('PKG000396', 'TLMD', '2'), ('PKG000397', 'USPS', 'USPS'), ('PKG000398', 'TLMD', '1'), ('PKG000399', 'TLMD', '1'), ('PKG000400', 'USPS', 'USPS'), ('PKG000401', 'TLMD', '2'), ('PKG000402', 'USPS', 'USPS'), ('PKG000403', 'TLMD', '1'), ('PKG000404', 'UPSN', 'UPSN'), ('PKG000405', 'FDEG', 'FDEG'), ('PKG000406', 'TLMD', '2'), ('PKG000407', 'USPS', 'USPS'), ('PKG000408', 'TLMD', '1'), ('PKG000409', 'UPSN', 'UPSN'), ('PKG000410', 'UPSN', 'UPSN'), ('PKG000411', 'TLMD', '1'), ('PKG000412', 'TLMD', '1'), ('PKG000413', 'TLMD', '2'), ('PKG000414', 'TLMD', '1'), ('PKG000415', 'USPS', 'USPS'), ('PKG000416', 'UPSN', 'UPSN'), ('PKG000417', 'UPSN', 'UPSN'), ('PKG000418', 'FDE', 'FDE'), ('PKG000419', 'FDEG', 'FDEG'), ('PKG000420', 'TLMD', '2'), ('PKG000421', 'USPS', 'USPS'), ('PKG000422', 'FDEG', 'FDEG'), ('PKG000423', 'USPS', 'USPS'), ('PKG000424', 'TLMD', '1'), ('PKG000425', 'UPSN', 'UPSN'), ('PKG000426', 'UPSN', 'UPSN'), ('PKG000427', 'TLMD', '2'), ('PKG000428', 'TLMD', '1'), ('PKG000429', 'TLMD', '2'), ('PKG000430', 'TLMD', '2'), ('PKG000431', 'USPS', 'USPS'), ('PKG000432', 'TLMD', '2'), ('PKG000433', 'TLMD', '1'), ('PKG000434', 'TLMD', '2'), ('PKG000435', 'TLMD', '2'), ('PKG000436', 'TLMD', '1'), ('PKG000437', 'TLMD', '1'), ('PKG000438', 'TLMD', '2'), ('PKG000439', 'TLMD', '1'), ('PKG000440', 'TLMD', '2'), ('PKG000441', 'USPS', 'USPS'), ('PKG000442', 'FDEG', 'FDEG'), ('PKG000443', 'TLMD', '2'), ('PKG000444', 'TLMD', '1')]",A
9,48,109.20019718380655,"[('PKG000445', 'UPSN', 'UPSN'), ('PKG000446', 'UPSN', 'UPSN'), ('PKG000447', 'TLMD', '2'), ('PKG000448', 'FDEG', 'FDEG'), ('PKG000449', 'USPS', 'USPS'), ('PKG000450', 'TLMD', '3AB'), ('PKG000451', 'TLMD', '2'), ('PKG000452', 'TLMD', '1'), ('PKG000453', 'TLMD', '2'), ('PKG000454', 'FDEG', 'FDEG'), ('PKG000455', 'UPSN', 'UPSN'), ('PKG000456', 'USPS', 'USPS'), ('PKG000457', 'TLMD', '1'), ('PKG000458', 'TLMD', '2'), ('PKG000459', 'UPSN', 'UPSN'), ('PKG000460', 'TLMD', '2'), ('PKG000461', 'UPSN', 'UPSN'), ('PKG000462', 'TLMD', '1'), ('PKG000463', 'TLMD', '3AB'), ('PKG000464', 'USPS', 'USPS'), ('PKG000465', 'UPSN', 'UPSN'), ('PKG000466', 'TLMD', '3AB'), ('PKG000467', 'USPS', 'USPS'), ('PKG000468', 'TLMD', '1'), ('PKG000469', 'TLMD', '1'), ('PKG000470', 'TLMD', '1'), ('PKG000471', 'USPS', 'USPS'), ('PKG000472', 'USPS', 'USPS'), ('PKG000473', 'TLMD', '2'), ('PKG000474', 'TLMD', '1'), ('PKG000475', 'USPS', 'USPS'), ('PKG000476', 'TLMD', '2'), ('PKG000477', 'UPSN', 'UPSN'), ('PKG000478', 'USPS', 'USPS'), ('PKG000479', 'USPS', 'USPS'), ('PKG000480', 'TLMD', '2'), ('PKG000481', 'USPS', 'USPS'), ('PKG000482', 'TLMD', '1'), ('PKG000483', 'TLMD', '1'), ('PKG000484', 'TLMD', '2'), ('PKG000485', 'UPSN', 'UPSN'), ('PKG000486', 'TLMD', '1'), ('PKG000487', 'USPS', 'USPS'), ('PKG000488', 'FDEG', 'FDEG'), ('PKG000489', 'TLMD', '2'), ('PKG000490', 'TLMD', '2'), ('PKG000491', 'FDEG', 'FDEG'), ('PKG000492', 'UPSN', 'UPSN')]",A
10,55,109.20019718380655,"[('PKG000493', 'TLMD', '1'), ('PKG000494', 'USPS', 'USPS'), ('PKG000495', 'TLMD', '2'), ('PKG000496', 'UPSN', 'UPSN'), ('PKG000497', 'USPS', 'USPS'), ('PKG000498', 'USPS', 'USPS'), ('PKG000499', 'TLMD', '1'), ('PKG000500', 'USPS', 'USPS'), ('PKG000501', 'TLMD', '1'), ('PKG000502', 'TLMD', '2'), ('PKG000503', 'TLMD', '2'), ('PKG000504', 'FDE', 'FDE'), ('PKG000505', 'TLMD', '1'), ('PKG000506', 'USPS', 'USPS'), ('PKG000507', 'TLMD', '2'), ('PKG000508', 'USPS', 'USPS'), ('PKG000509', 'TLMD', '2'), ('PKG000510', 'USPS', 'USPS'), ('PKG000511', 'FDEG', 'FDEG'), ('PKG000512', 'TLMD', '3AB'), ('PKG000513', 'FDEG', 'FDEG'), ('PKG000514', 'TLMD', '1'), ('PKG000515', 'UPSN', 'UPSN'), ('PKG000516', 'UPSN', 'UPSN'), ('PKG000517', 'TLMD', '2'), ('PKG000518', 'USPS', 'USPS'), ('PKG000519', 'FDEG', 'FDEG'), ('PKG000520', 'TLMD', '2'), ('PKG000521', 'USPS', 'USPS'), ('PKG000522', 'USPS', 'USPS'), ('PKG000523', 'TLMD', '1'), ('PKG000524', 'USPS', 'USPS'), ('PKG000525', 'TLMD', '2'), ('PKG000526', 'TLMD', '2'), ('PKG000527', 'UPSN', 'UPSN'), ('PKG000528', 'TLMD', '1'), ('PKG000529', 'UPSN', 'UPSN'), ('PKG000530', 'USPS', 'USPS'), ('PKG000531', 'UPSN', 'UPSN'), ('PKG000532', 'USPS', 'USPS'), ('PKG000533', 'TLMD', '1'), ('PKG000534', 'UPSN', 'UPSN'), ('PKG000535', 'TLMD', '3AB'), ('PKG000536', 'TLMD', '1'), ('PKG000537', 'TLMD', '1'), ('PKG000538', 'USPS', 'USPS'), ('PKG000539', 'USPS', 'USPS'), ('PKG000540', 'TLMD', '2'), ('PKG000541', 'UPSN', 'UPSN'), ('PKG000542', 'FDEG', 'FDEG'), ('PKG000543', 'USPS', 'USPS'), ('PKG000544', 'USPS', 'USPS'), ('PKG000545', 'UPSN', 'UPSN'), ('PKG000546', 'UPSN', 'UPSN'), ('PKG000547', 'UPSN', 'UPSN')]",A
