Station_1_1_hours,Station_1_2_hours,Station_1_3_hours,Station_1_4_hours,Station_1_5_hours,Station_1_6_hours,Station_1_7_hours,Station_1_8_hours,Station_1_9_hours,Station_1_10_hours,Station_1_11_hours,Station_1_12_hours,Station_1_13_hours,Station_1_14_hours,Station_1_15_hours,Station_1_16_hours,Station_1_17_hours,Station_1_18_hours,Station_1_19_hours,Station_2_1_hours,Station_2_2_hours,Station_2_3_hours,Station_2_4_hours,Station_2_5_hours,Station_2_6_hours,Station_2_7_hours,Station_2_8_hours,Station_2_9_hours,Station_3_1_hours,Station_3_2_hours,Station_3_3_hours
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.218320610687022,1.0172619047619047,5.218320610687022,5.218320610687022,5.218320610687022,0.0,0.0,0.0,0.22469999999999976,0.20223000000000013,0.13482000000000038,0.15050000000000008,0.18059999999999832,0.12040000000000006,0.7,0.27999999999999997,0.18666666666666623,5.218320610687022,1.0172619047619047,0.46853741496598644,0.46853741496598644,0.46853741496598644,0.2755000000000001,0.2755000000000001,0.2755000000000001,0.24488888888888916,0.24488888888888916,0.24488888888888916,0.05692148760330569,0.034152892561983415,0.023852813852813813
5.374686405978718,5.003577106518283,5.374686405978718,5.374686405978718,5.374686405978718,0.0,0.0,0.0,2.63286875,1.5797212499999986,1.0531475000000006,1.1756319444444436,1.4107583333333338,0.9405055555555561,5.468055555555556,3.2808333333333337,2.1872222222222217,5.374686405978718,5.003577106518283,0.5296666666666603,0.5296666666666667,0.5296666666666603,0.39724999999997657,0.39724999999999966,0.39724999999997657,0.3531111111111116,0.3531111111111116,0.3531111111111116,0.05642755681818201,0.0637299465240641,0.045142045454545476
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
5.0,4.823412698412698,5.0,5.0,5.0,0.0,0.0,0.0,0.6286249999999995,0.25144999999999956,0.5029000000000003,0.5613888888888889,0.33683333333333465,0.4491111111111108,1.3055555555555556,0.7833333333333333,0.5222222222222223,5.0,4.823412698412698,0.5266106442576977,0.5266106442576977,0.5266106442576977,0.3836734693877295,0.3836734693877295,0.3836734693877295,0.2506666666666515,0.2506666666666515,0.2506666666666515,0.07768595041322289,0.04661157024793412,0.032554112554112724
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
