sortation_center_id,inbound_date,trailer_id,planned_arrival_central_time,actual_arrival_central_time,actual_pallets,planned_pallets,actual_packages,planned_packages,planned_arrival_datetime,actual_arrival_datetime,[planned_truck_sequence,actual_truck_sequence
3858,2024-05-01,90ETYSY4TO,09:30:00,07:00:00,5,5,218,218,2024-05-01 09:30:00,2024-05-01 07:00:00,4,1
3858,2024-05-01,RGJJ8K8HXE,08:56:00,07:37:00,2,2,101,101,2024-05-01 08:56:00,2024-05-01 07:37:00,2,2
3858,2024-05-01,0JBM63JRDO,08:52:00,07:50:00,3,3,142,142,2024-05-01 08:52:00,2024-05-01 07:50:00,1,3
3858,2024-05-01,Y02V2C7UK5,09:20:00,09:10:00,3,3,140,140,2024-05-01 09:20:00,2024-05-01 09:10:00,3,4
3858,2024-05-01,OC8J44J21W,18:05:00,17:29:00,9,9,447,447,2024-05-01 18:05:00,2024-05-01 17:29:00,1,1
3858,2024-05-01,41XIM086AU,19:00:00,18:08:00,12,12,584,584,2024-05-01 19:00:00,2024-05-01 18:08:00,3,2
3858,2024-05-01,3AMNPBSSQX,19:33:00,18:08:00,8,9,468,470,2024-05-01 19:33:00,2024-05-01 18:08:00,5,3
3858,2024-05-01,P39BU70VPE,18:44:00,18:19:00,11,11,604,604,2024-05-01 18:44:00,2024-05-01 18:19:00,2,4
3858,2024-05-01,MTTWM2DE7C,19:15:00,18:29:00,5,5,277,277,2024-05-01 19:15:00,2024-05-01 18:29:00,4,5
3858,2024-05-01,RCZ3TQJEKD,20:05:00,19:15:00,5,5,219,219,2024-05-01 20:05:00,2024-05-01 19:15:00,7,6
3858,2024-05-01,DV1GGX7Z6C,19:45:00,19:24:00,17,17,876,876,2024-05-01 19:45:00,2024-05-01 19:24:00,6,7
3858,2024-05-01,89S747289H,20:42:00,19:52:00,12,12,623,623,2024-05-01 20:42:00,2024-05-01 19:52:00,8,8
3858,2024-05-01,HUV75W0NY6,21:01:00,20:07:00,13,13,657,657,2024-05-01 21:01:00,2024-05-01 20:07:00,9,9
3858,2024-05-01,FGH8S269JM,21:15:00,20:10:00,7,7,363,363,2024-05-01 21:15:00,2024-05-01 20:10:00,11,10
3858,2024-05-01,XMD585T4WI,21:01:00,20:13:00,10,10,713,713,2024-05-01 21:01:00,2024-05-01 20:13:00,10,11
3858,2024-05-02,PRU0X116LE,09:30:00,06:59:00,3,3,156,156,2024-05-02 09:30:00,2024-05-02 06:59:00,15,12
3858,2024-05-02,CM39ATO9L2,08:56:00,07:31:00,5,5,203,203,2024-05-02 08:56:00,2024-05-02 07:31:00,13,13
3858,2024-05-02,OX8YPMUX9P,08:52:00,07:50:00,3,3,146,146,2024-05-02 08:52:00,2024-05-02 07:50:00,12,14
3858,2024-05-02,Z56S0XT1KP,09:20:00,09:02:00,4,4,204,204,2024-05-02 09:20:00,2024-05-02 09:02:00,14,15
3858,2024-05-02,TFWKPQMNXL,18:05:00,17:52:00,9,9,481,481,2024-05-02 18:05:00,2024-05-02 17:52:00,1,1
3858,2024-05-02,UZGCMKE1EJ,18:44:00,18:22:00,9,9,423,423,2024-05-02 18:44:00,2024-05-02 18:22:00,2,2
3858,2024-05-02,KX0CFLOP92,19:00:00,18:27:00,12,13,582,606,2024-05-02 19:00:00,2024-05-02 18:27:00,3,3
3858,2024-05-02,GUJ97WRQ83,19:15:00,18:35:00,5,5,275,275,2024-05-02 19:15:00,2024-05-02 18:35:00,4,4
3858,2024-05-02,A7KS8UMASK,19:45:00,18:50:00,12,13,641,709,2024-05-02 19:45:00,2024-05-02 18:50:00,6,5
3858,2024-05-02,HU4R30UN5Y,20:05:00,19:15:00,3,3,152,152,2024-05-02 20:05:00,2024-05-02 19:15:00,7,6
3858,2024-05-02,TI43NK23ZC,19:33:00,19:39:00,7,8,425,433,2024-05-02 19:33:00,2024-05-02 19:39:00,5,7
3858,2024-05-02,8BRB6W258R,21:01:00,20:06:00,10,10,699,699,2024-05-02 21:01:00,2024-05-02 20:06:00,9,8
3858,2024-05-02,GGPQP25KEB,21:15:00,20:17:00,4,4,308,308,2024-05-02 21:15:00,2024-05-02 20:17:00,10,9
3858,2024-05-02,1TPZMRIJOL,20:42:00,20:18:00,11,11,610,610,2024-05-02 20:42:00,2024-05-02 20:18:00,8,10
3858,2024-05-03,STDZNQONYT,09:30:00,07:21:00,4,4,236,236,2024-05-03 09:30:00,2024-05-03 07:21:00,14,11
3858,2024-05-03,4D7DEU6ZYY,08:52:00,07:47:00,3,3,124,124,2024-05-03 08:52:00,2024-05-03 07:47:00,11,12
3858,2024-05-03,10UEY10UUM,09:20:00,08:47:00,4,6,145,221,2024-05-03 09:20:00,2024-05-03 08:47:00,13,13
3858,2024-05-03,FH4M9Y7ZPP,08:56:00,08:54:00,4,4,236,236,2024-05-03 08:56:00,2024-05-03 08:54:00,12,14
3858,2024-05-03,CPYXQY2CBI,18:05:00,17:35:00,10,10,585,585,2024-05-03 18:05:00,2024-05-03 17:35:00,1,1
3858,2024-05-03,PE7P1T9KNN,18:44:00,18:07:00,6,6,319,319,2024-05-03 18:44:00,2024-05-03 18:07:00,2,2
3858,2024-05-03,F2UGQULR72,19:00:00,18:08:00,10,12,599,637,2024-05-03 19:00:00,2024-05-03 18:08:00,3,3
3858,2024-05-03,EVN0AZ78D4,19:33:00,18:28:00,7,8,466,468,2024-05-03 19:33:00,2024-05-03 18:28:00,5,4
3858,2024-05-03,ZDOR7HNS2S,19:15:00,19:10:00,5,5,315,315,2024-05-03 19:15:00,2024-05-03 19:10:00,4,5
3858,2024-05-03,ZCZWR8V3BW,20:05:00,19:51:00,4,4,215,215,2024-05-03 20:05:00,2024-05-03 19:51:00,7,6
3858,2024-05-03,ZOO76H2BRH,20:42:00,19:59:00,9,10,533,637,2024-05-03 20:42:00,2024-05-03 19:59:00,8,7
3858,2024-05-03,AP5QROKDH3,21:01:00,20:07:00,13,14,649,660,2024-05-03 21:01:00,2024-05-03 20:07:00,10,8
3858,2024-05-03,ECRNC54NT1,21:01:00,20:24:00,12,12,875,875,2024-05-03 21:01:00,2024-05-03 20:24:00,9,9
3858,2024-05-03,V50UQQYNVQ,21:15:00,20:34:00,6,6,406,406,2024-05-03 21:15:00,2024-05-03 20:34:00,11,10
3858,2024-05-03,AM81D7UW9N,19:45:00,23:20:00,13,13,818,818,2024-05-03 19:45:00,2024-05-03 23:20:00,6,11
3858,2024-05-04,EIF8LX91BA,08:56:00,07:31:00,5,5,229,229,2024-05-04 08:56:00,2024-05-04 07:31:00,13,12
3858,2024-05-04,GQMSEJMA4I,09:20:00,08:09:00,6,6,228,228,2024-05-04 09:20:00,2024-05-04 08:09:00,14,13
3858,2024-05-04,EMMF2773LA,08:52:00,08:26:00,5,5,125,125,2024-05-04 08:52:00,2024-05-04 08:26:00,12,14
3858,2024-05-04,FFWPDC8VR3,18:05:00,17:31:00,7,7,394,394,2024-05-04 18:05:00,2024-05-04 17:31:00,1,1
3858,2024-05-04,VTOAKLRU8S,18:44:00,17:42:00,9,9,556,556,2024-05-04 18:44:00,2024-05-04 17:42:00,2,2
3858,2024-05-04,YJT6QXWZEZ,19:33:00,17:47:00,9,9,508,508,2024-05-04 19:33:00,2024-05-04 17:47:00,5,3
3858,2024-05-04,1VYTBFQ4SH,19:00:00,18:00:00,10,11,573,588,2024-05-04 19:00:00,2024-05-04 18:00:00,3,4
3858,2024-05-04,64A1XHOBF6,19:15:00,18:36:00,4,4,218,218,2024-05-04 19:15:00,2024-05-04 18:36:00,4,5
3858,2024-05-04,0R5HQQKF5G,20:05:00,19:17:00,4,4,209,209,2024-05-04 20:05:00,2024-05-04 19:17:00,7,6
3858,2024-05-04,WBX5HTU0GZ,19:45:00,19:26:00,12,12,800,800,2024-05-04 19:45:00,2024-05-04 19:26:00,6,7
