Truck Number,Scheduled Arrival Time,Mean Packages,Standard Deviation Packages,Mean Pallets,Standard Deviation Pallets,Mean Percentage Packages,Standard Deviation Percentage Packages,Average Packages Per Pallet
1,5:15:00 PM,554.2095238,169.7862738,9.39047619,2.80965108,0.053108902,0.018442421,59
2,5:20:00 PM,718.2090909,192.3313318,12.12727273,2.605953279,0.066413466,0.018945573,59
3,6:01:00 PM,801.2242991,167.735096,14.26168224,2.882400888,0.075269402,0.018560671,56
4,6:15:00 PM,404.2407407,251.5416716,6.611111111,4.04607421,0.035336722,0.018995225,61
5,6:42:00 PM,585.8130841,253.9982592,9.168224299,3.842380309,0.055794029,0.024708256,64
6,7:18:00 PM,842.3980583,220.3943142,13.42718447,3.679838929,0.081269942,0.02565019,63
7,7:35:00 PM,312.8971963,244.2871391,5.205607477,3.687659988,0.026593212,0.018128827,60
8,8:44:00 PM,687.8653846,175.0216662,11.85576923,2.641778855,0.063583937,0.016894159,58
9,9:01:00 PM,821.7619048,272.4324042,12.43650794,4.252991478,0.077131256,0.028565656,66
10,9:15:00 PM,892.5647059,173.3925114,12.03529412,2.316848531,0.084844069,0.021515315,74
11,9:15:00 PM,453.6880734,197.5481047,7.174311927,3.219857475,0.040607544,0.015028214,63
12,9:30:00 PM,220.6095238,85.47868552,4.419047619,1.357181415,0.020300555,0.008309254,50
13,8:52:00 AM,279.9056604,124.5778799,5.301886792,2.116465208,0.025491216,0.011546221,53
14,8:56:00 AM,179.6796117,85.81503292,4.077669903,1.730291375,0.016291793,0.007358124,44
15,9:30:00 AM,182.9777778,73.71094133,4.022222222,1.357275673,0.017202031,0.006933034,45
16,10:30:00 PM,,,,,,,
