pkg_received_utc_ts,package_tracking_number,scac,Pallet
28,TLMD220049804891,TLMD,1
28,TLMD220049803507,TLMD,1
28,TLMD220049714630,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049905979,TLMD,1
28,TLMD220049751644,TLMD,1
28,TLMD220049754007,TLMD,1
28,TLMD220049753204,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049713015,TLMD,1
28,7.40045E+11,FDEG,1
28,7.40045E+11,FDEG,1
28,TLMD220049787017,TLMD,1
28,TLMD220049905273,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049711526,TLMD,1
28,7.40044E+11,FDEG,1
28,TLMD220049899236,TLMD,1
28,9261290982841710226975,USPS,1
28,7.40045E+11,FDEG,1
28,TLMD220049791217,TLMD,1
28,TLMD220049709280,TLMD,1
28,TLMD220049711731,TLMD,1
28,TLMD220049710358,TLMD,1
28,TLMD220049751395,TLMD,1
28,TLMD220049911186,TLMD,1
28,TLMD220049790745,TLMD,1
28,TLMD220049714952,TLMD,1
28,TLMD220049896748,TLMD,1
28,TLMD220049756247,TLMD,1
28,TLMD220049900563,TLMD,1
28,TLMD220049752045,TLMD,1
28,TLMD220049901384,TLMD,1
28,7.40045E+11,FDEG,1
28,7.40045E+11,FDEG,1
28,TLMD220049798345,TLMD,1
28,TLMD220049709557,TLMD,1
28,7.40044E+11,FDEG,1
28,TLMD220049752876,TLMD,1
28,TLMD220049907128,TLMD,1
28,TLMD220049908967,TLMD,1
28,TLMD220049705597,TLMD,1
28,7.40045E+11,FDEG,1
28,TLMD220049752607,TLMD,1
28,TLMD220049900956,TLMD,1
28,TLMD220049752376,TLMD,1
28,TLMD220049900269,TLMD,1
28,TLMD220049796703,TLMD,1
28,7.40045E+11,FDEG,1
28,1Z1A10F6YW41129789,UPSN,1
28,TLMD220049897256,TLMD,1
28,9261290982841710226999,USPS,1
28,TLMD220049705122,TLMD,1
28,TLMD220049759422,TLMD,1
28,TLMD220049795062,TLMD,1
