TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3C_PACKAGES,PASSED_OVER_PACKAGES_TLMD
420,349,1
560,256,1
486,263,1
542,297,0
456,379,1
442,171,0
460,324,0
419,283,1
551,300,0
427,295,0
479,392,0
393,506,0
461,336,0
542,227,0
671,236,0
458,353,0
410,414,1
416,401,0
421,478,1
477,272,0
386,410,0
462,339,1
475,361,0
611,241,0
441,419,0
408,444,0
499,210,0
446,542,0
343,524,1
514,343,1
460,309,0
351,434,0
411,495,1
458,358,0
423,433,0
513,328,1
469,259,0
556,225,0
495,349,0
491,303,0
443,346,1
578,252,0
617,193,0
468,341,1
555,250,1
531,268,1
366,425,1
415,365,0
569,302,0
587,268,1
385,408,0
332,399,0
322,562,0
485,449,0
396,549,1
383,498,1
450,349,0
404,489,1
359,462,0
