,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,12375,7888,4487,3944,2761,921,1183,,3832,4034,578,637,655,97,432,428,52,692,775,122,282,270,45,1789,1906,262,3931,543.5012960167836,1022.8717492929069,806.6655817311153,990.6655817311571,1085.065581731171,,487.86826635797127,488.34033843004335,488.69574383544875,487.9182663579713,123,19,28,32,12,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A253DB4D0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A253D8750>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A253D9150>]",197
1,12375,8449,3926,4224,2957,753,1267,,5328,2232,946,775,330,129,853,350,157,858,324,145,5,0,0,2837,1228,515,3869,467.1504270152805,1001.7505250391864,742.5147127295976,939.7147127296424,1040.914712729654,,413.07280276187254,412.8948748339446,412.8615415006113,306.3565865456531,131,28,25,27,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A262D4410>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A262D40D0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A262D5C50>]",255
2,12375,8422,3953,4211,2948,654,1263,,4261,4059,1018,348,349,79,667,651,155,586,615,140,172,156,35,2488,2288,609,3037,471.2517006449045,1033.3848596931996,746.2159863592225,942.6159863592671,1077.2159863592772,,431.1074097248173,431.56281513022265,429.80786017526765,430.73533765274516,131,30,16,27,8,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A272D2750>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A272D0350>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A272EC890>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A272EC550>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A272EC690>]",349
3,12375,7929,4446,3964,2775,581,1189,,4643,3362,1160,202,125,46,1460,1095,359,586,425,146,1,1,0,2394,1716,609,3210,511.7924608332958,1023.4762659082534,773.5567465476198,958.5567465476619,1062.1567465476708,,469.08690865194995,467.33735910240034,468.92564739068865,379.8031248681635,123,59,8,24,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A27FA83D0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A27FA8750>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A27FA8990>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A27FA8C10>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A27FA8E90>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A27FA90D0>]",414
4,12375,7758,4617,3879,2715,664,1164,,3831,3753,1042,640,590,176,867,844,207,556,573,159,2,3,0,1766,1743,500,3749,549.7709355559875,1052.7942984935682,809.1352212703201,990.1352212703613,1097.3352212703714,,495.63518271944923,494.8743719086384,495.35770524197176,485.53338091764715,120,39,29,26,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A28C76890>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A28C75510>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A28C77210>]",240
5,12375,8025,4350,4012,2809,924,1204,,3921,3073,647,288,246,50,1048,809,159,881,695,153,10,6,5,1694,1317,280,4734,544.8567342076203,1038.810839522908,812.821019921954,1000.0210199219965,1100.6210199220106,,479.6056865308021,479.2502811253966,479.9610919362075,412.7304613055748,125,41,12,35,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2986CC10>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2986CF90>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2986E290>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2986C110>]",280
6,12375,7598,4777,3799,2659,872,1140,,5083,3161,610,1410,907,166,738,464,91,568,336,85,6,6,0,2361,1448,268,3521,557.8511559167907,1026.6558060348507,812.6154416311241,989.8154416311644,1085.0154416311777,,509.6235316633775,509.2793875192333,509.5735316633775,507.96857670842246,118,26,50,20,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2A631810>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2A630F50>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2A631D10>]",203
7,12375,8226,4149,4113,2879,803,1234,,5155,3477,789,1137,739,165,0,0,0,1131,775,193,3,6,0,2884,1957,431,2954,485.6869193303301,991.3877803337745,755.4512050446505,947.2512050446941,1045.8512050447064,,0.0,446.77596174357495,446.9872230048362,436.7574932751062,128,0,41,42,1,[],[],[],41
8,12375,7902,4473,3951,2766,792,1185,,4253,3387,868,684,550,138,733,591,173,494,366,98,317,263,66,2025,1617,393,3867,537.6640807566205,1038.3418811379388,800.8283664709512,985.2283664709931,1092.0283664710053,,483.6531231698791,483.23105109780704,483.6197898365458,483.19771776447374,123,30,28,20,13,[],[],[],3
9,12375,8629,3746,4314,3020,881,1294,,4119,4061,731,885,918,157,309,302,63,504,494,95,7,10,2,2414,2337,414,3464,507.03901015126246,1025.4271185497885,791.8032958655908,993.2032958656366,1084.80329586565,,463.260034546497,463.31003454649704,462.54922373568627,443.0064309428928,134,14,40,22,1,[],[],[],24
