,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3
0,10902,6747,4155,,,,,0,3312,3694,613,711,792,127,415,489,101,653,734,118,7,6,2,1526,1673,265,3283,,,,,,,484.8327198831977,484.09690907238684,484.09690907238684,474.8475847480622,,21,33,31,1,,,
1,10902,7086,3816,3543.0,2480.0,606.0,1063.0,0,3094,3662,897,377,463,119,602,680,150,580,667,170,1,6,1,1534,1846,457,3249,652.8344843861684,1366.0526793056245,1026.7654367671546,1294.765436767211,1427.1654367672247,,478.1403197669986,1299.601757929701,477.32950895618774,453.4105900372681,143.0,29,20,29,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF2186DD0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF21870D0>]"
2,10902,7860,3042,3930.0,2751.0,843.0,1179.0,0,4266,3713,499,321,239,28,480,411,52,740,686,83,0,2,0,2725,2375,336,2424,574.6312621745982,1308.226715416194,958.6479288413173,1282.3622145556376,1392.5622145556567,,435.00312949645536,435.00312949645536,435.0031294964558,396.65177814510906,159.0,19,12,31,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF2AFD150>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF2AFD910>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF2AFD890>]"
3,10902,6943,3959,3472.0,2430.0,676.0,1041.0,0,3511,2307,903,554,356,144,593,414,162,901,601,232,0,2,0,1463,934,365,4181,685.3078114590766,1377.1345221169636,1052.238763840068,1315.0387638401232,1392.5622145556567,,448.4528360290943,450.074457650716,450.0940522453106,374.05351170476837,140.0,24,22,35,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF4522650>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF4521AD0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF3F96A10>]"
4,10902,7432,3470,3472.0,2430.0,676.0,1041.0,0,4172,4186,819,330,380,57,562,536,121,559,571,111,102,123,18,2619,2576,512,1725,685.3078114590766,1377.1345221169636,1052.238763840068,1315.0387638401232,1392.5622145556567,,455.75401911745536,455.0182083066445,455.82901911745535,456.1594245228608,140.0,25,16,25,5,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF4522650>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF4521AD0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF3F96A10>]"
5,10902,6583,4319,3292.0,2304.0,782.0,987.0,0,2575,3457,597,409,503,93,510,721,124,632,862,138,134,156,37,890,1215,205,4273,755.843024345486,1416.9118507436017,1104.7739767264893,1354.9739767265417,1392.5622145556567,,515.878589456044,1358.6084723652216,455.82901911745535,515.878589456044,133.0,28,21,25,7,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF472B490>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF472B6D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF498EF90>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF472BE50>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF47F53D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF4995BD0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF4DA3BD0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF4CDA590>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF4CD91D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF4CDA910>]"
6,10902,6769,4133,3384.0,2369.0,401.0,1015.0,0,4910,2469,1201,641,308,166,1254,634,316,456,229,101,19,6,3,2540,1292,615,2322,580.029967425131,1276.7813834516528,914.7609198061376,1174.9609198061505,1316.9609198061596,,1178.1928699381363,456.711724181884,456.711724181884,444.9549674251269,137.0,45,23,16,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF59B1090>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF59B0750>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF5D3AA90>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF5D3A410>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF5D3A890>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF5D3A510>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF5D3A190>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF5D39750>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF5D39710>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF5D39410>]"
7,10902,7900,3002,3950.0,2765.0,710.0,1185.0,0,4842,3251,729,56,40,8,557,371,87,1058,661,159,3,2,0,3168,2177,475,2080,562.711122671376,1309.4540986492905,949.5849321952406,1273.842075052414,1380.64207505243,,440.1965035067528,440.61609810134723,441.1573143175636,392.5701521554008,159.0,21,3,38,1,[],[],[]
8,10902,7163,3739,3582.0,2507.0,540.0,1074.0,0,3908,3353,944,584,533,141,508,452,105,660,592,164,0,0,0,2156,1776,534,2697,627.2986961055152,1341.3454196826176,974.3725056293157,1275.8296484865537,1395.6296484865659,,478.32547743229213,1280.1292034663995,478.80588283769754,392.5701521554008,145.0,22,26,29,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF60B0FD0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF60B1310>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF60B0090>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF60B0B90>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF60B0750>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF60B0210>]"
9,10902,6824,4078,3412.0,2388.0,642.0,1024.0,0,3529,3241,792,405,392,78,891,806,201,573,585,129,9,7,2,1651,1451,382,3340,664.267450469562,1328.2123384887968,1025.1984028505476,1283.7984028506019,1392.9984028506165,,487.84109911820536,487.43569371279995,487.43569371279995,435.01907346781405,138.0,38,18,26,1,[],[],[]
10,10902,7541,3361,3770.0,2639.0,797.0,1131.0,0,3210,3842,583,92,105,18,629,766,109,659,848,121,6,8,0,1824,2115,335,3267,629.6921191652488,1336.1873291365089,1026.4230715462345,1310.2230715462945,1415.8230715463126,,443.53603808416204,441.58401105713494,443.6306326787566,439.07657862470245,152.0,31,5,33,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF77BC5D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001FEF77BF750>]"
11,10902,6834,4068,3417.0,2392.0,651.0,1025.0,0,4223,2252,859,926,502,191,553,321,127,857,424,167,0,0,0,1887,1005,374,3568,673.427291026524,1348.5012905208262,1034.758243407512,1293.9582434075664,1413.9582434075812,,478.4272910265181,478.4272910265181,478.0968856211127,439.07657862470245,138.0,21,33,29,1,[],[],[]
