,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3
0,10902,7367,3535,3684,2578,807,1105,0,4012,2652,609,704,452,114,725,516,119,501,321,77,4,1,1,2078,1362,298,3629,675.9295895580584,1373.134326210233,1064.0605419390524,1341.660541939111,,,483.69242739589043,483.287021990485,483.287021990485,340.5901546686141,149,28,26,18,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE39251410>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE398550D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE39854E10>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE39854390>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE39856F50>]"
1,10902,7402,3500,3701,2591,627,1110,0,4417,3754,848,792,699,181,229,204,49,641,544,134,13,13,1,2742,2294,483,1883,570.0969338672022,1373.134326210233,934.3136005338628,1219.0278862482317,,,464.21112305638826,464.21112305638826,463.80571765098284,462.5895014347666,150,10,34,27,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3A3C30D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3A3C01D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE39C2DA50>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3A3C17D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE39C0E5D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3A3C3DD0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE39C22610>]"
2,10902,6893,4009,3446,2413,629,1034,0,3435,3548,817,700,735,156,420,462,114,626,637,139,7,10,3,1682,1704,405,3102,626.7720457644892,1319.0463166108912,961.7029981454334,1252.3029981455225,1382.1029981455367,,462.00423249667136,462.4096379020768,1256.2084787730514,408.3555838480217,139,20,32,29,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3C145610>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3C147FD0>]"
3,10902,7831,3071,3916,2741,677,1175,0,2901,3460,865,262,348,86,499,607,148,437,536,133,6,8,1,1697,1961,497,3676,617.9776826434864,1363.7914669107995,1029.3086350244732,1323.3086350245355,1431.908635024551,,405.5206801864782,405.37068018647824,405.0402747810728,325.58081532161094,158,26,14,23,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3CF1D0D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3CF1CD50>]"
4,10902,7055,3847,3528,2469,523,1058,0,4377,3069,984,669,455,154,858,571,202,494,350,93,1,0,0,2355,1693,535,2472,631.7699925437914,1321.4045831310327,973.4438020676384,1271.100944924829,1374.300944924841,,497.135963059758,496.3251522489472,496.3251522489472,228.03842006220768,143,33,26,19,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3D7038D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3D703ED0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3D703B90>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3DAADED0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3DAADFD0>]"
5,10902,7800,3102,3900,2730,582,1170,0,3948,2898,974,614,481,141,772,570,205,164,107,39,3,5,1,2395,1735,588,3082,567.0435648864675,1313.9430121436187,948.917374410331,1269.5745172675047,1372.774517267518,,387.7942405621383,387.3138351567329,387.3888351567329,354.07059191348867,157,31,25,7,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3E19F290>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3E60C810>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3E60C910>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3E60C310>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3E60D2D0>]"
6,10902,7436,3466,3718,2603,585,1115,0,2940,3474,959,434,528,135,371,443,102,594,656,191,5,6,1,1536,1841,530,3529,599.6399773871326,1319.6443475023484,962.0280726252743,1271.3709297681696,1378.770929768183,,390.75662357877314,390.83162357877313,391.16202898417856,390.4262181733677,151,19,22,29,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3EB30B10>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3EB32610>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3ED994D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3ED9A710>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3ED98C50>]"
7,10902,6024,4878,3012,2108,523,904,0,3430,3265,1038,806,769,284,700,706,201,639,597,171,3,1,1,1282,1192,381,3169,741.8402788065171,1372.3178959036568,1062.7712311875118,1293.3712311875597,1424.5712311875716,,576.3598734011066,575.9544679957012,576.765278806512,374.33284637407405,123,33,38,29,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3FB15190>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3F65F950>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE3F65FE10>]"
8,10902,7905,2997,3952,2767,507,1186,0,4059,3625,1026,301,269,91,827,749,200,255,227,56,11,11,0,2665,2369,679,2192,535.9963383792316,1296.9788682272201,926.2415764745334,1247.5272907602628,1348.1272907602743,,390.8600975929869,390.5100975929869,389.3688813767706,379.4141516470406,160,36,14,11,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE40222D10>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE402210D0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE40221990>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE40222410>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE407E4750>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE407E6410>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE407E5F10>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE407E61D0>]"
9,10902,6361,4541,3180,2226,724,954,0,4536,2949,540,1208,793,148,676,416,75,653,452,81,22,12,5,1977,1276,231,2877,688.3309693497823,1300.0484804870596,1026.0619217307683,1268.4619217308189,1372.8619217308353,,536.3039423227507,535.8985369173453,536.3039423227507,533.4661044849128,129,24,43,24,1,[],[],"[<SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE411EA110>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE40CBCED0>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE40CBDA50>, <SC_Simulation_Main_NoVAR.TLMD_Pallet object at 0x000001EE40CBCA50>]"
