,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,11437,7133,4304,3566,2497,449,1070,7133.0,4805,3426,1111,870,636,208,847,611,177,489,361,105,0,0,0,2599,1818,621,2095,506.30229952081294,1011.5651548092163,741.26658523513,907.6665852351679,937.6665852351747,1058.7294405235114,481.7746752673781,481.3859365286394,481.502603195306,0.0,111,33,35,20,0,[],[],[],3
1,11437,7817,3620,3908,2736,753,1173,,4854,3842,681,863,648,118,454,350,54,579,464,89,1,0,0,2957,2380,420,2060,453.0715503430645,1043.6878976064272,706.4358360573739,888.8358360574153,1094.0358360574269,,426.71372543442845,426.3655067612099,426.7803921010951,165.5952364909317,123,18,33,23,1,[],[],[],30
2,11437,7763,3674,3882,2717,789,1164,7763.0,4125,2654,763,548,349,114,498,306,105,970,598,166,10,7,3,2099,1394,375,3895,448.4926461673438,1007.4528890795146,699.8569318816518,880.856931881693,1060.456931881705,1085.4569318817107,397.191598490513,397.12493182384634,396.7528597517742,384.2019588508729,120,19,21,35,1,[],[],[],2
3,11437,8376,3061,4188,2932,559,1256,8376.0,4557,4848,992,594,683,148,160,185,32,548,586,114,4,6,1,3251,3388,697,1040,392.83724091586777,1060.5759553778144,659.8015266301667,855.4015266302112,892.6015266302196,1112.9402410921107,377.2780237058306,378.8496453274523,377.75009577790263,359.9050302578407,131,8,29,25,1,[],[],[],1
4,11437,7226,4211,3613,2529,574,1084,7226.0,4079,3557,1017,742,649,188,615,511,158,602,570,161,9,6,0,2111,1821,510,2784,471.3491666707107,1018.6038608695882,706.3134523850196,874.9134523850579,1057.1134523850667,1091.1134523850744,435.710281156025,435.2548757506196,435.3548757506196,433.6665874623313,112,26,32,27,1,[],[],[],3
5,11437,8179,3258,4090,2863,704,1227,8179.0,4673,3880,816,357,275,79,621,482,104,664,560,110,3,2,1,3028,2561,522,2068,434.25333487761753,988.3951950995456,698.0176205919248,889.0176205919682,1035.817620591979,1070.617620591987,412.5914763899481,413.4189538674256,414.24643134490316,311.35679170526043,127,25,15,27,1,[],[],[],2
6,11437,7210,4227,3605,2524,644,1082,,3498,2708,1056,517,403,164,881,658,265,646,488,188,8,7,2,1446,1152,437,4175,515.1784783378433,994.9127452506958,753.3427640521629,921.5427640522012,1038.542764052211,,456.40625948984535,455.15670994029574,456.76166489525076,455.5121153457012,112,37,22,27,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2A8B50D0>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2A8B5C10>]",177
7,11437,7856,3581,3928,2750,499,1178,7856.0,4916,2329,1226,479,255,112,738,332,209,840,390,226,0,0,0,2859,1352,679,2966,435.19482695071093,1010.5245343422224,688.1591126650156,871.5591126650573,1043.759112665065,1088.9591126650753,395.9672026972893,396.13386936395597,396.1172026972893,0.0,123,26,17,30,0,[],[],[],3
8,11437,6739,4698,3370,2359,626,1011,,3699,4372,794,691,759,123,456,509,94,830,1023,191,7,13,2,1715,2068,384,2572,562.8646455869364,998.2723128554126,789.4289313012642,946.6289313013,1040.2289313013096,,530.7257600722475,531.503237549725,532.7694537659412,526.3496339461212,105,22,32,41,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2AEA3710>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2AEA1590>]",189
9,11437,7425,4012,3712,2599,715,1114,,3391,3680,827,379,347,84,784,811,197,592,647,145,10,14,2,1626,1861,399,3539,517.2658766820962,1025.9994976074868,762.8301623964184,936.2301623964578,1059.8301623964687,,472.09816233859317,471.52609026652107,472.0314956719265,435.56167585210557,116,36,17,28,1,[],[],"[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2A81E110>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2A81DB90>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2A81C790>, <Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A2A81E650>]",269
