,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,9995,6819,3176,3410,2387,510,1023,6819.0,3639,3083,848,479,350,103,549,504,132,503,440,96,6,9,5,2102,1780,512,2425,419.6572753064041,991.593187727253,636.821561020697,796.0215610207332,830.0215610207409,1031.5574734415466,392.18053147885587,391.7584594067838,392.21386481218923,363.88548643380994,106,24,19,21,1,[],[],[],2
1,9995,6772,3223,3386,2370,393,1016,6772.0,3259,2977,1103,388,344,121,581,588,204,429,410,155,3,0,0,1858,1635,623,2656,411.2037708545733,984.2672438293774,626.168056568864,785.9680565688949,812.1680565689009,1031.6315295436725,367.35266127516127,367.3359946084946,368.2134720859721,178.51707568956996,106,28,18,20,1,[],[],[],2
2,9995,6609,3386,3304,2313,618,991,,3261,2683,746,599,513,143,236,192,62,811,650,165,8,5,2,1607,1323,374,3305,473.7253499565599,1001.6038959774277,688.4896356708651,842.6896356709002,1042.8896356709097,,425.5157437211613,436.0229509283688,435.12880678422465,371.95223020764615,103,10,26,33,1,[],[],[<Dual_sim_SC_variability.TLMD_Pallet object at 0x0000023A27440F90>],114
3,9995,7020,2975,3510,2457,590,1053,7020.0,3918,3246,734,538,456,100,383,311,74,536,473,97,3,4,0,2458,2002,463,2097,401.8871041879151,1019.7889071292796,624.4513899022057,788.251389902243,1029.451389902252,1060.251389902259,361.1367364793838,362.3975472901946,362.3196193622667,293.384033776679,109,16,22,23,1,[],[],[],3
4,9995,6687,3308,3344,2340,344,1003,6687.0,3149,3184,1188,390,388,157,622,728,255,324,304,112,13,10,5,1800,1754,659,2474,408.1704375212427,1023.0459643376564,620.3347232355328,776.9347232355639,799.9347232355691,1072.8102500519522,350.41015764471393,349.4201564759219,349.6493468339031,339.3808783654342,104,33,19,15,1,[],[],[],2
5,9995,5618,4377,2809,1966,588,843,5618.0,4464,2301,591,1031,561,135,773,373,97,851,429,104,16,7,0,1793,931,255,2639,511.4250520551261,996.6999583282345,696.1893377694327,827.1893377694624,866.3893377694714,1019.464244042524,476.63121158548324,477.83076113503284,478.26949987377157,469.3672476215191,88,25,35,28,1,[],[],[],3
6,9995,7100,2895,3550,2485,716,1065,7100.0,3464,2999,594,312,268,56,442,350,73,687,584,116,4,3,0,2019,1794,349,2938,415.903770854569,1034.7668661676769,642.0680565688632,807.6680565689009,1039.4680565689118,1063.931151881968,349.90483556250325,349.3548355625032,350.14897970664737,343.323754481422,111,18,13,28,1,[],[],[],1
7,9995,5748,4247,2874,2012,404,862,5748.0,3814,2352,1078,964,536,245,566,361,165,724,470,208,5,1,2,1555,984,458,2751,486.9361345248825,993.4684283368754,674.1004202391841,808.1004202392146,835.1004202392207,1029.832714051168,452.7269582649057,453.5211024090499,451.1386699766174,381.79767898562426,90,22,35,29,1,[],[],[],2
8,9995,5936,4059,2968,2078,424,890,5936.0,4305,2696,948,690,422,137,822,513,184,621,429,153,51,29,8,2121,1303,466,2046,445.3372814197454,1005.3632729764324,635.3015671340386,773.9015671340701,802.1015671340765,1042.3275586907253,421.98396101561383,419.5848619165146,420.4123393939921,415.1087357903884,92,31,25,25,2,[],[],[],1
9,9995,6937,3058,3468,2428,328,1041,6937.0,4139,2778,1113,884,603,214,541,352,143,156,111,39,7,4,4,2551,1708,713,1965,399.6871041879171,988.6261803748827,619.0513899022061,782.4513899022396,804.2513899022446,1041.990466089179,356.2558777859451,356.76128319135046,355.96713904720633,353.4347066147738,109,21,35,7,1,[],[],[],2
