,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3,PASSED_OVER_PACKAGES_TLMD
0,10902,7506,3396,3753,2627,615,1126,7506.0,4163,3217,863,656,524,124,552,441,125,479,366,100,18,8,3,2458,1878,511,2659,411.44881202044394,987.080453106816,650.8130977347402,826.01309773478,867.0130977347893,1027.0447388211094,377.5567528775828,377.5734195442495,377.1180141388441,366.5941402649699,117,23,27,19,1,[],[],[],1
1,10902,7875,3027,3938,2756,702,1181,7875.0,4337,2153,780,686,395,128,509,229,72,530,252,89,93,32,12,2519,1245,479,3632,427.47043752122516,991.8893280916495,680.4347232355282,864.23472323557,1015.0347232355806,1046.834723235588,372.8220296203202,372.44995754824816,372.51484288813344,368.4292368275273,123,17,25,18,3,[],[],[],3
2,10902,6975,3927,3488,2441,605,1046,6975.0,3437,3581,888,690,680,176,551,564,156,401,443,99,74,77,16,1721,1817,441,2996,446.9580732339183,1022.9222148130845,671.7223589482194,834.3223589482564,1025.7223589482655,1058.0865005273768,408.07459312464124,409.01873726878546,408.8520706021188,403.3763949264429,109,26,31,19,4,[],[],[],3
3,10902,7582,3320,3791,2654,489,1137,7582.0,4273,2429,1139,744,393,188,201,121,60,851,492,238,19,8,5,2458,1415,648,3061,417.95377085456715,981.7605393484149,660.518056568866,837.5180565689062,870.1180565689136,1030.7248250627104,363.5208351555638,363.9429072276359,361.54380812853674,339.63524956997753,118,8,27,32,1,[],[],[],3
4,10902,6897,4005,3448,2414,583,1035,6897.0,4259,2606,919,645,389,132,664,416,163,874,550,172,0,0,0,2076,1251,452,3118,487.0980305462178,978.8757341058504,712.4623162605282,873.4623162605648,1005.2623162605736,1035.2623162605805,445.03166755405965,445.55373962613174,445.5370729594651,0.0,108,25,24,32,0,[],[],[],3
5,10902,6970,3932,3485,2440,535,1046,6970.0,4693,2672,977,1085,645,222,578,311,142,554,292,103,0,0,0,2476,1424,510,2560,483.82884978554097,998.1641085697847,711.3931354998509,873.9931354998879,909.593135499896,1037.9283942840782,451.6827775386662,451.80663093751855,450.55708138796894,0.0,109,21,40,19,0,[],[],[],3
6,10902,7878,3024,3939,2757,840,1182,7878.0,3793,2694,591,863,579,125,73,51,6,676,514,113,13,6,5,2168,1544,342,3824,430.67043752122225,987.8362882298784,684.0347232355263,867.834723235568,991.8347232355808,1016.4005739441692,352.8175750963591,358.3765841053683,358.40991743870165,307.05676428554693,123,3,32,27,1,[],[],[],3
7,10902,7321,3581,3660,2562,520,1098,7321.0,4879,2825,957,998,562,184,456,258,85,571,343,108,11,4,1,2843,1658,579,2241,432.4791836518786,1020.3411756274352,667.6434693661794,838.4434693662182,873.0434693662261,1064.7054613417297,406.2790368759235,405.8236314705181,406.1313300782166,403.4745323714189,114,16,35,21,1,[],[],[],3
8,10902,7642,3260,3821,2675,617,1146,7642.0,4802,3168,847,259,171,52,597,402,112,912,579,153,9,13,1,3025,2003,529,2085,407.77559935490694,986.6066964839233,651.3398850692032,829.7398850692438,870.7398850692531,1027.770982198217,381.43984651834336,381.40651318501006,382.32043619893324,377.36912579762253,119,23,10,33,1,[],[],[],1
9,10902,6760,4142,3380,2366,662,1014,,3824,2568,855,977,626,218,588,454,148,581,397,135,11,5,2,1667,1086,352,3655,508.6790896049758,954.4270234642416,731.443375319291,889.2433753193269,999.2433753193369,,456.95414757924686,457.0041475792469,457.37621965131893,452.0726160477152,105,24,37,23,1,[],[],[],27
