,TOTAL_PACKAGES,TOTAL_PACKAGES_TLMD,TOTAL_PACKAGES_NC,TLMD_PARTITION_1_PACKAGES,TLMD_PARTITION_2_PACKAGES,TLMD_PARTITION_3AB_PACKAGES,TLMD_PARTITION_3_PACKAGES,TLMD_SORTED_PACKAGES,TOTAL_LINEHAUL_A_PACKAGES,TOTAL_LINEHAUL_B_PACKAGES,TOTAL_LINEHAUL_C_PACKAGES,USPS_LINEHAUL_A_PACKAGES,USPS_LINEHAUL_B_PACKAGES,USPS_LINEHAUL_C_PACKAGES,UPSN_LINEHAUL_A_PACKAGES,UPSN_LINEHAUL_B_PACKAGES,UPSN_LINEHAUL_C_PACKAGES,FDEG_LINEHAUL_A_PACKAGES,FDEG_LINEHAUL_B_PACKAGES,FDEG_LINEHAUL_C_PACKAGES,FDE_LINEHAUL_A_PACKAGES,FDE_LINEHAUL_B_PACKAGES,FDE_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_A_PACKAGES,TLMD_LINEHAUL_B_PACKAGES,TLMD_LINEHAUL_C_PACKAGES,TLMD_LINEHAUL_TFC_PACKAGES,TLMD_AB_INDUCT_TIME,TLMD_C_INDUCT_TIME,TLMD_PARTITION_1_SORT_TIME,TLMD_PARTITION_2_SORT_TIME,TLMD_PARTITION_3AB_SORT_TIME,TLMD_PARTITION_3_SORT_TIME,UPSN_SORT_TIME,USPS_SORT_TIME,FDEG_SORT_TIME,FDE_SORT_TIME,TOTAL_PALLETS_TLMD,UPSN_PALLETS,USPS_PALLETS,FDEG_PALLETS,FDE_PALLETS,PASSED_OVER_PALLETS_1,PASSED_OVER_PALLETS_2,PASSED_OVER_PALLETS_3
0,10902,6782,4120,3391,2374,402,1017,6782,3641,3958,1145,675,821,225,343,386,95,649,706,208,7,3,2,1967,2042,615,2158,608.2626116920604,1041.5821014148369,735.8846837642096,824.9096837642636,839.9846837642727,1058.4095788923235,496.3707198001652,496.7761252055706,496.7761252055706,459.0734225028668,137,17,35,32,1,[],[],[]
1,10902,7406,3496,3703,2592,564,1111,7406,5054,3017,912,555,319,108,618,392,131,781,466,126,0,0,0,3100,1840,547,1919,538.1468331574827,977.8419880341314,677.468905229639,774.6689052296979,795.8189052297107,1027.944465511617,435.0019928626318,435.00199286263194,435.00199286263177,459.0734225028668,150,23,20,28,1,[],[],[]
2,10902,6775,4127,3703,2592,564,1111,7406,4502,3826,1202,650,542,180,651,549,188,653,536,153,11,8,6,2537,2191,675,1372,538.1468331574827,977.8419880341314,677.468905229639,774.6689052296979,795.8189052297107,1027.944465511617,435.0019928626318,435.00199286263194,435.00199286263177,459.0734225028668,150,23,20,28,1,[],[],[]
3,10902,6581,4321,3290,2303,589,987,6581,4298,2972,877,625,451,143,462,284,90,367,267,71,825,562,174,2019,1408,399,2755,657.0755338718646,1046.9744752631007,780.8726059440115,857.8388221602651,871.9530113494546,1058.3715473351788,509.8739368202632,510.27934222566864,509.0631260094524,509.8739368202632,133,17,25,15,32,[],[],[]
4,10902,6872,4030,3436,2405,711,1031,6872,4784,3066,613,708,448,94,630,441,71,894,603,126,11,2,2,2541,1572,320,2439,603.3272333583492,1029.3010967545395,732.5993054304994,822.8243054305541,849.4493054305702,1038.7481688266164,479.23374441485663,478.4229336040458,479.23374441485663,438.28779846890944,139,23,25,33,1,[],[],[]
5,10902,7195,3707,3598,2518,654,1079,7195,5284,4026,686,899,661,114,456,331,50,642,456,97,1,0,0,3286,2578,425,906,531.2767343197062,1025.0220118357142,666.6238063918601,761.0488063919173,785.5738063919322,1037.0940839077928,478.4990316170019,478.16862621159646,477.68822080619105,295.9670291599946,145,17,34,24,1,[],[],[]
6,10902,7170,3732,3585,2510,547,1076,7195,3346,3324,993,531,564,156,506,485,133,592,589,175,0,0,1,1717,1686,528,3239,611.7736521473582,1021.2604082825783,746.6707242195118,840.7957242195689,1034.8882917871372,1037.0940839077928,435.00107427579667,435.00715535687766,435.0010742757966,295.9670291599946,145,23,26,28,1,[],[],[]
7,10902,7131,3771,3566,2496,688,1070,7195,3941,3257,729,676,539,126,557,463,108,645,543,114,0,0,0,2063,1712,381,2975,612.5384408751356,982.754718391787,746.6855129472888,840.2855129473455,856.9213237580191,1037.0940839077928,442.8235760102656,442.2681706048602,442.41817060486017,295.9670291599946,144,23,27,27,1,[],[],[]
8,10902,6859,4043,3430,2401,578,1029,7195,3349,2518,1051,770,610,231,498,371,169,687,506,201,0,0,0,1394,1031,450,3984,700.4453292077244,971.4007000532018,829.4924012798745,890.8822661446629,904.6660499284471,1037.0940839077928,483.9588427212314,483.9588427212314,483.14803191042057,295.9670291599946,139,21,33,28,1,[],[],[]
9,10902,8023,2879,4012,2808,734,1203,8023,3913,3425,756,833,729,176,122,103,26,437,365,84,2,1,1,2519,2227,469,2808,574.2279577603883,1028.15616894841,725.1000298325516,830.4000298326155,851.6709757784067,1041.3532410204891,409.4982280306542,412.74147127389756,409.90363343605964,332.54620100362484,163,6,35,18,1,[],[],[]
