Date,Wind,Rain,MaxTemp,MinTemp
1973-01-01,13.54,0.0,12.0,10.5
1973-01-02,13.25,1.0,12.4,10.3
1973-01-03,5.33,0.9,11.5,7.7
1973-01-04,4.5,0.0,11.4,7.9
1973-01-05,2.71,0.0,9.9,8.0
1973-01-06,5.79,0.0,8.5,6.3
1973-01-07,5.63,0.0,8.5,2.5
1973-01-08,2.67,0.0,8.1,6.4
1973-01-09,3.13,0.0,8.2,5.5
1973-01-10,8.29,0.0,7.0,6.8
1973-01-11,11.58,0.0,7.1,6.0
1973-01-12,17.41,1.3,7.6,5.6
1973-01-13,10.0,3.0,7.5,6.3
1973-01-14,12.96,14.6,9.2,3.5
1973-01-15,22.04,0.2,6.6,3.9
1973-01-16,7.92,0.0,5.6,-0.4
1973-01-17,4.5,0.2,2.4,-4.8
1973-01-18,12.17,0.4,8.2,-6.8
1973-01-19,25.12,14.1,9.2,-4.5
1973-01-20,11.12,0.5,5.3,4.6
1973-01-21,14.71,0.1,5.3,0.4
1973-01-22,11.29,1.4,11.6,-1.9
1973-01-23,12.87,0.0,12.4,1.0
1973-01-24,9.54,0.0,13.3,9.5
1973-01-25,12.83,0.3,12.5,9.4
1973-01-26,16.71,4.0,9.8,5.4
1973-01-27,6.83,6.7,9.8,6.1
1973-01-28,13.08,0.0,10.6,6.7
1973-01-29,9.59,0.9,9.9,7.9
1973-01-30,14.71,0.7,7.8,4.5
1973-01-31,11.08,2.6,8.7,1.3
1973-02-01,8.0,0.1,10.5,4.0
1973-02-02,4.25,0.2,12.4,8.0
1973-02-03,6.34,0.0,10.0,7.7
1973-02-04,9.67,0.0,9.5,7.5
1973-02-05,13.42,0.0,9.6,6.0
1973-02-06,20.08,0.5,10.7,6.0
1973-02-07,12.71,3.0,10.6,8.4
1973-02-08,8.79,7.9,7.4,6.4
1973-02-09,14.09,0.1,6.2,1.4
1973-02-10,14.71,0.9,6.4,1.8
1973-02-11,18.5,4.4,10.0,3.9
1973-02-12,24.21,1.8,6.2,3.8
1973-02-13,16.88,0.5,3.5,-1.0
1973-02-14,10.88,4.2,2.5,-1.8
1973-02-15,7.92,5.5,4.8,-1.1
1973-02-16,3.88,0.0,5.6,-4.0
1973-02-17,2.79,0.0,8.6,-1.5
1973-02-18,9.08,0.2,9.4,2.4
1973-02-19,12.0,0.0,11.9,3.8
1973-02-20,11.58,0.2,12.0,7.6
1973-02-21,13.13,0.9,10.9,8.4
1973-02-22,17.83,0.0,8.3,4.2
1973-02-23,16.38,0.2,7.0,2.5
1973-02-24,9.13,0.0,7.5,1.9
1973-02-25,5.46,7.7,3.6,0.1
1973-02-26,3.17,0.0,5.3,-0.1
1973-02-27,6.96,1.5,8.9,2.5
1973-02-28,4.58,0.2,10.3,3.4
